policy_loss,fps,nupdates,total_timesteps,value_loss,explained_variance,policy_entropy,ep_len_mean,ep_reward_mean
-0.11906884610652924,9,1,0,4.434811592102051,-0.04696965217590332,4.2568159103393555,,
0.15857647359371185,225,100,13959,0.20253564417362213,0.7716306149959564,4.350277900695801,1001.0,1517.2643431428573
-0.05728037655353546,212,200,28059,0.06500912457704544,0.9103103652596474,4.3779072761535645,1001.0,2339.8024300476186
-0.14570078253746033,213,300,42159,0.04272200167179108,0.965161707252264,4.401589393615723,1001.0,3194.102464914286
-0.016318023204803467,213,400,56259,0.07184692472219467,0.9405638836324215,4.386185646057129,1001.0,3202.106862020408
-0.18885144591331482,214,500,70359,0.031361501663923264,0.9152234122157097,4.383518695831299,1001.0,3269.5674394761904
0.038989804685115814,215,600,84459,0.01657397486269474,0.543208509683609,4.363238334655762,1001.0,3863.0194576363633
-0.22282470762729645,215,700,98559,0.03381839767098427,0.9738333765417337,4.348967552185059,1001.0,4598.868094241759
-0.12777268886566162,215,800,112659,0.1321767270565033,0.666096955537796,4.3280229568481445,1001.0,5378.07089793
-0.0797346979379654,215,900,126759,0.011722433380782604,0.95014863088727,4.285584449768066,1001.0,6956.271440479999
-0.2548595368862152,216,1000,140859,0.034356385469436646,0.934563472867012,4.261229515075684,1001.0,8381.32670542
-0.1527356505393982,216,1100,154959,0.03657044097781181,0.9470996260643005,4.240714073181152,1001.0,10008.50333971
0.0067397914826869965,216,1200,169059,0.07300297170877457,0.9507883004844189,4.1848063468933105,1001.0,12610.5379172
-0.12728646397590637,216,1300,183159,0.10764142125844955,0.933882512152195,4.149627208709717,1001.0,14522.920460080002
-0.018853982910513878,216,1400,197259,0.01715627685189247,0.9893716098740697,4.126475811004639,1001.0,16696.11671235
-0.23250707983970642,216,1500,211359,0.005735523998737335,0.9956889608874917,4.082905292510986,1001.0,18735.614572600003
-0.11401069909334183,216,1600,225459,0.019173281267285347,0.9843822531402111,4.0441365242004395,1001.0,19921.8571549
-0.13657426834106445,216,1700,239559,0.010459888726472855,0.9937047148123384,4.016688823699951,1001.0,22290.11553108
-0.0037900879979133606,216,1800,253659,0.0066608707420527935,0.9912539506331086,3.9962551593780518,1001.0,24382.502905800004
