value_loss,fps,policy_entropy,policy_loss,nupdates,total_timesteps,explained_variance,ep_len_mean,ep_reward_mean
20.854534149169922,73,9.932570457458496,0.16223393380641937,1,0,-0.09389030933380127,,
6.014235019683838,245,10.343900680541992,-0.10943904519081116,100,8019,0.0871584415435791,1000.0,871.8775188750001
7.243039608001709,260,10.365944862365723,-0.12746253609657288,200,16119,0.14838361740112305,1000.0,1262.94225925
6.2094244956970215,259,10.362929344177246,-0.242276132106781,300,24219,-0.18561005592346191,1000.0,1700.8804555833333
6.5910444259643555,257,10.388860702514648,-0.3984355330467224,400,32319,-0.0092240571975708,1000.0,2193.23607371875
11.151259422302246,250,10.308011054992676,0.08798791468143463,500,40419,0.25871914625167847,1000.0,3264.2368529749997
10.75727367401123,244,10.251511573791504,-0.14690923690795898,600,48519,-0.11408412456512451,1000.0,4467.6726284375
8.869647979736328,240,10.237170219421387,-0.3573741316795349,700,56619,-0.0836782455444336,1000.0,5660.277356803571
8.028033256530762,236,10.218842506408691,-0.04449215158820152,800,64719,0.09325075149536133,1000.0,6849.702477125
7.8169379234313965,234,10.172819137573242,-0.10340388864278793,900,72819,0.03588438034057617,1000.0,7941.629950875001
7.839858055114746,232,10.155800819396973,-0.24286988377571106,1000,80919,0.029783010482788086,1000.0,8865.789786925001
7.148115634918213,230,10.139641761779785,0.03817358613014221,1100,89019,0.04625546932220459,1000.0,9746.152800613638
6.700459957122803,229,10.064580917358398,-0.17119604349136353,1200,97119,0.0040138959884643555,1000.0,10630.723114458335
7.142693996429443,227,10.060457229614258,-0.11171440035104752,1300,105219,-0.007213234901428223,1000.0,11895.61703538
6.914311408996582,225,10.074821472167969,-0.18610712885856628,1400,113319,-0.016411900520324707,1000.0,13659.30931515
6.923306941986084,224,10.039946556091309,0.06406918168067932,1500,121419,0.03637528419494629,1000.0,15494.107454
7.143113613128662,223,10.024893760681152,-0.44976359605789185,1600,129519,0.01908034086227417,1000.0,17414.54245954
7.888529300689697,223,9.940414428710938,0.37191271781921387,1700,137619,0.015355587005615234,1000.0,19390.261129099996
7.308640480041504,223,9.9286470413208,0.024029918015003204,1800,145719,-0.0010811090469360352,1000.0,21079.43642082
7.340889930725098,223,9.904770851135254,-0.4758157730102539,1900,153819,0.023715555667877197,1000.0,22749.300690150005
