explained_variance,nupdates,policy_entropy,policy_loss,value_loss,total_timesteps,fps,ep_len_mean,ep_reward_mean
-0.20413517951965332,1,9.932570457458496,-0.39046454429626465,1.799606442451477,0,235,,
-5.320518493652344,100,9.886397361755371,-0.19963285326957703,0.9498987197875977,13959,277,1000.0,4.356610285714286
-482037.6875,200,9.90876293182373,-0.0718374028801918,0.5059079527854919,28059,276,1000.0,3.4638171785714285
-2720.706298828125,300,9.93797779083252,-0.006919510662555695,0.358467161655426,42159,280,1000.0,6.271607023809524
nan,400,9.96531867980957,-0.26548612117767334,0.24313022196292877,56259,281,1000.0,6.41856175
-4538.31201171875,500,9.998307228088379,-0.024303607642650604,0.1824202686548233,70359,283,1000.0,6.385048914285715
-33.281158447265625,600,10.019694328308105,-0.40798312425613403,0.1394721120595932,84459,284,1000.0,5.696150761904763
-31123.755859375,700,10.041749000549316,-0.17664416134357452,0.10933465510606766,98559,285,1000.0,5.792750551020409
-743.763427734375,800,10.061936378479004,-0.13765977323055267,0.10208698362112045,112659,286,1000.0,5.939146100000001
-86709263.0,900,10.066904067993164,-0.09108283370733261,0.09631779789924622,126759,286,1000.0,7.068141980000002
-4.395313739776611,1000,10.069127082824707,-0.3432391583919525,0.12284360826015472,140859,287,1000.0,7.865543460000001
-1.9764935970306396,1100,10.052933692932129,-0.15639299154281616,0.1517183780670166,154959,287,1000.0,9.290203089999999
-0.9642294645309448,1200,10.063704490661621,-0.08575861155986786,0.18981681764125824,169059,287,1000.0,12.31868559
nan,1300,10.03541088104248,-0.09554866701364517,0.21582487225532532,183159,287,1000.0,14.38032286
0.011668026447296143,1400,9.99339485168457,-0.14224088191986084,0.20015184581279755,197259,288,1000.0,16.927615389999996
-0.030681490898132324,1500,9.935587882995605,-0.13428929448127747,0.24833224713802338,211359,288,1000.0,20.72495254
0.03492254018783569,1600,9.896464347839355,0.006222330033779144,0.42418479919433594,225459,288,1000.0,24.622002550000005
0.033609986305236816,1700,9.851877212524414,-0.25838619470596313,0.44479265809059143,239559,289,1000.0,29.43532095
-0.09174907207489014,1800,9.767667770385742,-0.15273146331310272,0.4324597120285034,253659,289,1000.0,34.601444199999996
-0.013361096382141113,1900,9.73383617401123,0.0052481889724731445,0.5339183807373047,267759,289,1000.0,37.970536870000004
-4.941883563995361,2000,9.649653434753418,-0.4994542896747589,0.6753741502761841,281859,290,1000.0,44.007310830000016
-29.948925018310547,2100,9.583861351013184,0.11540486663579941,0.991520345211029,295959,290,1000.0,53.08250659000001
0.010588467121124268,2200,9.529694557189941,-0.23511919379234314,0.8692325353622437,310059,290,1000.0,59.78392255999999
-0.1176987886428833,2300,9.469228744506836,-0.058467064052820206,1.1556988954544067,324159,290,1000.0,68.28895796
-0.12593340873718262,2400,9.38730525970459,-0.26272451877593994,1.316214919090271,338259,291,1000.0,74.38332574
-0.04182279109954834,2500,9.306849479675293,-0.24971991777420044,1.4741758108139038,352359,291,1000.0,80.23973179000001
-0.025597333908081055,2600,9.228203773498535,-0.28433459997177124,1.4543155431747437,366459,291,1000.0,93.01640241000001
0.026925325393676758,2700,9.127617835998535,-0.1665923297405243,1.60981023311615,380559,291,1000.0,105.58890163000002
-0.19392406940460205,2800,9.008325576782227,-0.06404392421245575,1.8610615730285645,394659,291,1000.0,114.97086005000001
0.009791314601898193,2900,8.935240745544434,-0.22750765085220337,2.00775408744812,408759,291,1000.0,129.09247398999997
-0.03219723701477051,3000,8.831986427307129,-0.3050359785556793,2.200108528137207,422859,292,1000.0,142.16261367
-0.017052531242370605,3100,8.718721389770508,-0.18407192826271057,1.5453078746795654,436959,292,1000.0,156.92634671
0.02396988868713379,3200,8.591962814331055,-0.20543420314788818,2.8976097106933594,451059,292,1000.0,178.66532699000004
0.0420110821723938,3300,8.463570594787598,-0.5095696449279785,2.965219020843506,465159,292,1000.0,201.74496607999998
-0.16320180892944336,3400,8.351744651794434,-0.4218621850013733,3.7365965843200684,479259,292,1000.0,225.73051812000003
-0.03943908214569092,3500,8.228150367736816,-0.04634566232562065,3.9566597938537598,493359,293,1000.0,255.7601506
-0.0023540258407592773,3600,8.105124473571777,-0.30218756198883057,6.101945400238037,507459,293,1000.0,292.44145161
0.024567842483520508,3700,7.977263450622559,-0.45221638679504395,5.552814483642578,521559,293,1000.0,341.56636797000004
0.04751992225646973,3800,7.840453147888184,-0.21315297484397888,5.9708991050720215,535659,293,1000.0,394.58298314
0.08332085609436035,3900,7.695014476776123,-0.29856643080711365,6.1061577796936035,549759,293,1000.0,459.80163581999994
0.07676118612289429,4000,7.547142505645752,-0.14450877904891968,7.846733093261719,563859,293,1000.0,541.63491523
0.012297093868255615,4100,7.394117832183838,-0.4314301908016205,9.450711250305176,577959,293,1000.0,650.5001050599999
-0.5175831317901611,4200,7.238630294799805,-0.0174407921731472,10.208274841308594,592059,293,1000.0,772.8339690900002
0.03987079858779907,4300,7.095542907714844,-0.22620044648647308,9.995329856872559,606159,293,1000.0,926.2654789500001
-0.053560733795166016,4400,6.9622111320495605,-0.21809235215187073,12.171031951904297,620259,293,1000.0,1116.01812249
0.07360303401947021,4500,6.797317028045654,-0.38423240184783936,12.443108558654785,634359,294,1000.0,1332.40198899
0.07705950736999512,4600,6.636482238769531,-0.38227206468582153,10.983388900756836,648459,294,1000.0,1608.7991508499995
0.05724227428436279,4700,6.468826770782471,-0.04202335327863693,13.709029197692871,662559,294,1000.0,1913.0053787699997
-0.010446906089782715,4800,6.3180012702941895,-0.07356526702642441,12.629316329956055,676659,294,1000.0,2248.0880498999995
0.033865272998809814,4900,6.173575401306152,-0.2522602379322052,12.644465446472168,690759,294,1000.0,2651.0173676100003
-0.025066137313842773,5000,5.9958577156066895,-0.5320501923561096,12.332717895507812,704859,294,1000.0,3115.793592289999
0.0005697011947631836,5100,5.796081066131592,-0.29539555311203003,14.102334022521973,718959,294,1000.0,3615.233306739999
0.06134456396102905,5200,5.622927188873291,-0.3968794643878937,13.71798324584961,733059,294,1000.0,4273.85676026
0.04699021577835083,5300,5.4357075691223145,-0.04680292308330536,13.371199607849121,747159,294,1000.0,5038.77393504
0.014325916767120361,5400,5.227226734161377,-0.05226555094122887,16.7052001953125,761259,294,1000.0,5978.572244179999
-0.008168458938598633,5500,5.0003156661987305,-0.40505117177963257,16.176706314086914,775359,294,1000.0,7088.994578479998
0.014839589595794678,5600,4.778321266174316,-0.44367218017578125,16.90833282470703,789459,294,1000.0,8415.66592283
0.028215467929840088,5700,4.537102699279785,-0.40461620688438416,15.948810577392578,803559,294,1000.0,9930.232587640001
0.02934497594833374,5800,4.284347057342529,-0.4345240890979767,15.168087005615234,817659,294,1000.0,11830.935092779999
0.012212514877319336,5900,4.0217719078063965,-0.37626317143440247,18.719402313232422,831759,294,1000.0,14214.06869674
-0.004930734634399414,6000,3.753157615661621,-0.4316854476928711,19.26736068725586,845859,294,1000.0,16895.03298989
-0.009831666946411133,6100,3.4471330642700195,-0.30934348702430725,18.776899337768555,859959,294,1000.0,19999.75130007
0.045434415340423584,6200,3.1368978023529053,-0.19038623571395874,19.431732177734375,874059,294,1000.0,23705.61434861
-0.018500208854675293,6300,2.8239376544952393,-0.09863369911909103,19.934234619140625,888159,294,1000.0,27892.226134790006
0.020501554012298584,6400,2.4518587589263916,-0.2839010953903198,18.674386978149414,902259,294,1000.0,33145.010688509996
0.015932321548461914,6500,2.0802042484283447,-0.12329158931970596,19.781862258911133,916359,294,1000.0,39178.352037239994
