value_loss,total_timesteps,policy_entropy,fps,policy_loss,nupdates,explained_variance,ep_reward_mean,ep_len_mean
0.8625187873840332,0,9.93256950378418,27,-0.380572646856308,1,0.015473246574401855,,
0.016773514449596405,1683,7.044018745422363,177,0.34438788890838623,100,-0.7216881513595581,0.223005,1000.0
0.013934411108493805,3383,7.056865692138672,156,0.3541524112224579,200,-0.6702378988265991,0.074335,1000.0
0.008377850987017155,5083,7.0591254234313965,165,0.3562370836734772,300,-22.023807525634766,0.05575125,1000.0
0.0021569659002125263,6783,7.0673017501831055,157,-0.3818836510181427,400,-1.5817408561706543,0.0371675,1000.0
0.0010866214288398623,8483,7.089592456817627,155,-0.02397003211081028,500,nan,0.027875625,1000.0
0.005285310558974743,10183,7.091009140014648,160,-0.7359254956245422,600,-4.394359111785889,0.024778333333333333,1000.0
0.005198422819375992,11883,7.073492050170898,158,-0.5187343955039978,700,-1.6507067680358887,0.02027318181818182,1000.0
0.0010702193249017,13583,7.046173572540283,161,0.1764243096113205,800,-1.0681288242340088,0.01858375,1000.0
0.0006984028150327504,15283,7.016775131225586,158,-0.017054637894034386,900,-2.8666045665740967,0.015928928571428573,1000.0
0.000940384459681809,16983,7.013416290283203,155,0.3764238655567169,1000,nan,0.0139378125,1000.0
0.0008466463186778128,18683,7.005988121032715,156,0.32019945979118347,1100,-8.680475234985352,0.01311794117647059,1000.0
0.0003228827263228595,20383,7.007164478302002,154,0.0967811718583107,1200,-11844.4404296875,0.011737105263157896,1000.0
0.0006080987513996661,22083,7.009061336517334,156,0.19486908614635468,1300,-1.478259801864624,0.01115025,1000.0
0.0023267180658876896,23783,6.994101047515869,155,0.2521248757839203,1400,-11.297415733337402,0.01013659090909091,1000.0
0.0011379581410437822,25483,6.9835896492004395,153,0.5663943886756897,1500,nan,0.009291875,1000.0
0.0028295465745031834,27183,6.952771186828613,155,-0.31352075934410095,1600,-1.2248215675354004,0.0089202,1000.0
0.0035012508742511272,28883,6.947065830230713,156,-0.24458010494709015,1700,0.15885406732559204,0.008259444444444444,1000.0
0.0007774358382448554,30583,6.956122398376465,159,-0.3306769132614136,1800,-0.6636842489242554,0.007964464285714287,1000.0
0.00044434505980461836,32283,6.898538589477539,160,1.0828362703323364,1900,0.031231939792633057,0.0074335,1000.0
0.0004206704907119274,33983,6.883967876434326,160,-0.5208300948143005,2000,nan,0.00696890625,1000.0
8.40204520500265e-05,35683,6.885932445526123,162,-0.20463423430919647,2100,-0.35051989555358887,0.006757727272727273,1000.0
4.7826026275288314e-05,37383,6.853160381317139,163,-0.5268716216087341,2200,-0.2137690782546997,0.006371571428571429,1000.0
