explained_variance,total_timesteps,value_loss,fps,nupdates,policy_entropy,ep_reward_mean,ep_len_mean
-0.0012154579162597656,35,7.432316303253174,76,1,4.256815433502197,,
-0.4136737585067749,3500,0.426287442445755,101,100,4.258777618408203,142.57279157142858,301.0
-0.6424269676208496,7000,0.11810161173343658,96,200,4.2643842697143555,182.94612271428574,301.0
-0.5197944641113281,10500,0.056988902390003204,99,300,4.273441791534424,203.71767692857142,301.0
-2.4163577556610107,14000,0.07191740721464157,96,400,4.280967712402344,261.1386886428572,301.0
0.18306422233581543,17500,0.09821734577417374,95,500,4.298547267913818,352.99058158928574,301.0
-0.4622236490249634,21000,0.03898521140217781,97,600,4.30947208404541,484.8784537619048,301.0
-0.7113943099975586,24500,0.01933138258755207,96,700,4.314548492431641,724.980121168831,301.0
-1.1876823902130127,28000,0.013492363505065441,96,800,4.327332019805908,853.0434170659341,301.0
-0.4966973066329956,31500,0.009937589056789875,98,900,4.347319602966309,907.4278939081632,301.0
0.0010551214218139648,35000,0.005410377401858568,97,1000,4.365496635437012,1140.7860837399999,301.0
0.13224655389785767,38500,0.008041542023420334,97,1100,4.405826568603516,1419.3962418200003,301.0
0.10923165082931519,42000,0.018180271610617638,98,1200,4.445913791656494,1575.07558334,301.0
0.7959683984518051,45500,0.0031349211931228638,98,1300,4.517533302307129,1869.1511898999995,301.0
0.8981020227074623,49000,0.00176888273563236,98,1400,4.613106727600098,2091.8403084099996,301.0
0.8244705498218536,52500,0.001463459338992834,98,1500,4.699552059173584,2146.9951149800004,301.0
0.8421439826488495,56000,0.0015101662138476968,98,1600,4.799525737762451,2265.80142392,301.0
0.5065048038959503,59500,0.0015970160020515323,98,1700,4.902453422546387,2387.82052409,301.0
0.43799060583114624,63000,0.0022030724212527275,98,1800,4.987381935119629,2445.3132011299995,301.0
-0.06429064273834229,66500,0.002333618700504303,98,1900,5.095449447631836,2497.76201174,301.0
0.7737901210784912,70000,0.0007617110386490822,98,2000,5.208159923553467,2505.41962551,301.0
0.15297794342041016,73500,0.001687537063844502,98,2100,5.330683708190918,2506.8825478900003,301.0
0.784158930182457,77000,0.0013357544085010886,98,2200,5.448768138885498,2495.87919233,301.0
0.4884706139564514,80500,0.001926866127178073,98,2300,5.543978214263916,2482.2391422,301.0
0.6012444496154785,84000,0.00039272825233638287,98,2400,5.645547866821289,2472.01484791,301.0
-1.0971462726593018,87500,0.0022281024139374495,98,2500,5.779422760009766,2453.53774288,301.0
-0.3845440149307251,91000,0.002856329083442688,98,2600,5.8813371658325195,2444.6374129200003,301.0
-0.07813262939453125,94500,0.001132296398282051,98,2700,5.997664451599121,2454.16148984,301.0
0.0661589503288269,98000,0.0013183237751945853,98,2800,6.096380710601807,2444.81622117,301.0
0.7415256202220917,101500,0.001918114721775055,98,2900,6.206236839294434,2426.00744278,301.0
0.3137465715408325,105000,0.002109631896018982,98,3000,6.310047149658203,2413.47029087,301.0
0.75380739569664,108500,0.001797448960132897,98,3100,6.43684196472168,2398.03146444,301.0
0.5557471513748169,112000,0.0019226549193263054,98,3200,6.5442705154418945,2390.47250974,301.0
-0.033307671546936035,115500,0.0019502205541357398,98,3300,6.651925086975098,2385.59820816,301.0
-0.056932806968688965,119000,0.0024517890997231007,98,3400,6.781686782836914,2390.10540488,301.0
0.2924115061759949,122500,0.0017389849526807666,98,3500,6.901072978973389,2369.98473686,301.0
0.2269032597541809,126000,0.0017627909546718001,98,3600,7.002626895904541,2365.61926098,301.0
-0.22514986991882324,129500,0.0028300725389271975,98,3700,7.11514949798584,2367.4429828400007,301.0
0.35152387619018555,133000,0.0022404605988413095,97,3800,7.220371246337891,2354.2935531199996,301.0
-0.3548750877380371,136500,0.001018828945234418,98,3900,7.309142589569092,2354.42583156,301.0
-0.033345580101013184,140000,0.0029271289240568876,97,4000,7.402344703674316,2343.2743931099994,301.0
0.8398181051015854,143500,0.0010044053196907043,97,4100,7.497023105621338,2345.2210417200004,301.0
-0.17356348037719727,147000,0.0027388620655983686,98,4200,7.602840900421143,2348.0544890899996,301.0
-0.8067622184753418,150500,0.0027737319469451904,97,4300,7.711681365966797,2338.04062212,301.0
0.6183026134967804,154000,0.0016664728755131364,97,4400,7.817114353179932,2324.81066958,301.0
-0.008868575096130371,157500,0.0024322110693901777,97,4500,7.935075283050537,2316.87164298,301.0
0.6405720114707947,161000,0.0011193262180313468,97,4600,8.020708084106445,2307.30301896,301.0
0.8193502873182297,164500,0.0011284510837867856,97,4700,8.113224983215332,2309.4102335899997,301.0
-0.7663815021514893,168000,0.002932074712589383,97,4800,8.221986770629883,2318.61471012,301.0
0.24259889125823975,171500,0.0018147125374525785,97,4900,8.327723503112793,2308.3649132299997,301.0
0.7501705884933472,175000,0.002251720754429698,97,5000,8.435060501098633,2294.41612704,301.0
-0.20364069938659668,178500,0.001790712121874094,97,5100,8.527786254882812,2286.7126466299997,301.0
-0.03207111358642578,182000,0.0017306231893599033,97,5200,8.626707077026367,2286.7841401899996,301.0
0.4872896671295166,185500,0.0029088740702718496,97,5300,8.721778869628906,2281.23002809,301.0
0.2022920846939087,189000,0.0012122669722884893,97,5400,8.80819320678711,2284.2233911999997,301.0
0.6507757008075714,192500,0.0006497762515209615,97,5500,8.900776863098145,2287.4556277799998,301.0
-0.5609797239303589,196000,0.031517013907432556,97,5600,9.010079383850098,2268.95910488,301.0
-0.2321610450744629,199500,0.0039146398194134235,97,5700,9.12077522277832,2268.83240417,301.0
0.017182350158691406,203000,0.0019870284013450146,97,5800,9.23553466796875,2260.78566082,301.0
0.012263119220733643,206500,4.833612442016602,97,5900,9.339818954467773,2242.3378736799996,301.0
0.3273417353630066,210000,0.0025785912293940783,97,6000,9.4232177734375,2240.06050495,301.0
0.45706993341445923,213500,0.0022281743586063385,97,6100,9.544010162353516,2232.5380845199998,301.0
0.570171982049942,217000,0.0016023344360291958,97,6200,9.615346908569336,2228.55267667,301.0
0.22748583555221558,220500,0.0022926332894712687,97,6300,9.703118324279785,2228.9014186599998,301.0
0.4669899344444275,224000,0.0011462975526228547,97,6400,9.818582534790039,2231.4493693099994,301.0
0.4674922823905945,227500,0.001961776986718178,97,6500,9.918298721313477,2229.37344394,301.0
-0.1097942590713501,231000,0.0009395223460160196,97,6600,10.037220001220703,2216.75331363,301.0
-0.10255932807922363,234500,0.0015284162946045399,97,6700,10.136064529418945,2213.96229518,301.0
-0.0060749053955078125,238000,0.0019901429768651724,97,6800,10.251638412475586,2217.0339513799995,301.0
0.46152228116989136,241500,0.0033580251038074493,97,6900,10.358829498291016,2211.45892976,301.0
0.6391498148441315,245000,0.002512092236429453,97,7000,10.460182189941406,2202.7396444,301.0
0.2764761447906494,248500,0.0023505385033786297,97,7100,10.536430358886719,2188.5816872100004,301.0
0.29814720153808594,252000,0.002393566071987152,97,7200,10.603414535522461,2171.0558061500005,301.0
0.8442617803812027,255500,0.0013164434349164367,97,7300,10.696578979492188,2165.3692102,301.0
-0.44904589653015137,259000,0.002187618287280202,97,7400,10.789372444152832,2165.2677107199997,301.0
0.6714473366737366,262500,0.003568809712305665,97,7500,10.900074005126953,2155.4333732400005,301.0
0.7659688740968704,266000,0.0022084005177021027,97,7600,10.99595832824707,2141.20720955,301.0
-0.21250689029693604,269500,0.0023879532236605883,97,7700,11.09017562866211,2136.45770725,301.0
0.15948885679244995,273000,0.002920615952461958,97,7800,11.180135726928711,2130.66276053,301.0
0.8328032046556473,276500,0.0015313918702304363,97,7900,11.277057647705078,2131.4948554300004,301.0
0.17803025245666504,280000,0.0019923080690205097,97,8000,11.368754386901855,2134.4232313100006,301.0
0.49935275316238403,283500,0.00260348292067647,97,8100,11.469810485839844,2110.36631963,301.0
0.7201886177062988,287000,0.0022548444103449583,97,8200,11.57056999206543,2077.2336279799997,301.0
0.41292476654052734,290500,0.0028753988444805145,97,8300,11.676348686218262,2068.76044206,301.0
0.485643208026886,294000,0.00212743878364563,97,8400,11.774452209472656,2049.81881188,301.0
0.18061482906341553,297500,0.0018472118536010385,97,8500,11.854108810424805,2047.5766453500003,301.0
0.07034218311309814,301000,0.0018549422966316342,98,8600,11.93954086303711,2039.5609978400003,301.0
0.39870327711105347,304500,0.003769001690670848,98,8700,12.041213989257812,2014.0633766300004,301.0
0.587507963180542,308000,0.0019709812477231026,98,8800,12.127189636230469,1989.0272209099996,301.0
0.2172006368637085,311500,0.0029656996484845877,98,8900,12.205077171325684,1976.4448888500003,301.0
0.13391810655593872,315000,0.002373994095250964,98,9000,12.305377960205078,1976.1509849399997,301.0
0.6093779802322388,318500,0.002077496377751231,98,9100,12.396862983703613,1972.65281685,301.0
0.45623284578323364,322000,0.0015430903295055032,98,9200,12.483672142028809,1974.7725720299998,301.0
