policy_entropy,explained_variance,total_timesteps,policy_loss,nupdates,value_loss,fps,ep_reward_mean,ep_len_mean
9.932570457458496,-0.016513347625732422,0,-0.0656910166144371,1,10.453821182250977,70,,
10.084582328796387,0.12460649013519287,8019,0.10792774707078934,100,2.3080639839172363,204,307.361406875,1000.0
10.102614402770996,-0.09284436702728271,16119,-0.17167648673057556,200,7.203042507171631,206,556.3645779375,1000.0
10.120224952697754,0.009720206260681152,24219,0.15115761756896973,300,19.986812591552734,208,2088.5069645416665,1000.0
10.126901626586914,0.14091479778289795,32319,-0.06228390336036682,400,7.660750389099121,207,5462.60577353125,1000.0
10.099226951599121,-0.10014307498931885,40419,-0.1788916289806366,500,7.9798078536987305,204,9024.681371474999,1000.0
10.095330238342285,0.02325206995010376,48519,-0.36709126830101013,600,7.024711608886719,205,12533.105244687498,1000.0
10.086785316467285,0.05246937274932861,56619,-0.020393669605255127,700,5.207985877990723,206,15160.007199428572,1000.0
10.100000381469727,0.027943015098571777,64719,-0.4849804937839508,800,4.194136619567871,208,16913.753172453125,1000.0
10.111863136291504,0.043906211853027344,72819,-0.21933403611183167,900,6.0843000411987305,209,19317.821746930553,1000.0
10.101760864257812,0.06255477666854858,80919,-0.05743929371237755,1000,5.331157207489014,209,21052.6532063875,1000.0
10.05251407623291,0.025866270065307617,89019,-0.12894296646118164,1100,3.189021110534668,210,21899.465276545452,1000.0
10.023316383361816,0.25892192125320435,97119,-0.07518762350082397,1200,3.8611457347869873,210,23597.352940156252,1000.0
10.046332359313965,0.12450456619262695,105219,-0.3124346137046814,1300,4.584820747375488,210,26511.622708460003,1000.0
10.04783821105957,0.07576143741607666,113319,-0.4239223003387451,1400,5.527656555175781,209,30111.559490300002,1000.0
10.041572570800781,0.016983389854431152,121419,-0.1250695139169693,1500,3.324824571609497,210,33016.007577619996,1000.0
10.054022789001465,0.10664606094360352,129519,-0.21968965232372284,1600,5.020506858825684,211,36576.75128002,1000.0
10.102164268493652,-0.15521669387817383,137619,-0.282787024974823,1700,5.5316338539123535,211,40123.84727176,1000.0
10.091620445251465,-5.158184051513672,145719,0.08383918553590775,1800,3.4213688373565674,211,41531.59017109,1000.0
10.094087600708008,-0.25478947162628174,153819,-0.4635471701622009,1900,4.545411109924316,211,44049.84574087,1000.0
10.01233196258545,-0.029080629348754883,161919,-0.29967713356018066,2000,3.7532057762145996,211,45671.46831596999,1000.0
