fps,explained_variance,policy_loss,value_loss,nupdates,total_timesteps,policy_entropy,ep_len_mean,ep_reward_mean
55,0.045401036739349365,-0.20205719769001007,4.079718589782715,1,0,4.2568159103393555,,
113,0.21578830480575562,-0.08898493647575378,0.006488235201686621,100,8019,4.656490325927734,1001.0,5842.1257672500005
111,-0.24663996696472168,-0.058049023151397705,0.007014177739620209,200,16119,4.60306978225708,1001.0,7976.248867916666
111,0.4842681288719177,-0.17642536759376526,0.006116001401096582,300,24219,4.585999965667725,1001.0,8580.415296950001
111,-0.6444946527481079,-0.2851906716823578,0.001799294725060463,400,32319,4.534152984619141,1001.0,9127.359093964285
111,0.4940488934516907,-0.21897774934768677,0.0034706746228039265,500,40419,4.463126182556152,1001.0,9511.335386583332
111,0.5434114038944244,0.05743861570954323,0.005026119761168957,600,48519,4.4358229637146,1001.0,9756.521331704545
110,0.6141064763069153,-0.021318582817912102,0.005448378622531891,700,56619,4.408329010009766,1001.0,9999.71832073077
110,-0.05243086814880371,-0.3603551983833313,0.002565177856013179,800,64719,4.326923847198486,1001.0,10190.772216316669
110,0.6404294669628143,-0.24876096844673157,0.0022175502963364124,900,72819,4.2527384757995605,1001.0,10392.894909058827
110,-0.004131317138671875,-0.18615050613880157,0.0019025154178962111,1000,80919,4.212031841278076,1001.0,10584.25712530263
110,0.6677170097827911,-0.18679694831371307,0.0013163837138563395,1100,89019,4.1879658699035645,1001.0,10752.567001642858
109,0.6097618639469147,0.025838203728199005,0.0014081303961575031,1200,97119,4.131842613220215,1001.0,10908.268139434782
109,0.7126957774162292,-0.14564192295074463,0.0009271217277273536,1300,105219,4.103241920471191,1001.0,11028.129842960001
109,0.8053649961948395,-0.01730163022875786,0.0011685382341966033,1400,113319,4.074127674102783,1001.0,11473.054239649999
109,0.851456806063652,-0.05255004018545151,0.0011458871886134148,1500,121419,4.022875785827637,1001.0,11721.06938076
109,0.8613400757312775,-0.31330421566963196,0.00038467973354272544,1600,129519,3.972911834716797,1001.0,11959.62384958
109,0.7770396620035172,-0.11665338277816772,0.0007549448637291789,1700,137619,3.9200527667999268,1001.0,12124.04742581
109,0.8815067857503891,-0.2402532696723938,0.0006648452836088836,1800,145719,3.860656261444092,1001.0,12300.05714734
109,0.8624683171510696,-0.2776438593864441,0.001084538409486413,1900,153819,3.8307528495788574,1001.0,12427.003715280001
109,0.809222474694252,-0.10415409505367279,0.0007362497271969914,2000,161919,3.786957263946533,1001.0,12564.133282259998
109,0.7622639983892441,-0.22603952884674072,0.0008355599129572511,2100,170019,3.74937105178833,1001.0,12662.671026369997
109,0.9461335986852646,-0.10070974379777908,0.0009420149144716561,2200,178119,3.7262911796569824,1001.0,12733.938835119998
109,0.8747957348823547,-0.18878450989723206,0.0009171449346467853,2300,186219,3.707655429840088,1001.0,12787.793518589999
109,0.8912187218666077,-0.26876533031463623,0.0009324860875494778,2400,194319,3.7143807411193848,1001.0,12838.992679930001
110,-0.20070993900299072,-0.10595734417438507,0.0005724400980398059,2500,202419,3.6769347190856934,1001.0,12890.27891457
110,0.9403093382716179,0.19787123799324036,0.0006741266697645187,2600,210519,3.66597318649292,1001.0,12946.988095109999
110,0.9400589168071747,0.07975208014249802,0.0010162023827433586,2700,218619,3.679593563079834,1001.0,12966.9813696
111,0.9239688962697983,0.2007073163986206,0.0012232039589434862,2800,226719,3.6627376079559326,1001.0,12998.98507962
111,0.9430938959121704,-0.04605768993496895,0.0012257796479389071,2900,234819,3.663574695587158,1001.0,13025.314104629999
111,0.9709743801504374,-0.07498553395271301,0.0007119203801266849,3000,242919,3.656280517578125,1001.0,13041.90695066
111,0.9530186466872692,-0.10912060737609863,0.0005857350188307464,3100,251019,3.6428017616271973,1001.0,13052.397695440002
112,-0.19131958484649658,-0.11136922240257263,0.00037583362427540123,3200,259119,3.621706485748291,1001.0,13089.61020517
112,0.9616237916052341,-0.160231351852417,0.0008083932334557176,3300,267219,3.5845837593078613,1001.0,13108.94113081
112,0.9755873680114746,-0.12465473264455795,0.0007351462845690548,3400,275319,3.559206485748291,1001.0,13116.113282650002
112,0.9712773095816374,-0.18155252933502197,0.001667281030677259,3500,283419,3.559816837310791,1001.0,13006.676244309998
113,-0.22817444801330566,-0.07142126560211182,0.005952565930783749,3600,291519,3.5661940574645996,1001.0,12750.747074689998
113,0.9441920071840286,0.029476366937160492,0.00314539042301476,3700,299619,3.584533214569092,1001.0,12736.386848950002
113,0.9688286706805229,-0.04557973891496658,0.001130101503804326,3800,307719,3.5909276008605957,1001.0,12596.647217349999
113,0.9808627907186747,-0.05189590901136398,0.0006954068085178733,3900,315819,3.5850329399108887,1001.0,12592.479920139996
114,0.940361212939024,-0.26819029450416565,0.0024977903813123703,4000,323919,3.598083972930908,1001.0,12589.462092390002
114,0.9558968730270863,0.19460181891918182,0.0010877109598368406,4100,332019,3.5956339836120605,1001.0,12582.85678296
114,0.9749383665621281,-0.12735053896903992,0.0005609760410152376,4200,340119,3.5639281272888184,1001.0,12584.946078850004
114,0.9643095806241035,0.21278813481330872,0.0006598663749173284,4300,348219,3.545776844024658,1001.0,12585.224993430002
114,-0.536698579788208,0.006116680800914764,0.001327372738160193,4400,356319,3.535170078277588,1001.0,12577.870160339999
114,0.9702608417719603,0.1035216748714447,0.0008546431781724095,4500,364419,3.5055336952209473,1001.0,12557.461559429998
115,0.9596265442669392,-0.22919541597366333,0.0011775431921705604,4600,372519,3.4748339653015137,1001.0,12552.77588613
115,0.9300214648246765,-0.14620813727378845,0.0014710871037095785,4700,380619,3.4286513328552246,1001.0,12546.897705329999
115,0.9676163196563721,-0.05821424350142479,0.0008310868288390338,4800,388719,3.427208423614502,1001.0,12664.778794880001
115,0.9402340576052666,-0.06609387695789337,0.0014842393575236201,4900,396819,3.459010601043701,1001.0,12928.11071365
115,0.9483807161450386,0.11397870630025864,0.0011142429430037737,5000,404919,3.4429945945739746,1001.0,12933.15790791
115,0.9696104377508163,-0.08223436772823334,0.00080205372069031,5100,413019,3.439544200897217,1001.0,13046.703687360001
115,0.9741434380412102,-0.0627734512090683,0.00047356440336443484,5200,421119,3.4297385215759277,1001.0,13043.94383468
116,-0.5365716218948364,-0.21975167095661163,0.0013845072826370597,5300,429219,3.4008965492248535,1001.0,13047.8910179
116,0.9625320732593536,-0.488766074180603,0.0003684359253384173,5400,437319,3.405043125152588,1001.0,13033.264290269997
116,-0.257696270942688,-0.19123870134353638,0.0016168721485882998,5500,445419,3.3745932579040527,1001.0,13037.254591879999
116,0.9136615619063377,-0.04155873507261276,0.0016843940829858184,5600,453519,3.355186939239502,1001.0,13043.096406129998
116,0.979350795969367,-0.13172918558120728,0.0011399589711800218,5700,461619,3.3557801246643066,1001.0,13040.246221719999
116,0.9767121523618698,0.028247695416212082,0.0005050399340689182,5800,469719,3.357390880584717,1001.0,13044.39170528
116,0.9628015942871571,0.057492781430482864,0.0010662022978067398,5900,477819,3.364001750946045,1001.0,13045.488217820004
116,0.9763334542512894,-0.0014846958220005035,0.00044868752593174577,6000,485919,3.3336119651794434,1001.0,13052.45124772
116,0.9536844752728939,-0.09386315941810608,0.001094581326469779,6100,494019,3.324428081512451,1001.0,13050.644821220001
116,0.980931356549263,0.18483877182006836,0.0003847752814181149,6200,502119,3.2928905487060547,1001.0,13063.57383614
