nupdates,fps,explained_variance,policy_entropy,value_loss,policy_loss,total_timesteps,ep_len_mean,ep_reward_mean
1,55,-0.04841208457946777,4.2568159103393555,1.8276008367538452,-0.07396924495697021,0,,
100,120,-0.6039407253265381,3.4396328926086426,0.008612960577011108,-0.1162116676568985,8019,1001.0,6707.814072499999
200,121,0.8010018169879913,3.444002628326416,0.006038113962858915,0.262587308883667,16119,1001.0,8370.273910000002
300,122,0.49466466903686523,3.4652323722839355,0.006586055271327496,0.02001846581697464,24219,1001.0,8959.837227
400,120,0.37831228971481323,3.413424015045166,0.0034491289407014847,0.1355620175600052,32319,1001.0,9578.319547428571
500,118,-0.17573952674865723,3.350220203399658,0.0016826720675453544,-0.1040724515914917,40419,1001.0,10016.827252722222
600,116,0.21549701690673828,3.29435396194458,0.002233245177194476,-0.15783067047595978,48519,1001.0,10381.746711204545
700,115,-0.19872546195983887,3.276334285736084,0.002717479132115841,0.025838442146778107,56619,1001.0,10658.999772538462
800,115,0.5874111950397491,3.2169718742370605,0.0006373514770530164,-0.07037455588579178,64719,1001.0,10885.424377566665
900,114,0.5252959132194519,3.1702749729156494,0.001529648550786078,-0.008823983371257782,72819,1001.0,11081.12703232353
1000,114,0.5188127756118774,3.147958993911743,0.00123857450671494,-0.23240885138511658,80919,1001.0,11247.73517519737
1100,113,0.43085765838623047,3.0599594116210938,0.0015383338322862983,-0.28762850165367126,89019,1001.0,11385.828455380954
1200,113,0.5617459714412689,3.031975030899048,0.000702793593518436,0.006589807569980621,97119,1001.0,11516.725783532609
1300,112,0.5852720141410828,2.9812777042388916,0.0009081958560273051,-0.08864594995975494,105219,1001.0,11632.440329149998
1400,112,0.5603199303150177,2.936366319656372,0.0007952757878229022,0.11830446124076843,113319,1001.0,12051.43997047
1500,112,0.03423959016799927,2.8965814113616943,0.0008446816354990005,-0.05101613700389862,121419,1001.0,12293.82376863
1600,112,0.8858466818928719,2.8592307567596436,0.0006966080400161445,-0.03905521333217621,129519,1001.0,12512.522879489998
1700,111,0.03524065017700195,2.8237593173980713,0.0016279608244076371,-0.07878643274307251,137619,1001.0,12647.573851400002
1800,111,0.7057390809059143,2.7714812755584717,0.0011743399081751704,0.13866889476776123,145719,1001.0,12738.593451649998
1900,111,0.034804701805114746,2.7356505393981934,0.0009166270610876381,-0.07241718471050262,153819,1001.0,12819.969905169999
2000,111,0.8438395857810974,2.673574686050415,0.0007120993686839938,0.0600714311003685,161919,1001.0,12890.02453124
2100,111,-0.1183929443359375,2.6319005489349365,0.0005558376433327794,-0.2223842740058899,170019,1001.0,12947.09106751
2200,111,0.9072872921824455,2.5868964195251465,0.0007053505978547037,0.005144000053405762,178119,1001.0,12993.00106871
2300,111,0.9115593880414963,2.53865647315979,0.0009215894970111549,0.11021635681390762,186219,1001.0,13034.03215413
2400,110,0.8607314378023148,2.538494825363159,0.0008975337259471416,-0.143297016620636,194319,1001.0,13069.97259841
2500,110,0.9099217131733894,2.5140419006347656,0.000871403724886477,-0.3371911346912384,202419,1001.0,13097.082498249998
2600,110,0.8702310025691986,2.4492111206054688,0.0012168452376499772,0.00750727578997612,210519,1001.0,13126.01172266
2700,110,0.9178783521056175,2.4507768154144287,0.0009011283400468528,0.09244121611118317,218619,1001.0,13155.415583299997
2800,110,0.8986614942550659,2.4471688270568848,0.0009770018514245749,-0.11863472312688828,226719,1001.0,13186.23656502
2900,110,0.9325395226478577,2.4191033840179443,0.0008310798439197242,-0.16067855060100555,234819,1001.0,13205.3941573
3000,110,0.9719892293214798,2.4174323081970215,0.0005544198793359101,-0.09673837572336197,242919,1001.0,13230.08663134
3100,110,0.9647907912731171,2.4030303955078125,0.0005016879877075553,0.024698304012417793,251019,1001.0,13252.370545990001
3200,111,0.9453470446169376,2.372238874435425,0.0007666787714697421,0.05528881400823593,259119,1001.0,13264.81482876
3300,111,0.9762101471424103,2.3868415355682373,0.0005022024852223694,-0.008793769404292107,267219,1001.0,13278.043253649997
3400,111,-0.06305348873138428,2.388404607772827,0.0007846200023777783,-0.22481144964694977,275319,1001.0,13289.234057649997
3500,111,-0.03807568550109863,2.3721206188201904,0.00025063115754164755,-0.13675519824028015,283419,1001.0,13295.367925940001
3600,111,0.9034649580717087,2.32749605178833,0.0006454852409660816,-0.3841763734817505,291519,1001.0,13302.05611145
3700,112,0.9343366995453835,2.296682119369507,0.0007856731535866857,0.20892639458179474,299619,1001.0,13307.707466899998
3800,112,0.9185386225581169,2.307943105697632,0.0006989058456383646,-0.07532209903001785,307719,1001.0,13309.009467819998
3900,112,0.9487813152372837,2.298117160797119,0.0006593181751668453,-0.20257851481437683,315819,1001.0,13308.169651029999
4000,112,0.9309351891279221,2.314054489135742,0.0006634540623053908,0.03949005901813507,323919,1001.0,13313.584916040001
4100,112,0.8906621783971786,2.2915000915527344,0.0009652855806052685,-0.13169750571250916,332019,1001.0,13322.704318420003
4200,112,0.9631280601024628,2.2878801822662354,0.00031677138758823276,0.010858135297894478,340119,1001.0,13331.198198310001
4300,112,0.906508594751358,2.2691633701324463,0.0005211993120610714,-0.23326709866523743,348219,1001.0,13335.56689814
4400,112,0.942523118108511,2.2438361644744873,0.000634137075394392,-0.16898880898952484,356319,1001.0,13326.74183832
4500,112,0.9320652484893799,2.219269037246704,0.0005046097794547677,0.02687368169426918,364419,1001.0,13328.37435356
4600,112,0.9599640294909477,2.1904380321502686,0.0004942125524394214,0.2157435417175293,372519,1001.0,13335.790766049999
4700,112,0.9633251503109932,2.1786515712738037,0.0004762205353472382,-0.020456818863749504,380619,1001.0,13348.67311722
4800,112,0.9594099521636963,2.17124342918396,0.0006634340388700366,0.11227364838123322,388719,1001.0,13352.443056880003
4900,112,-0.08514952659606934,2.1652073860168457,0.00025742253637872636,-0.17599016427993774,396819,1001.0,13363.89687444
5000,112,0.9508091546595097,2.168602228164673,0.0007570082088932395,-0.04763446003198624,404919,1001.0,13379.74418024
5100,112,0.9473653323948383,2.1622297763824463,0.0005060870898887515,-0.12609876692295074,413019,1001.0,13384.724596760001
5200,112,0.9681600108742714,2.129373788833618,0.0002926662564277649,0.10894709080457687,421119,1001.0,13383.863470710001
5300,112,0.9769689794629812,2.094083786010742,0.00054312648717314,0.08196792006492615,429219,1001.0,13385.05021406
5400,112,0.9579931870102882,2.0881764888763428,0.000541640562005341,0.08371623605489731,437319,1001.0,13378.282483940002
5500,112,0.9462671428918839,2.065133810043335,0.0005558415432460606,0.10220983624458313,445419,1001.0,13381.27743284
5600,112,0.972110066562891,2.0509369373321533,0.0005245412467047572,-0.20678088068962097,453519,1001.0,13386.520333229997
