nupdates,total_timesteps,policy_entropy,fps,value_loss,explained_variance,ep_reward_mean,ep_len_mean
1,128,9.932570457458496,204,31.548160552978516,0.004502415657043457,,
100,12800,9.932572364807129,186,0.4293811023235321,-7.376411437988281,205.11058466666668,500.0
200,25600,9.932597160339355,186,0.8661099672317505,-0.734557032585144,201.96090912500003,500.0
300,38400,9.932647705078125,183,0.7830753326416016,-1.4414575099945068,198.99027278947366,500.0
400,51200,9.93267822265625,185,1.0866901874542236,-0.38344359397888184,194.11730580000003,500.0
500,64000,9.93266773223877,184,0.4084399342536926,-3.1019744873046875,193.05904639,500.0
600,76800,9.932760238647461,185,0.6897604465484619,-1.0819308757781982,194.92762015,500.0
700,89600,9.932755470275879,185,0.9948376417160034,-0.7100764513015747,198.40664307999998,500.0
800,102400,9.932275772094727,185,0.25373461842536926,-3.5918798446655273,207.38811707999997,500.0
900,115200,9.932119369506836,185,0.8509253859519958,-0.9465517997741699,202.48423775999998,500.0
1000,128000,9.931885719299316,185,0.545067548751831,-2.005096197128296,200.23603124999994,500.0
1100,140800,9.931726455688477,186,0.3949788212776184,-0.6883702278137207,198.23401933999997,500.0
1200,153600,9.932119369506836,186,0.3118228316307068,-1.5800402164459229,193.59643997999996,500.0
1300,166400,9.932007789611816,186,0.7945231199264526,-0.24818313121795654,198.74385026,500.0
1400,179200,9.931962013244629,186,0.6884768009185791,-0.6044842004776001,200.53965946,500.0
1500,192000,9.931501388549805,186,0.17640988528728485,-1.5051803588867188,203.22165495999997,500.0
1600,204800,9.931432723999023,186,0.12600505352020264,-2.5862114429473877,203.78508887,500.0
1700,217600,9.931640625,186,0.3190062642097473,-0.8847377300262451,200.72024475,500.0
1800,230400,9.931782722473145,186,0.12703464925289154,-1.2416973114013672,198.96811802999997,500.0
1900,243200,9.932687759399414,187,0.16399314999580383,-0.6390501260757446,199.27929633000002,500.0
2000,256000,9.932525634765625,187,0.1461622565984726,-0.5592813491821289,198.02928465000002,500.0
2100,268800,9.932798385620117,187,0.12181144952774048,-2.038882255554199,203.09249800000006,500.0
2200,281600,9.932785034179688,187,0.4164068102836609,-0.3134438991546631,203.25747027,500.0
2300,294400,9.932509422302246,187,0.9180474281311035,0.10015618801116943,207.00875007,500.0
2400,307200,9.93263053894043,187,0.3503921627998352,-0.45461225509643555,209.50273555999996,500.0
2500,320000,9.932358741760254,187,0.5887260437011719,-0.29562103748321533,207.57778986000002,500.0
2600,332800,9.932478904724121,187,0.073155976831913,-2.1411361694335938,203.21823848999998,500.0
2700,345600,9.932626724243164,187,0.09678662568330765,-1.9245808124542236,202.17624161999996,500.0
2800,358400,9.932714462280273,187,0.20989876985549927,-0.7527456283569336,196.91679759,500.0
2900,371200,9.93248176574707,187,0.1506541222333908,-1.3551428318023682,204.13512801999997,500.0
3000,384000,9.93256664276123,187,0.2937617897987366,-2.6632280349731445,211.50396428,500.0
3100,396800,9.931962013244629,187,0.29974836111068726,-0.46637845039367676,212.48299089000002,500.0
3200,409600,9.931970596313477,187,0.22461657226085663,-0.5352416038513184,220.52566276999997,500.0
3300,422400,9.931975364685059,187,0.2827472388744354,-0.855462908744812,216.08647861999998,500.0
3400,435200,9.932175636291504,187,0.8750282526016235,0.0026694536209106445,210.85043864999997,500.0
3500,448000,9.932394027709961,187,2.0688047409057617,-0.0557408332824707,211.01370817999998,500.0
3600,460800,9.932053565979004,187,0.2402779459953308,-0.8092081546783447,207.02838131000001,500.0
3700,473600,9.931909561157227,187,0.2031078338623047,-0.9719674587249756,209.85164810000003,500.0
3800,486400,9.932256698608398,187,0.35478267073631287,-0.37937605381011963,207.44259053000005,500.0
3900,499200,9.932806015014648,187,0.18190260231494904,-0.8474880456924438,203.18994457,500.0
