policy_loss,total_timesteps,value_loss,fps,explained_variance,nupdates,policy_entropy,ep_len_mean,ep_reward_mean
-0.43767261505126953,0,3.5812408924102783,72,0.05735516548156738,1,9.932570457458496,,
-0.3755534887313843,8019,1.7381515502929688,226,-0.33040523529052734,100,10.065224647521973,1000.0,445.25402099999997
-0.15413761138916016,16119,4.878294467926025,232,-0.7339690923690796,200,10.045455932617188,1000.0,994.2211079374999
-0.4092520773410797,24219,8.676579475402832,227,-0.1917557716369629,300,9.959546089172363,1000.0,2835.3841603333335
-0.37503325939178467,32319,7.162666320800781,222,0.08307915925979614,400,9.913527488708496,1000.0,4437.225002
-0.21325835585594177,40419,6.863903999328613,219,-0.08410775661468506,500,9.84311580657959,1000.0,5845.30240855
-0.38265711069107056,48519,8.082501411437988,219,0.0973653793334961,600,9.839322090148926,1000.0,7395.296531291667
0.08739539980888367,56619,7.303107261657715,218,0.015810668468475342,700,9.839165687561035,1000.0,8778.923113214287
-0.16289955377578735,64719,6.663688659667969,216,-0.041916728019714355,800,9.851744651794434,1000.0,9989.298137156251
-0.31893789768218994,72819,6.9268479347229,215,-0.023262500762939453,900,9.811089515686035,1000.0,11248.56488236111
-0.11029260605573654,80919,7.099967002868652,214,-0.0757070779800415,1000,9.772727966308594,1000.0,12630.888126025
-0.10239047557115555,89019,6.443418979644775,214,0.007100343704223633,1100,9.73264217376709,1000.0,13934.885981272726
-0.10514502972364426,97119,7.555494785308838,215,0.020198523998260498,1200,9.623449325561523,1000.0,15401.989219406249
0.043179869651794434,105219,8.068723678588867,215,-0.018102407455444336,1300,9.627127647399902,1000.0,17578.150897379997
0.13481378555297852,113319,8.211274147033691,216,-0.041597723960876465,1400,9.505945205688477,1000.0,20482.05837276
0.28304818272590637,121419,7.841882228851318,216,-0.014228105545043945,1500,9.401199340820312,1000.0,23256.215458150004
-0.26343098282814026,129519,7.708738803863525,217,-0.005392670631408691,1600,9.370904922485352,1000.0,26057.528110129995
-0.0519772469997406,137619,7.565550327301025,217,-0.001526951789855957,1700,9.299408912658691,1000.0,28794.111099569996
-0.1368870735168457,145719,7.664488315582275,217,-0.008198380470275879,1800,9.224348068237305,1000.0,31371.625779089994
-0.41196250915527344,153819,7.577134609222412,218,-0.01132667064666748,1900,9.127503395080566,1000.0,34264.180590790005
-0.14430895447731018,161919,7.733098030090332,218,-0.04698801040649414,2000,9.112435340881348,1000.0,37070.44451657
-0.1992996633052826,170019,7.814505100250244,218,0.002702057361602783,2100,9.0427827835083,1000.0,39580.78397705001
-0.00443962961435318,178119,7.230848789215088,219,-0.002192258834838867,2200,8.929518699645996,1000.0,42191.269713550006
0.4840923249721527,186219,7.575711250305176,219,-0.015906333923339844,2300,8.810600280761719,1000.0,44792.675687229996
-0.03951942175626755,194319,7.339617729187012,219,-0.023029446601867676,2400,8.691083908081055,1000.0,47517.323535679985
-0.48812544345855713,202419,7.4651594161987305,219,0.02490389347076416,2500,8.561261177062988,1000.0,50336.462057059995
-0.08966787904500961,210519,8.329808235168457,219,-0.03344142436981201,2600,8.428901672363281,1000.0,53227.53324791
-0.4401002526283264,218619,8.263272285461426,220,0.0014844536781311035,2700,8.298413276672363,1000.0,56457.8212454
