fps,value_loss,total_timesteps,explained_variance,policy_entropy,nupdates,ep_len_mean,ep_reward_mean
183,2.5230865478515625,128,-0.1647815704345703,9.932570457458496,1,,
188,0.6165961027145386,12800,-0.658187747001648,9.932565689086914,100,500.0,229.27986625000003
188,1.0747950077056885,25600,-1.0419483184814453,9.932541847229004,200,500.0,226.41126775
186,0.3787037134170532,38400,-2.5487728118896484,9.932570457458496,300,500.0,227.3601877236842
187,0.9603406190872192,51200,-0.1959308385848999,9.932616233825684,400,500.0,221.76086812000003
187,0.21334977447986603,64000,-8.47793197631836,9.932744979858398,500,500.0,221.96839722000004
187,1.20310640335083,76800,-0.6511160135269165,9.932710647583008,600,500.0,218.42687371
188,0.49077892303466797,89600,-0.877326250076294,9.932836532592773,700,500.0,214.0046432
187,0.7777608633041382,102400,-0.9798703193664551,9.932916641235352,800,500.0,217.05917973999996
188,0.4773252308368683,115200,-0.868249773979187,9.932968139648438,900,500.0,215.25740426000004
188,1.0038270950317383,128000,-0.28516972064971924,9.933334350585938,1000,500.0,229.05485947
188,0.5509341955184937,140800,-0.6772150993347168,9.933455467224121,1100,500.0,231.755023
189,0.2738100588321686,153600,-1.160142183303833,9.933761596679688,1200,500.0,240.64795832999997
189,0.2797989547252655,166400,-0.673858642578125,9.933548927307129,1300,500.0,243.81962826000003
189,0.14373700320720673,179200,-1.627932071685791,9.933568954467773,1400,500.0,237.79998849
189,0.13805633783340454,192000,-1.016575574874878,9.933323860168457,1500,500.0,236.3828227
189,0.234033465385437,204800,-1.072962760925293,9.933691024780273,1600,500.0,229.29439573000002
189,0.33137428760528564,217600,-0.28211891651153564,9.933504104614258,1700,500.0,232.31478629000006
189,0.3303619623184204,230400,-0.2740602493286133,9.932951927185059,1800,500.0,237.39981535000004
190,0.12730556726455688,243200,-2.129822015762329,9.932511329650879,1900,500.0,236.92656564000004
190,0.3201929032802582,256000,-0.403914213180542,9.93285083770752,2000,500.0,236.84708831000003
190,0.2611151337623596,268800,-0.5402917861938477,9.932862281799316,2100,500.0,234.90622858000006
190,0.576119065284729,281600,-0.19235503673553467,9.932770729064941,2200,500.0,231.50072867
190,0.19556555151939392,294400,-0.42235231399536133,9.933028221130371,2300,500.0,234.27372121000005
190,0.26159757375717163,307200,-0.3422027826309204,9.933152198791504,2400,500.0,234.60136851
190,0.2095571756362915,320000,-0.32188498973846436,9.932977676391602,2500,500.0,241.65852877
190,0.3174772262573242,332800,-0.6700136661529541,9.932886123657227,2600,500.0,240.03234809999995
190,0.12326425313949585,345600,-1.3623676300048828,9.933176040649414,2700,500.0,240.27169632000002
190,0.5603093504905701,358400,-0.3658108711242676,9.933095932006836,2800,500.0,241.79039979
190,0.3958215117454529,371200,-0.2440347671508789,9.933134078979492,2900,500.0,238.30275534999998
190,0.6187901496887207,384000,-2.705915689468384,9.933198928833008,3000,500.0,234.54739196
190,0.7156649827957153,396800,-0.16702401638031006,9.93352222442627,3100,500.0,235.11102461
190,0.2387949526309967,409600,-1.2620854377746582,9.933443069458008,3200,500.0,228.45714574000002
190,0.4089891314506531,422400,-0.20476984977722168,9.933867454528809,3300,500.0,225.43047351999996
190,0.12322352826595306,435200,-2.267582416534424,9.934096336364746,3400,500.0,233.86797686999998
190,0.41982099413871765,448000,-0.7890313863754272,9.933955192565918,3500,500.0,238.63035104000002
190,0.20687992870807648,460800,-2.675546169281006,9.934142112731934,3600,500.0,241.21974117000002
190,0.29100003838539124,473600,-0.34181153774261475,9.933904647827148,3700,500.0,243.45264194999996
190,0.08905376493930817,486400,-0.610877275466919,9.934553146362305,3800,500.0,230.4271996
189,0.3414471447467804,499200,-0.7930393218994141,9.934431076049805,3900,500.0,226.25394795999998
