meankl,EpRewMean,explained_variance_tdlam_before,TimestepsSoFar,surrgain,TimeElapsed,optimgain,entloss,EpisodesSoFar,EpThisIter,entropy,EpLenMean
0.0096770525,43159.0831569,0.004543900489807129,288768,0.022962824,2505.6028757095337,0.022962824,0.0,288,1,0.5412367,1001.0
0.011178596,43438.47719105,-0.001897573471069336,289792,0.020595364,2514.0892827510834,0.020595364,0.0,289,1,0.5479429,1001.0
0.012175482,43199.009146325,-0.0021396875381469727,290816,0.027479805,2522.6789956092834,0.027479805,0.0,290,1,0.5013964,1001.0
0.01021974,43403.1969782,0.35873085260391235,291840,0.023905313,2531.516457080841,0.023905313,0.0,291,1,0.521271,1001.0
0.011408292,43376.150281325,0.107188880443573,292864,0.026991135,2540.226793527603,0.026991135,0.0,292,1,0.48955178,1001.0
0.012297476,43488.258894675,-0.002316594123840332,293888,0.022916071,2549.1370215415955,0.022916071,0.0,293,1,0.4366229,1001.0
0.009705245,43283.68557357499,-0.009999513626098633,294912,0.019259019,2557.6742508411407,0.019259019,0.0,294,1,0.40983492,1001.0
0.010069338,43595.320654675,-0.0001233816146850586,295936,0.024114225,2566.5925698280334,0.024114225,0.0,295,1,0.39029962,1001.0
0.01121889,43745.2500364,0.45630741119384766,296960,0.027049527,2575.089818716049,0.027049527,0.0,296,1,0.37137735,1001.0
0.01071067,43861.151930725,-0.01740288734436035,297984,0.025765449,2583.5507361888885,0.025765449,0.0,297,1,0.4144222,1001.0
0.011883108,43988.77279835,0.44723421335220337,299008,0.030612003,2591.9487133026123,0.030612003,0.0,298,1,0.39236182,1001.0
0.01186721,44144.1117744,-0.08875596523284912,300032,0.025133673,2600.5133357048035,0.025133673,0.0,299,1,0.397705,1001.0
0.010611933,44340.761279649996,-0.004610657691955566,301056,0.027272303,2608.974155664444,0.027272303,0.0,300,1,0.4049113,1001.0
0.010545125,44374.07310525,0.33463597297668457,302080,0.030527815,2617.18962430954,0.030527815,0.0,301,1,0.40483484,1001.0
0.011150003,44436.21326735,-0.20026421546936035,303104,0.038571794,2625.6068267822266,0.038571794,0.0,302,1,0.3866491,1001.0
