,cliprange,cliprange_vf,ent_coef,gamma,lam,learning_rate,max_grad_norm,n_steps,nminibatches,noptepochs,vf_coef,mean_auc,std_auc,mean_fer,std_fer
45,0.2,0.2,0.0,0.99,0.95,0.00037,0.5,32,4,4,0.75,10539.85,6640.1,21292.84,11898.87
46,0.2,0.2,0.001,0.99,0.95,0.00037,0.5,32,4,4,1.0,10472.84,6744.56,23034.42,15400.43
47,0.2,0.2,0.01,0.99,0.95,0.00027,0.5,32,4,4,1.0,10184.15,6377.26,21438.34,10635.46
48,0.2,0.2,0.001,0.99,0.95,0.00037,0.5,32,4,4,0.75,10024.41,6174.9,23129.09,15550.0
49,0.2,0.2,0.0,0.99,0.95,0.00037,0.5,32,4,4,0.5,8934.78,5630.74,19989.13,15247.13
50,0.2,0.2,0.1,0.99,0.95,0.00052,0.5,32,4,4,0.5,8680.91,4277.39,13054.2,6492.91
51,0.2,0.2,0.0,0.99,0.95,0.00027,0.5,32,4,4,0.5,8661.02,5679.75,18310.76,10797.59
52,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,0.5,8476.34,5625.96,17792.87,10127.75
53,0.2,0.2,0.001,0.99,0.95,0.00027,0.5,32,4,4,0.5,8266.02,4764.19,16476.41,8350.6
54,0.2,0.2,0.1,0.99,0.95,0.00052,0.5,32,4,4,1.0,8105.74,3569.51,11291.19,5885.52
55,0.2,0.2,0.1,0.99,0.95,0.00052,0.5,32,4,4,0.75,8072.5,3560.47,11505.87,5666.23
56,0.2,0.2,0.001,0.99,0.95,0.00027,0.5,32,4,4,1.0,8067.53,5319.54,16998.64,11516.09
57,0.2,0.2,0.0,0.99,0.95,0.00027,0.5,32,4,4,0.75,7910.62,4491.42,14495.4,6973.27
58,0.2,0.2,0.01,0.99,0.95,0.00027,0.5,32,4,4,0.75,7897.95,4510.28,15350.12,7142.93
59,0.2,0.2,0.1,0.99,0.95,0.00052,0.5,32,4,4,0.25,7874.21,3821.73,12148.0,5602.18
60,0.2,0.2,0.01,0.99,0.95,0.00027,0.5,32,4,4,0.5,7829.63,5133.1,17039.56,8854.58
61,0.2,0.2,0.1,0.99,0.95,0.00072,0.5,32,4,4,0.75,7643.67,3594.9,9921.72,5225.69
62,0.2,0.2,0.1,0.99,0.95,0.00027,0.5,32,4,4,0.5,7472.33,4336.67,13224.68,4630.68
63,0.2,0.2,0.0,0.99,0.95,0.00019,0.5,32,4,4,1.0,7389.41,4844.72,16105.13,10251.68
64,0.2,0.2,0.1,0.99,0.95,0.00072,0.5,32,4,4,1.0,7372.9,2889.59,9042.71,2695.01
65,0.2,0.2,0.1,0.99,0.95,0.00072,0.5,32,4,4,0.25,7245.33,3124.39,8813.35,4797.94
66,0.2,0.2,0.001,0.99,0.95,0.00027,0.5,32,4,4,0.75,7026.45,4196.3,14656.24,8827.67
67,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,0.75,6900.6,3037.94,7605.93,4866.57
68,0.2,0.2,0.1,0.99,0.95,0.00037,0.5,32,4,4,0.75,6896.07,3460.53,10670.31,5567.03
69,0.2,0.2,0.1,0.99,0.95,0.00027,0.5,32,4,4,0.75,6848.02,3781.91,12777.81,5482.67
70,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,0.25,6829.85,4312.2,14531.15,11397.81
71,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,1.0,6537.05,2692.41,7712.35,4688.46
72,0.2,0.2,0.0,0.99,0.95,0.00019,0.5,32,4,4,0.75,6489.82,3787.97,12583.44,5570.15
73,0.2,0.2,0.1,0.99,0.95,0.00037,0.5,32,4,4,0.25,6435.6,3409.52,11101.83,6952.42
74,0.2,0.2,0.01,0.99,0.95,0.00027,0.5,32,4,4,0.25,6418.04,3712.86,12760.47,7151.85
75,0.2,0.2,0.001,0.99,0.95,0.00027,0.5,32,4,4,0.25,6413.84,3663.04,11398.84,4796.87
