,cliprange,cliprange_vf,ent_coef,gamma,lam,learning_rate,max_grad_norm,n_steps,nminibatches,noptepochs,vf_coef,mean_auc,std_auc,mean_fer,std_fer
45,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,0.25,60830.87,1777.19,60943.23,2945.58
46,0.2,0.2,0.1,0.99,0.95,0.00019,0.5,32,4,4,0.75,60786.24,2217.18,56282.09,2767.48
47,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,0.5,60781.56,1574.86,60914.29,3244.63
48,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,0.75,60710.14,2542.04,56241.9,4226.66
49,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,1.0,60638.87,1642.58,60931.02,2046.91
50,0.2,0.2,0.0,0.99,0.95,0.00019,0.5,32,4,4,1.0,60407.73,2831.32,55303.0,4601.16
51,0.2,0.2,0.01,0.99,0.95,0.00019,0.5,32,4,4,0.75,60385.67,2965.85,55127.53,3706.44
52,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,0.5,60266.42,3364.93,54169.82,5073.78
53,0.2,0.2,0.1,0.99,0.95,0.00037,0.5,32,4,4,0.75,60265.67,2503.84,57267.15,3138.69
54,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,1.0,60231.09,2918.03,54568.75,3978.17
55,0.2,0.2,0.0,0.99,0.95,0.00027,0.5,32,4,4,0.5,60146.99,2765.11,55495.55,5123.12
56,0.2,0.2,0.1,0.99,0.95,0.00027,0.5,32,4,4,1.0,60140.91,3222.18,53578.76,6709.11
57,0.2,0.2,0.1,0.99,0.95,0.00052,0.5,32,4,4,0.5,60090.32,2400.84,57384.13,2236.0
58,0.2,0.2,0.0,0.99,0.95,0.00027,0.5,32,4,4,1.0,60047.62,3263.17,54363.56,4173.16
59,0.2,0.2,0.0,0.99,0.95,0.00019,0.5,32,4,4,0.25,60040.62,2898.03,54365.07,4360.86
60,0.2,0.2,0.0,0.99,0.95,0.00027,0.5,32,4,4,0.25,60027.94,3071.29,55022.55,6351.4
61,0.2,0.2,0.0,0.99,0.95,0.00019,0.5,32,4,4,0.5,59983.77,3382.42,53206.82,7670.65
62,0.2,0.2,0.0,0.99,0.95,0.00019,0.5,32,4,4,0.75,59922.34,3435.26,53499.24,7609.67
63,0.2,0.2,0.1,0.99,0.95,0.00027,0.5,32,4,4,0.25,59862.75,3004.54,54973.71,3395.15
64,0.2,0.2,0.01,0.99,0.95,0.00027,0.5,32,4,4,0.25,59772.3,3203.26,54345.28,4990.0
65,0.2,0.2,0.01,0.99,0.95,0.00027,0.5,32,4,4,0.5,59725.69,3345.66,54268.54,4407.72
66,0.2,0.2,0.01,0.99,0.95,0.00037,0.5,32,4,4,1.0,59479.7,3260.97,54585.65,4458.14
67,0.2,0.2,0.01,0.99,0.95,0.00037,0.5,32,4,4,0.75,59474.18,3129.78,54922.15,4285.81
68,0.2,0.2,0.1,0.99,0.95,0.00072,0.5,32,4,4,1.0,59424.57,2591.84,56947.96,3780.91
69,0.2,0.2,0.1,0.99,0.95,0.00072,0.5,32,4,4,0.75,59386.19,2554.91,57403.4,3504.76
70,0.2,0.2,0.001,0.99,0.95,0.00027,0.5,32,4,4,1.0,59350.81,3382.05,55169.73,4380.13
71,0.2,0.2,0.001,0.99,0.95,0.00027,0.5,32,4,4,0.5,59275.64,3514.16,53993.98,8269.55
72,0.2,0.2,0.0,0.99,0.95,0.00037,0.5,32,4,4,0.75,59196.53,3715.91,52505.73,10495.13
