,cliprange,cliprange_vf,ent_coef,gamma,lam,learning_rate,max_grad_norm,n_steps,nminibatches,noptepochs,vf_coef,mean_auc,std_auc,mean_fer,std_fer
1,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,0.25,37677.58,16539.51,16369.01,16510.41
2,0.2,0.2,0.001,0.99,0.95,0.001,0.5,32,4,4,0.5,39268.71,15454.9,18659.49,17179.51
3,0.2,0.2,0.001,0.99,0.95,0.001,0.5,32,4,4,0.75,40677.76,13547.32,25947.54,19346.42
4,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,1.0,41946.9,13292.18,29557.12,21430.35
5,0.2,0.2,0.01,0.99,0.95,0.00072,0.5,32,4,4,1.0,42237.48,15022.58,18835.72,15969.47
6,0.2,0.2,0.01,0.99,0.95,0.001,0.5,32,4,4,1.0,42795.86,13090.38,25099.33,22284.42
7,0.2,0.2,0.01,0.99,0.95,0.00052,0.5,32,4,4,0.5,43375.85,14104.46,20434.4,14784.53
8,0.2,0.2,0.001,0.99,0.95,0.001,0.5,32,4,4,0.25,43651.37,14046.65,24207.97,20713.37
9,0.2,0.2,0.01,0.99,0.95,0.001,0.5,32,4,4,0.75,45083.16,12207.18,29999.62,18554.61
10,0.2,0.2,0.0,0.99,0.95,0.00072,0.5,32,4,4,1.0,45615.84,11625.62,32569.53,18511.01
11,0.2,0.2,0.01,0.99,0.95,0.00072,0.5,32,4,4,0.75,46438.45,10944.73,31067.74,20032.81
12,0.2,0.2,0.001,0.99,0.95,0.00072,0.5,32,4,4,0.5,46907.21,11885.61,30078.9,22883.64
13,0.2,0.2,0.0,0.99,0.95,0.00052,0.5,32,4,4,0.25,47139.62,11287.81,28713.55,21470.32
14,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,0.5,47338.37,9442.52,35985.65,21706.79
15,0.2,0.2,0.0,0.99,0.95,0.00072,0.5,32,4,4,0.25,48593.56,10388.25,35449.7,21698.83
16,0.2,0.2,0.001,0.99,0.95,0.00052,0.5,32,4,4,1.0,48619.47,10517.69,30785.63,20380.92
17,0.2,0.2,0.0,0.99,0.95,0.00037,0.5,32,4,4,1.0,48653.75,10863.76,28743.81,17272.69
18,0.2,0.2,0.001,0.99,0.95,0.00072,0.5,32,4,4,0.75,48925.75,10224.59,32997.56,19220.23
19,0.2,0.2,0.001,0.99,0.95,0.00072,0.5,32,4,4,1.0,49106.29,9496.26,37185.54,21730.89
20,0.2,0.2,0.0,0.99,0.95,0.00072,0.5,32,4,4,0.75,49393.32,9665.87,33496.08,19835.93
21,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,0.75,49905.13,7945.35,37994.47,16523.42
22,0.2,0.2,0.001,0.99,0.95,0.00037,0.5,32,4,4,0.25,49966.93,9876.23,32870.61,16489.24
