,ent_coef,gamma,kfac_clip,learning_rate,lr_schedule,max_grad_norm,n_steps,vf_coef,vf_fisher_coef,mean_auc,std_auc,mean_fer,std_fer
1,0.0,0.99,0.001,0.12,linear,0.5,32,0.75,1.0,44063.0,13486.0,23035.0,8997.0
2,0.001,0.99,0.001,0.12,linear,0.5,32,1.0,1.0,44434.0,13875.0,22879.0,9182.0
3,0.001,0.99,0.001,0.12,constant,0.5,32,1.0,1.0,44443.0,13733.0,21748.0,14817.0
4,0.0,0.99,0.001,0.12,linear,0.5,32,1.0,1.0,44493.0,13545.0,23081.0,12641.0
5,0.0,0.99,0.001,0.12,constant,0.5,32,1.0,1.0,44900.0,14225.0,19372.0,13969.0
6,0.001,0.99,0.001,0.3,constant,0.5,32,1.0,1.0,44987.0,12778.0,23474.0,17867.0
7,0.01,0.99,0.001,0.12,linear,0.5,32,0.75,1.0,45408.0,12404.0,27909.0,8388.0
8,0.0,0.99,0.001,0.12,constant,0.5,32,0.75,1.0,45838.0,12852.0,23350.0,14437.0
9,0.01,0.99,0.001,0.12,constant,0.5,32,0.5,1.0,45997.0,12316.0,27673.0,5946.0
10,0.001,0.99,0.001,0.02,constant,0.5,32,0.75,1.0,46024.0,12566.0,26595.0,12952.0
11,0.01,0.99,0.001,0.02,constant,0.5,32,0.75,1.0,46097.0,12184.0,26615.0,10107.0
12,0.0,0.99,0.001,0.05,linear,0.5,32,1.0,1.0,46165.0,12431.0,30296.0,6380.0
13,0.001,0.99,0.001,0.12,constant,0.5,32,0.5,1.0,46235.0,13039.0,22267.0,13223.0
14,0.0,0.99,0.001,0.05,linear,0.5,32,0.5,1.0,46268.0,12438.0,30423.0,6213.0
15,0.01,0.99,0.001,0.05,constant,0.5,32,0.75,1.0,46297.0,12403.0,25806.0,9638.0
16,0.001,0.99,0.001,0.05,constant,0.5,32,1.0,1.0,46395.0,12578.0,24874.0,11788.0
17,0.0,0.99,0.001,0.02,constant,0.5,32,1.0,1.0,46480.0,12425.0,25989.0,11097.0
18,0.001,0.99,0.001,0.05,linear,0.5,32,0.5,1.0,46538.0,11240.0,31204.0,7785.0
19,0.0,0.99,0.001,0.05,linear,0.5,32,0.75,1.0,46615.0,11518.0,32187.0,7440.0
20,0.001,0.99,0.001,0.05,constant,0.5,32,0.75,1.0,46666.0,12549.0,28255.0,14967.0
21,0.001,0.99,0.001,0.05,constant,0.5,32,0.5,1.0,46743.0,12346.0,24790.0,14257.0
22,0.001,0.99,0.001,0.05,linear,0.5,32,1.0,1.0,46792.0,11841.0,31361.0,10204.0
23,0.001,0.99,0.001,0.12,linear,0.5,32,0.75,1.0,46813.0,12232.0,28737.0,12887.0
24,0.001,0.99,0.001,0.12,linear,0.5,32,0.5,1.0,47012.0,11863.0,28894.0,11397.0
25,0.0,0.99,0.001,0.05,constant,0.5,32,1.0,1.0,47047.0,12398.0,25937.0,11398.0
26,0.01,0.99,0.001,0.02,constant,0.5,32,1.0,1.0,47056.0,11907.0,28163.0,6894.0
