,cliprange,cliprange_vf,ent_coef,gamma,lam,learning_rate,max_grad_norm,n_steps,nminibatches,noptepochs,vf_coef,mean_auc,std_auc,mean_fer,std_fer
45,0.2,0.2,0.1,0.99,0.95,0.00037,0.5,32,4,4,1.0,6912.36,3938.48,12052.59,5052.52
46,0.2,0.2,0.01,0.99,0.95,0.00037,0.5,32,4,4,0.5,6684.25,3921.12,12114.49,6711.85
47,0.2,0.2,0.1,0.99,0.95,0.00052,0.5,32,4,4,1.0,6662.9,3911.43,10752.09,4289.25
48,0.2,0.2,0.0,0.99,0.95,0.00052,0.5,32,4,4,0.75,6607.99,3767.88,12473.58,7497.4
49,0.2,0.2,0.1,0.99,0.95,0.00072,0.5,32,4,4,0.5,6464.33,3219.47,8602.98,5104.44
50,0.2,0.2,0.1,0.99,0.95,0.00052,0.5,32,4,4,0.25,6401.79,3524.51,10821.5,4155.41
51,0.2,0.2,0.1,0.99,0.95,0.00037,0.5,32,4,4,0.5,6286.66,3534.34,11507.22,2270.25
52,0.2,0.2,0.1,0.99,0.95,0.00052,0.5,32,4,4,0.75,6262.48,3464.92,10629.92,5165.68
53,0.2,0.2,0.0,0.99,0.95,0.00037,0.5,32,4,4,0.25,5957.73,3423.88,11620.87,7673.92
54,0.2,0.2,0.01,0.99,0.95,0.00027,0.5,32,4,4,1.0,5951.6,3785.5,12564.04,5411.85
55,0.2,0.2,0.1,0.99,0.95,0.00072,0.5,32,4,4,0.25,5914.47,2664.16,7390.33,1496.17
56,0.2,0.2,0.01,0.99,0.95,0.00027,0.5,32,4,4,0.75,5871.03,3504.62,12129.57,6924.23
57,0.2,0.2,0.0,0.99,0.95,0.00037,0.5,32,4,4,0.75,5803.47,3715.91,12494.27,10495.13
58,0.2,0.2,0.001,0.99,0.95,0.00027,0.5,32,4,4,0.5,5724.36,3514.16,11006.02,8269.55
59,0.2,0.2,0.001,0.99,0.95,0.00027,0.5,32,4,4,1.0,5649.19,3382.05,9830.27,4380.13
60,0.2,0.2,0.1,0.99,0.95,0.00072,0.5,32,4,4,0.75,5613.81,2554.91,7596.6,3504.76
61,0.2,0.2,0.1,0.99,0.95,0.00072,0.5,32,4,4,1.0,5575.43,2591.84,8052.04,3780.91
62,0.2,0.2,0.01,0.99,0.95,0.00037,0.5,32,4,4,0.75,5525.82,3129.78,10077.85,4285.81
63,0.2,0.2,0.01,0.99,0.95,0.00037,0.5,32,4,4,1.0,5520.3,3260.97,10414.35,4458.14
64,0.2,0.2,0.01,0.99,0.95,0.00027,0.5,32,4,4,0.5,5274.31,3345.66,10731.46,4407.72
65,0.2,0.2,0.01,0.99,0.95,0.00027,0.5,32,4,4,0.25,5227.7,3203.26,10654.72,4990.0
66,0.2,0.2,0.1,0.99,0.95,0.00027,0.5,32,4,4,0.25,5137.25,3004.54,10026.29,3395.15
67,0.2,0.2,0.0,0.99,0.95,0.00019,0.5,32,4,4,0.75,5077.66,3435.26,11500.76,7609.67
68,0.2,0.2,0.0,0.99,0.95,0.00019,0.5,32,4,4,0.5,5016.23,3382.42,11793.18,7670.65
69,0.2,0.2,0.0,0.99,0.95,0.00027,0.5,32,4,4,0.25,4972.06,3071.29,9977.45,6351.4
70,0.2,0.2,0.0,0.99,0.95,0.00019,0.5,32,4,4,0.25,4959.38,2898.03,10634.93,4360.86
71,0.2,0.2,0.0,0.99,0.95,0.00027,0.5,32,4,4,1.0,4952.38,3263.17,10636.44,4173.16
72,0.2,0.2,0.1,0.99,0.95,0.00052,0.5,32,4,4,0.5,4909.68,2400.84,7615.87,2236.0
73,0.2,0.2,0.1,0.99,0.95,0.00027,0.5,32,4,4,1.0,4859.09,3222.18,11421.24,6709.11
74,0.2,0.2,0.0,0.99,0.95,0.00027,0.5,32,4,4,0.5,4853.01,2765.11,9504.45,5123.12
75,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,1.0,4768.91,2918.03,10431.25,3978.17
76,0.2,0.2,0.1,0.99,0.95,0.00037,0.5,32,4,4,0.75,4734.33,2503.84,7732.85,3138.69
77,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,0.5,4733.58,3364.93,10830.18,5073.78
78,0.2,0.2,0.01,0.99,0.95,0.00019,0.5,32,4,4,0.75,4614.33,2965.85,9872.47,3706.44
79,0.2,0.2,0.0,0.99,0.95,0.00019,0.5,32,4,4,1.0,4592.27,2831.32,9697.0,4601.16
80,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,1.0,4361.13,1642.58,4068.98,2046.91
81,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,0.75,4289.86,2542.04,8758.1,4226.66
82,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,0.5,4218.44,1574.86,4085.71,3244.63
83,0.2,0.2,0.1,0.99,0.95,0.00019,0.5,32,4,4,0.75,4213.76,2217.18,8717.91,2767.48
84,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,0.25,4169.13,1777.19,4056.77,2945.58
85,0.2,0.2,0.01,0.99,0.95,0.00037,0.5,32,4,4,0.25,4150.64,2354.88,8361.31,4584.67
86,0.2,0.2,0.01,0.99,0.95,0.00019,0.5,32,4,4,0.25,4006.64,2352.18,8307.24,3222.28
87,0.2,0.2,0.1,0.99,0.95,0.00037,0.5,32,4,4,0.25,3938.84,1845.36,6661.29,3425.73
88,0.2,0.2,0.1,0.99,0.95,0.00027,0.5,32,4,4,0.75,3924.7,2139.19,8069.31,4094.5
89,0.2,0.2,0.001,0.99,0.95,0.00014,0.5,32,4,4,0.25,3833.09,2564.77,9297.88,6126.03
90,0.2,0.2,0.01,0.99,0.95,0.00019,0.5,32,4,4,1.0,3781.29,2272.91,8507.15,6355.3
91,0.2,0.2,0.01,0.99,0.95,0.00019,0.5,32,4,4,0.5,3769.12,2052.19,7762.36,3832.84
92,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,0.25,3715.58,2132.8,7215.66,3905.64
93,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,0.75,3680.65,1425.32,3366.8,2136.51
94,0.2,0.2,0.1,0.99,0.95,0.00019,0.5,32,4,4,0.25,3525.01,1714.94,6308.78,3229.33
95,0.2,0.2,0.1,0.99,0.95,0.00027,0.5,32,4,4,0.5,3502.55,1967.15,6787.04,2960.46
96,0.2,0.2,0.1,0.99,0.95,0.00019,0.5,32,4,4,1.0,3275.07,1698.88,6281.95,3448.17
97,0.2,0.2,0.0,0.99,0.95,0.00014,0.5,32,4,4,1.0,3211.03,1771.28,6854.15,3677.5
98,0.2,0.2,0.001,0.99,0.95,0.00014,0.5,32,4,4,0.75,3164.13,1724.46,6849.72,2802.75
99,0.2,0.2,0.001,0.99,0.95,0.00014,0.5,32,4,4,0.5,3022.04,1458.03,5873.12,2958.58
100,0.2,0.2,0.0,0.99,0.95,0.00014,0.5,32,4,4,0.75,3018.84,1458.2,6187.49,2728.08
101,0.2,0.2,0.0,0.99,0.95,0.00014,0.5,32,4,4,0.5,2973.31,1595.62,6563.43,3563.05
102,0.2,0.2,0.1,0.99,0.95,0.00019,0.5,32,4,4,0.5,2971.18,1383.06,5037.66,2246.4
103,0.2,0.2,0.0,0.99,0.95,0.00014,0.5,32,4,4,0.25,2900.93,1554.31,5660.63,3421.86
104,0.2,0.2,0.01,0.99,0.95,0.00014,0.5,32,4,4,0.25,2841.15,1455.27,5468.82,2588.28
105,0.2,0.2,0.01,0.99,0.95,0.00014,0.5,32,4,4,0.75,2796.61,1472.68,5486.96,3339.31
106,0.2,0.2,0.01,0.99,0.95,0.00014,0.5,32,4,4,0.5,2782.24,1383.32,4914.99,2972.27
107,0.2,0.2,0.001,0.99,0.95,0.00014,0.5,32,4,4,1.0,2741.85,1370.03,5542.39,3314.71
108,0.2,0.2,0.1,0.99,0.95,0.00014,0.5,32,4,4,1.0,2706.04,1174.24,4073.15,1205.69
109,0.2,0.2,0.01,0.99,0.95,0.0001,0.5,32,4,4,0.75,2645.63,1298.75,4428.77,1810.5
110,0.2,0.2,0.1,0.99,0.95,0.00014,0.5,32,4,4,0.5,2643.97,1209.8,4445.76,1479.97
111,0.2,0.2,0.01,0.99,0.95,0.00014,0.5,32,4,4,1.0,2640.54,1178.85,4951.92,3373.9
112,0.2,0.2,0.001,0.99,0.95,0.0001,0.5,32,4,4,0.75,2555.74,1413.53,4733.14,1364.04
113,0.2,0.2,0.001,0.99,0.95,0.0001,0.5,32,4,4,1.0,2493.57,1182.91,4060.48,1797.07
114,0.2,0.2,0.1,0.99,0.95,0.0001,0.5,32,4,4,1.0,2454.88,1256.47,3897.58,1144.04
115,0.2,0.2,0.1,0.99,0.95,0.0001,0.5,32,4,4,0.5,2421.61,1259.34,3902.3,1152.63
116,0.2,0.2,0.001,0.99,0.95,0.0001,0.5,32,4,4,0.5,2396.59,1195.87,3806.12,1472.86
117,0.2,0.2,0.1,0.99,0.95,0.00014,0.5,32,4,4,0.75,2376.81,926.56,3557.16,1509.31
118,0.2,0.2,0.01,0.99,0.95,0.0001,0.5,32,4,4,1.0,2370.66,1186.7,3629.82,835.48
119,0.2,0.2,0.0,0.99,0.95,0.0001,0.5,32,4,4,1.0,2370.58,1110.87,3621.14,1164.25
120,0.2,0.2,0.0,0.99,0.95,0.0001,0.5,32,4,4,0.25,2333.15,1230.66,3645.02,1699.48
121,0.2,0.2,0.01,0.99,0.95,0.0001,0.5,32,4,4,0.25,2280.91,1165.3,3739.13,1646.46
122,0.2,0.2,0.1,0.99,0.95,0.0001,0.5,32,4,4,0.25,2261.9,1159.21,3673.2,1134.92
123,0.2,0.2,0.001,0.99,0.95,0.0001,0.5,32,4,4,0.25,2236.76,1138.34,3622.9,1266.33
124,0.2,0.2,0.1,0.99,0.95,0.0001,0.5,32,4,4,0.75,2201.81,1116.58,3542.92,1437.26
125,0.2,0.2,0.1,0.99,0.95,0.00014,0.5,32,4,4,0.25,2123.5,934.22,3010.93,1410.95
126,0.2,0.2,0.0,0.99,0.95,0.0001,0.5,32,4,4,0.75,2030.56,985.79,3184.28,1195.29
127,0.2,0.2,0.0,0.99,0.95,0.0001,0.5,32,4,4,0.5,1994.22,901.56,2747.31,1027.0
128,0.2,0.2,0.01,0.99,0.95,0.0001,0.5,32,4,4,0.5,1822.11,856.53,2610.18,966.76
