policy_entropy,explained_variance,policy_loss,nupdates,fps,value_loss,total_timesteps,ep_reward_mean,ep_len_mean
9.93256950378418,-0.04104495048522949,0.12605997920036316,1,24,70.9852523803711,0,,
9.683961868286133,-26.917171478271484,0.17390814423561096,100,175,18.128469467163086,2079,459.01719850000006,1000.0
9.66697883605957,-30.228185653686523,0.3784622550010681,200,179,16.451818466186523,4179,407.85978925,1000.0
9.664826393127441,-2.2825403213500977,0.0879577249288559,300,182,19.279769897460938,6279,462.50252099999994,1000.0
9.678418159484863,-27277289.0,0.4818519949913025,400,190,25.11162567138672,8379,498.485609375,1000.0
9.715921401977539,-2524.404541015625,-0.17273537814617157,500,190,25.449209213256836,10479,507.94509619999997,1000.0
9.746203422546387,-0.21698331832885742,-0.14138349890708923,600,193,27.743587493896484,12579,570.9322268333334,1000.0
9.734819412231445,-0.2622203826904297,0.3290747106075287,700,192,30.5216064453125,14679,683.3210075714286,1000.0
9.751049995422363,-0.1796036958694458,-0.6227291226387024,800,194,43.10273742675781,16779,851.41674025,1000.0
9.733263969421387,0.01611793041229248,0.43582966923713684,900,195,40.152103424072266,18879,1038.434036333333,1000.0
9.739039421081543,0.015328824520111084,-0.3907060921192169,1000,197,54.386688232421875,20979,1198.76274175,1000.0
9.750003814697266,0.26483237743377686,0.059667013585567474,1100,199,57.17975616455078,23079,1370.7800016818182,1000.0
9.75663948059082,-0.516144871711731,0.3534988462924957,1200,199,60.2336540222168,25179,1505.018691708333,1000.0
9.754039764404297,0.24497288465499878,-0.399197518825531,1300,200,61.32350540161133,27279,1588.3846928076923,1000.0
9.774224281311035,-0.20222342014312744,0.025555454194545746,1400,201,60.60222244262695,29379,1706.243988642857,1000.0
9.74700927734375,-0.69318687915802,-0.46533316373825073,1500,202,69.1709976196289,31479,1811.7152185,1000.0
9.704926490783691,-0.02920389175415039,-0.40652820467948914,1600,203,68.45245361328125,33579,1936.6469799375,1000.0
9.688529968261719,-0.1789768934249878,-0.0957704558968544,1700,204,72.09603118896484,35679,2034.9907760294116,1000.0
9.682361602783203,0.2494356632232666,0.560546338558197,1800,204,73.0841293334961,37779,2153.8644211388887,1000.0
9.702880859375,-0.050096869468688965,-0.4027777314186096,1900,204,83.39566802978516,39879,2264.337101,1000.0
9.687633514404297,0.00018030405044555664,0.5313852429389954,2000,205,86.24009704589844,41979,2409.3988184500004,1000.0
9.687200546264648,-0.04223012924194336,0.3447316586971283,2100,204,98.11055755615234,44079,2517.179769452381,1000.0
9.695040702819824,-0.10383486747741699,-0.02163798362016678,2200,203,102.15625762939453,46179,2664.207055818182,1000.0
9.71718978881836,0.03796374797821045,0.3501232862472534,2300,203,108.4166030883789,48279,2833.714756434783,1000.0
9.695158958435059,-0.10296869277954102,-0.2382144033908844,2400,202,122.30308532714844,50379,3038.5774899374996,1000.0
9.670352935791016,-0.052687764167785645,-0.12348423153162003,2500,202,122.33497619628906,52479,3245.61124946,1000.0
9.702238082885742,-0.7747161388397217,0.11111894994974136,2600,202,132.32974243164062,54579,3442.6212202692304,1000.0
9.616022109985352,0.01867884397506714,0.6610766053199768,2700,202,143.3940887451172,56679,3654.453984296296,1000.0
9.55880355834961,0.242182195186615,-0.35807305574417114,2800,202,156.3829345703125,58779,3875.8686429464287,1000.0
9.529353141784668,0.04514646530151367,-0.4878724217414856,2900,201,154.26992797851562,60879,4039.4691918620697,1000.0
9.543373107910156,0.29782813787460327,-0.6454033851623535,3000,201,158.6372528076172,62979,4211.591068116667,1000.0
9.546085357666016,-0.021730899810791016,0.705913782119751,3100,201,157.0950469970703,65079,4367.974212225807,1000.0
9.514604568481445,0.15810304880142212,-0.18427911400794983,3200,201,162.204833984375,67179,4545.998241234375,1000.0
9.525030136108398,-0.017976880073547363,-0.1980716586112976,3300,201,160.90902709960938,69279,4701.075172030302,1000.0
9.536214828491211,-0.025988101959228516,0.03726247698068619,3400,201,160.8335723876953,71379,4858.508807911763,1000.0
9.534893035888672,0.04294174909591675,-0.06993675231933594,3500,201,162.78848266601562,73479,5013.590327385713,1000.0
9.554780960083008,0.0004609227180480957,-0.04657110199332237,3600,201,165.05194091796875,75579,5153.2400628333335,1000.0
9.491432189941406,-0.03921997547149658,-0.29637402296066284,3700,202,164.81369018554688,77679,5289.210428351352,1000.0
9.437443733215332,-0.23334455490112305,-0.6350489854812622,3800,201,165.6981964111328,79779,5406.335583473684,1000.0
9.409104347229004,-0.010113000869750977,-0.0755920484662056,3900,201,166.77911376953125,81879,5516.073293333334,1000.0
9.381919860839844,-0.012911200523376465,0.02680324763059616,4000,202,163.6699981689453,83979,5642.5706415,1000.0
9.376776695251465,0.07457274198532104,-0.13884203135967255,4100,202,166.73355102539062,86079,5769.45971740244,1000.0
9.412105560302734,0.007918298244476318,0.048155322670936584,4200,202,168.59957885742188,88179,5901.927802392858,1000.0
9.421717643737793,0.09376347064971924,-0.7308537364006042,4300,201,170.58834838867188,90279,6032.255634709303,1000.0
9.430522918701172,0.02482682466506958,-0.2581928074359894,4400,201,169.25474548339844,92379,6122.0187141022725,1000.0
9.4559326171875,-0.023053526878356934,0.4696176052093506,4500,202,167.15109252929688,94479,6203.635305811111,1000.0
9.457502365112305,-0.013585209846496582,-0.13231325149536133,4600,201,167.44760131835938,96579,6303.825724326087,1000.0
9.447253227233887,0.03861325979232788,-0.23670808970928192,4700,202,170.10693359375,98679,6389.7671324787225,1000.0
9.405921936035156,-0.02513599395751953,0.20976407825946808,4800,202,167.87228393554688,100779,6463.377183968751,1000.0
9.404500007629395,0.018502116203308105,-0.7374182939529419,4900,202,168.33377075195312,102879,6542.017826204083,1000.0
9.41159725189209,0.0066683292388916016,0.20924821496009827,5000,202,167.5640106201172,104979,6619.09713728,1000.0
