value_loss,policy_loss,nupdates,explained_variance,total_timesteps,policy_entropy,fps,ep_len_mean,ep_reward_mean
17.287378311157227,0.1727844625711441,1,-0.07664024829864502,0,9.932570457458496,82,,
7.095034599304199,-0.3866117596626282,100,-1.7510268688201904,8019,10.038604736328125,239,1000.0,390.358351375
5.961414813995361,-0.10433033108711243,200,-12.903824806213379,16119,10.045624732971191,239,1000.0,392.21630043749997
5.626955032348633,-0.3383086323738098,300,-3.5906357765197754,24219,10.053131103515625,239,1000.0,477.7834358333333
6.683659553527832,-0.0914640799164772,400,-0.1523914337158203,32319,10.043457984924316,241,1000.0,658.702111875
9.75018310546875,-0.06666688621044159,500,0.32821911573410034,40419,10.026717185974121,242,1000.0,1167.3485614249998
12.449075698852539,0.03821428865194321,600,-0.37228453159332275,48519,10.024031639099121,242,1000.0,2152.074452916667
10.384223937988281,0.005636535584926605,700,-0.08830404281616211,56619,9.983057022094727,242,1000.0,3757.9806406607145
9.873359680175781,0.23721523582935333,800,0.06721407175064087,64719,9.985380172729492,242,1000.0,5714.610623234375
6.887504577636719,-0.2738349437713623,900,-0.02259695529937744,72819,9.990485191345215,242,1000.0,7436.2151664583325
5.561131000518799,-0.22965629398822784,1000,-0.07735836505889893,80919,9.944581031799316,241,1000.0,8880.228690074999
4.513413429260254,-0.3322088420391083,1100,-0.01195526123046875,89019,9.938102722167969,241,1000.0,10049.22644034091
7.008994102478027,0.2150603085756302,1200,-6.0880537033081055,97119,9.924589157104492,241,1000.0,11404.919964635417
10.189926147460938,-0.20467135310173035,1300,-3.6854538917541504,105219,9.96449089050293,239,1000.0,14194.088507700002
12.61042594909668,0.12668973207473755,1400,-3.669802188873291,113319,9.932252883911133,237,1000.0,17934.93786772
10.631014823913574,-0.24920719861984253,1500,-0.012892842292785645,121419,9.871853828430176,237,1000.0,22235.917043409998
8.851432800292969,-0.23816068470478058,1600,-0.7345391511917114,129519,9.770035743713379,235,1000.0,26877.253305230002
7.544268608093262,-0.17095988988876343,1700,-0.5099948644638062,137619,9.698517799377441,233,1000.0,31439.264196399996
7.3664231300354,-0.25662434101104736,1800,0.02794051170349121,145719,9.645413398742676,232,1000.0,35784.8419443
6.43271017074585,-0.4452347159385681,1900,-0.7994986772537231,153819,9.585227966308594,229,1000.0,39984.31105775
6.990973472595215,0.02459951490163803,2000,-0.48434579372406006,161919,9.488686561584473,228,1000.0,44332.44312062999
6.691468715667725,-0.24700811505317688,2100,0.04725998640060425,170019,9.413225173950195,227,1000.0,48159.247418020015
6.643263339996338,0.08918029814958572,2200,-0.03774881362915039,178119,9.261950492858887,226,1000.0,52299.13758249999
6.647517204284668,-0.3146313726902008,2300,-0.05293166637420654,186219,9.179283142089844,225,1000.0,56911.01117738999
6.968574523925781,-0.3125891089439392,2400,0.025610804557800293,194319,9.063767433166504,224,1000.0,62002.754793160006
7.06076717376709,-0.019889988005161285,2500,-0.041063666343688965,202419,8.895844459533691,223,1000.0,66551.64238064
7.4516191482543945,0.2038450539112091,2600,-0.06373512744903564,210519,8.730332374572754,223,1000.0,71459.43327065
7.751158237457275,0.0871846005320549,2700,-0.014064311981201172,218619,8.55903434753418,223,1000.0,75978.64888732001
7.803430080413818,-0.0009916946291923523,2800,0.006737232208251953,226719,8.423912048339844,223,1000.0,80520.49268281
8.695287704467773,-0.33624207973480225,2900,-0.030138611793518066,234819,8.284148216247559,223,1000.0,84767.52953767
6.896459102630615,-0.0038815364241600037,3000,-0.007923126220703125,242919,8.18886661529541,223,1000.0,88764.96587208002
7.10513162612915,-0.4264257848262787,3100,0.04539930820465088,251019,8.080315589904785,223,1000.0,93687.68954311
7.012603759765625,0.05682726204395294,3200,-0.008698582649230957,259119,7.9898881912231445,223,1000.0,97897.51004848997
7.001287937164307,-0.5450438857078552,3300,-0.015228867530822754,267219,7.863974571228027,223,1000.0,102195.54964716999
6.9099836349487305,-0.2199426293373108,3400,-0.00814366340637207,275319,7.805624961853027,223,1000.0,106388.19736175999
6.826129913330078,-0.006891034543514252,3500,-0.0008753538131713867,283419,7.693483829498291,223,1000.0,110088.05693004999
6.709474086761475,-0.12979476153850555,3600,-0.015106797218322754,291519,7.652972221374512,223,1000.0,113388.04615853
6.524356842041016,-0.12431013584136963,3700,0.018062889575958252,299619,7.633070945739746,223,1000.0,115996.58892825
6.282705307006836,0.1745106279850006,3800,-0.00843048095703125,307719,7.56130313873291,223,1000.0,118226.84307839001
6.082243919372559,-0.1348990797996521,3900,-0.009302973747253418,315819,7.582295894622803,223,1000.0,119386.75370649999
5.9794206619262695,-0.17870527505874634,4000,-0.002843022346496582,323919,7.616412162780762,223,1000.0,120324.73477192002
5.790243625640869,-0.14738348126411438,4100,0.0019170641899108887,332019,7.578866004943848,223,1000.0,120701.15726268999
5.738750457763672,0.06990502774715424,4200,-0.005716919898986816,340119,7.5669708251953125,223,1000.0,122232.48914549
5.699408531188965,-0.19149480760097504,4300,-0.007902383804321289,348219,7.612124443054199,224,1000.0,122751.32416989001
5.667664527893066,-0.3785431981086731,4400,-0.004933834075927734,356319,7.647641181945801,224,1000.0,123095.82787986999
5.647407531738281,-0.01601923257112503,4500,0.003048539161682129,364419,7.665396690368652,224,1000.0,123505.61946144
5.637399196624756,-0.18293602764606476,4600,-0.0029549598693847656,372519,7.769766807556152,224,1000.0,123674.7189436
5.596556186676025,0.1390591859817505,4700,0.0066255927085876465,380619,7.804496765136719,224,1000.0,123832.21369608
5.476891040802002,-0.06581450998783112,4800,-0.0014293193817138672,388719,7.930674076080322,224,1000.0,123937.23420735002
5.595559120178223,-0.36664628982543945,4900,-0.003016948699951172,396819,7.888276100158691,224,1000.0,123892.42951319
5.486600399017334,-0.09946770966053009,5000,-0.00558924674987793,404919,7.9252729415893555,224,1000.0,124029.33495974001
5.461491584777832,0.260733038187027,5100,0.00032716989517211914,413019,7.961398124694824,224,1000.0,124032.05576312
5.455653667449951,-0.08237695693969727,5200,-1.9073486328125e-06,421119,8.001770973205566,224,1000.0,124326.13924016003
5.403415679931641,-0.0566205196082592,5300,0.0010339617729187012,429219,7.956826210021973,224,1000.0,124600.12061289999
5.333984375,-0.193826824426651,5400,-0.0013164281845092773,437319,7.981049537658691,224,1000.0,124654.46956592999
5.42317008972168,0.10749313980340958,5500,0.001974344253540039,445419,8.005791664123535,224,1000.0,124549.76034758001
5.383753299713135,-0.5954280495643616,5600,-0.0021668672561645508,453519,7.9698896408081055,225,1000.0,124581.50721590001
5.460629463195801,-0.15598741173744202,5700,-0.010000467300415039,461619,7.956212520599365,225,1000.0,124459.16969099002
5.485243320465088,-0.22393381595611572,5800,-0.011416792869567871,469719,7.98046350479126,225,1000.0,124406.17709516002
5.5852251052856445,-0.026545092463493347,5900,-0.0018916130065917969,477819,7.946126461029053,225,1000.0,124333.81939034
5.566522121429443,-0.13676314055919647,6000,-0.0014493465423583984,485919,8.0084228515625,225,1000.0,124379.57699934
5.487882137298584,-0.2938757538795471,6100,-0.004163265228271484,494019,8.003924369812012,226,1000.0,124178.14219478001
5.4996562004089355,-0.2337697148323059,6200,0.0057220458984375,502119,7.951399803161621,226,1000.0,124221.01883632
