value_loss,fps,explained_variance,total_timesteps,nupdates,policy_entropy,ep_len_mean,ep_reward_mean
24.0460147857666,111,0.0016250014305114746,35,1,9.93256950378418,,
0.40783488750457764,382,0.3661043643951416,3500,100,9.931846618652344,,
0.4256550371646881,303,-0.7401294708251953,7000,200,9.928567886352539,1000.0,369.86356842857145
44.82391357421875,320,0.022897541522979736,10500,300,9.93051815032959,1000.0,369.86356842857145
0.17487891018390656,291,-0.3632575273513794,14000,400,9.932289123535156,1000.0,525.5683073571429
4.685573577880859,306,-0.17151200771331787,17500,500,9.926407814025879,1000.0,525.5683073571429
5.20126485824585,293,-2.194183588027954,21000,600,9.918460845947266,1000.0,553.3380642380953
3.7961132526397705,305,0.2811589241027832,24500,700,9.915044784545898,1000.0,553.3380642380953
18.773941040039062,293,-1.960444450378418,28000,800,9.916420936584473,1000.0,535.7066373214286
0.1055249571800232,298,0.3477848172187805,31500,900,9.929191589355469,1000.0,535.7066373214286
147.5312042236328,287,-0.12714087963104248,35000,1000,9.891739845275879,1000.0,473.2245252285714
0.08894281089305878,285,-0.034628868103027344,38500,1100,9.892508506774902,1000.0,473.2245252285714
459.9256286621094,268,0.02686464786529541,42000,1200,9.945823669433594,1000.0,439.31754
1.0760176181793213,271,0.19019126892089844,45500,1300,9.970218658447266,1000.0,439.31754
782.6282348632812,262,0.03720211982727051,49000,1400,10.011804580688477,1000.0,428.0465866938775
4.623430252075195,263,0.02590256929397583,52500,1500,10.037220001220703,1000.0,428.0465866938775
1069.810546875,259,0.13741320371627808,56000,1600,9.97707748413086,1000.0,438.702338375
15.728130340576172,262,0.09207707643508911,59500,1700,10.000943183898926,1000.0,438.702338375
1140.7650146484375,260,-38.528709411621094,63000,1800,9.940694808959961,1000.0,476.270333031746
208.3475799560547,263,0.030228793621063232,66500,1900,9.906501770019531,1000.0,476.270333031746
1755.96435546875,261,0.019107520580291748,70000,2000,9.902883529663086,1000.0,555.5165834142857
190.5489959716797,265,0.01196223497390747,73500,2100,9.924903869628906,1000.0,555.5165834142857
3443.82861328125,263,0.00018322467803955078,77000,2200,9.924186706542969,1000.0,742.7204702077923
328.6751708984375,265,-0.00020754337310791016,80500,2300,9.937865257263184,1000.0,742.7204702077923
