value_loss,policy_loss,nupdates,policy_entropy,explained_variance,fps,total_timesteps,ep_reward_mean,ep_len_mean
7620.5732421875,-0.05474593862891197,3100,10.193314552307129,0.006510615348815918,286,436959,4955.217126,1000.0
5368.1689453125,-0.07036656141281128,3200,10.197342872619629,0.04842722415924072,286,451059,5230.16443232,1000.0
4937.16259765625,-0.08530289679765701,3300,10.200592994689941,0.0009928345680236816,286,465159,5404.62456873,1000.0
4797.80908203125,-0.07515966147184372,3400,10.207798957824707,-0.0001468658447265625,286,479259,5560.72322309,1000.0
10506.0712890625,-0.11885961145162582,3500,10.210877418518066,0.0013061165809631348,286,493359,5709.689094550002,1000.0
6356.35986328125,-0.29213911294937134,3600,10.212824821472168,0.005211055278778076,287,507459,5892.595895940001,1000.0
5606.54052734375,-0.30474206805229187,3700,10.213165283203125,0.001123189926147461,287,521559,6103.339882540001,1000.0
7626.93310546875,-0.2538721263408661,3800,10.214493751525879,0.012529313564300537,287,535659,6179.447732150001,1000.0
8284.873046875,-0.2042643129825592,3900,10.220097541809082,0.0027637481689453125,287,549759,6231.090294329999,1000.0
64164.69140625,0.044156938791275024,4000,10.229372024536133,0.0028091073036193848,288,563859,6357.64446579,1000.0
14422.08203125,-0.13458797335624695,4100,10.230265617370605,0.0020259618759155273,288,577959,6580.973680229999,1000.0
6982.73291015625,-0.24540334939956665,4200,10.232203483581543,0.001316070556640625,288,592059,6825.216187959999,1000.0
10855.013671875,0.3578607738018036,4300,10.232156753540039,0.06653684377670288,289,606159,7024.63802816,1000.0
7484.7470703125,-0.22241045534610748,4400,10.235386848449707,0.002551555633544922,289,620259,7142.69725681,1000.0
40056.6328125,-0.19660252332687378,4500,10.238058090209961,0.0005307793617248535,289,634359,7412.3986075699995,1000.0
10349.033203125,-0.011204741895198822,4600,10.240675926208496,0.0006362199783325195,289,648459,7761.116253029999,1000.0
9603.7421875,0.13133397698402405,4700,10.246424674987793,0.00045865774154663086,289,662559,8004.025723279999,1000.0
6718.9111328125,-0.2753320336341858,4800,10.246816635131836,3.2067298889160156e-05,289,676659,8216.98701583,1000.0
9213.1044921875,-0.08913664519786835,4900,10.248361587524414,0.0001798868179321289,289,690759,8429.31083372,1000.0
18656.03125,-0.06451918184757233,5000,10.251100540161133,0.0012423992156982422,289,704859,8708.287235830001,1000.0
9639.6318359375,0.0006377696990966797,5100,10.253805160522461,0.010596275329589844,289,718959,9106.23572556,1000.0
12882.8203125,-0.39703696966171265,5200,10.256792068481445,0.00013679265975952148,289,733059,9539.28173301,1000.0
42617.703125,0.04924893379211426,5300,10.259988784790039,6.735324859619141e-06,289,747159,10149.66274448,1000.0
12013.7880859375,-0.09141533076763153,5400,10.262934684753418,0.00040733814239501953,288,761259,10823.193150230001,1000.0
35505.90234375,0.13314759731292725,5500,10.265890121459961,2.9206275939941406e-05,288,775359,11507.89055928,1000.0
