fps,approxkl,serial_timesteps,total_timesteps,policy_entropy,explained_variance,value_loss,time_elapsed,policy_loss,n_updates,clipfrac,ep_reward_mean,ep_len_mean
285,0.004656134,1216,4864,9.798587,0.019159376621246338,0.40454236,24.91753077507019,-0.011851387,38,0.05078125,380.35948087500003,500.0
299,0.0037746765,1248,4992,9.784226,0.01670438051223755,0.026015475,25.367094039916992,-0.020529112,39,0.041015625,380.35948087500003,500.0
262,0.0145442225,1280,5120,9.771074,-0.9998537302017212,0.03380269,25.795465230941772,-0.03303379,40,0.18554688,380.35948087500003,500.0
271,0.003861474,1312,5248,9.765129,-0.037413835525512695,0.07213178,26.283309936523438,-0.022889467,41,0.04296875,380.35948087500003,500.0
272,0.010583616,1344,5376,9.753084,-1.3681225776672363,0.058144145,26.75534176826477,-0.029951183,42,0.13476562,380.35948087500003,500.0
285,0.0117568,1376,5504,9.748681,0.13081085681915283,0.23818572,27.22520136833191,-0.0283315,43,0.15234375,380.35948087500003,500.0
298,0.008359234,1408,5632,9.743504,-0.0473630428314209,0.027119458,27.673935890197754,-0.025281796,44,0.115234375,380.35948087500003,500.0
279,0.007916765,1440,5760,9.743624,0.029079079627990723,0.0145751545,28.104200839996338,-0.034861896,45,0.1171875,380.35948087500003,500.0
280,0.006510045,1472,5888,9.738576,0.014842867851257324,0.13306072,28.564897775650024,-0.01143201,46,0.083984375,380.35948087500003,500.0
34,0.0038007488,1504,6016,9.731656,-0.13430261611938477,2.1091914,29.023049116134644,-0.009217625,47,0.02734375,652.5040451666667,500.0
283,0.011129665,1536,6144,9.727303,-0.5601845979690552,0.01821022,32.716663122177124,-0.027346805,48,0.140625,652.5040451666667,500.0
282,0.012118176,1568,6272,9.722263,0.029094159603118896,0.1056148,33.169400215148926,-0.025826184,49,0.1796875,652.5040451666667,500.0
261,0.01479481,1600,6400,9.714034,0.017481625080108643,0.29750472,33.62366080284119,-0.020842237,50,0.20703125,652.5040451666667,500.0
288,0.004368804,1632,6528,9.709553,0.020267367362976074,0.11055283,34.11499214172363,-0.011213206,51,0.056640625,652.5040451666667,500.0
278,0.008684494,1664,6656,9.701187,-0.8323817253112793,0.03152289,34.55928874015808,-0.023132714,52,0.109375,652.5040451666667,500.0
277,0.0055542164,1696,6784,9.688007,0.05077129602432251,0.04105012,35.0198187828064,-0.021926142,53,0.068359375,652.5040451666667,500.0
249,0.008561542,1728,6912,9.677475,0.1620631217956543,0.05432166,35.48086500167847,-0.01635451,54,0.13867188,652.5040451666667,500.0
276,0.009773699,1760,7040,9.668623,0.23437613248825073,0.013712358,35.99460816383362,-0.021695325,55,0.13476562,652.5040451666667,500.0
282,0.008134416,1792,7168,9.668198,-0.09745943546295166,0.052508816,36.45867872238159,-0.01899259,56,0.125,652.5040451666667,500.0
277,0.009368989,1824,7296,9.669593,0.09647077322006226,0.066633046,36.91186213493347,-0.014873093,57,0.13671875,652.5040451666667,500.0
241,0.007449906,1856,7424,9.6727,0.006009519100189209,0.017656608,37.37396025657654,-0.018632367,58,0.107421875,652.5040451666667,500.0
281,0.006909353,1888,7552,9.666186,0.17379826307296753,0.017058436,37.90554714202881,-0.008890351,59,0.1015625,652.5040451666667,500.0
278,0.009614697,1920,7680,9.660367,-0.05859959125518799,0.019495577,38.36054706573486,-0.020843796,60,0.12695312,652.5040451666667,500.0
269,0.0060977037,1952,7808,9.656906,0.24938470125198364,0.017475514,38.82105207443237,-0.01299514,61,0.080078125,652.5040451666667,500.0
263,0.014592761,1984,7936,9.657642,0.1231810450553894,0.080508836,39.30096888542175,-0.023929492,62,0.20703125,652.5040451666667,500.0
32,0.009821901,2016,8064,9.65793,-0.1511596441268921,1.3762264,39.78781223297119,-0.023614947,63,0.13476562,1011.827448,500.0
288,0.009926943,2048,8192,9.661583,-0.09461343288421631,0.02261734,43.772417306900024,-0.023815487,64,0.125,1011.827448,500.0
280,0.013094597,2080,8320,9.663859,-0.22313320636749268,0.016613914,44.2183518409729,-0.025791913,65,0.1796875,1011.827448,500.0
263,0.006882924,2112,8448,9.667603,-0.1304457187652588,0.016320279,44.675121784210205,-0.016928686,66,0.1015625,1011.827448,500.0
262,0.0056622485,2144,8576,9.671837,0.05115407705307007,0.15026361,45.162296772003174,-0.0144035695,67,0.08984375,1011.827448,500.0
265,0.0076015615,2176,8704,9.675607,-0.0987558364868164,0.01624226,45.6499228477478,-0.013579592,68,0.103515625,1011.827448,500.0
255,0.014406979,2208,8832,9.67415,0.1652866005897522,0.019890731,46.13335919380188,-0.019763798,69,0.18554688,1011.827448,500.0
262,0.0054439753,2240,8960,9.670262,0.18389320373535156,0.03381633,46.63538122177124,-0.015094832,70,0.068359375,1011.827448,500.0
262,0.009440796,2272,9088,9.667273,-0.030855655670166016,0.03277852,47.12458920478821,-0.019593243,71,0.12109375,1011.827448,500.0
255,0.011869533,2304,9216,9.662788,0.08118176460266113,0.045462053,47.61348843574524,-0.01390962,72,0.1328125,1011.827448,500.0
250,0.010365428,2336,9344,9.661866,0.2691501975059509,0.02414205,48.11406230926514,-0.013745548,73,0.12695312,1011.827448,500.0
258,0.006659026,2368,9472,9.672352,-0.08854711055755615,0.0113274,48.62620568275452,-0.017378382,74,0.083984375,1011.827448,500.0
262,0.013386254,2400,9600,9.688067,0.2168843150138855,0.020167777,49.1220383644104,-0.016021175,75,0.1875,1011.827448,500.0
243,0.004598955,2432,9728,9.68634,0.055933237075805664,0.104350396,49.61020112037659,-0.006775562,76,0.048828125,1011.827448,500.0
260,0.013579348,2464,9856,9.687273,0.1612418293952942,0.024983382,50.136404037475586,-0.02156448,77,0.1875,1011.827448,500.0
241,0.011254917,2496,9984,9.698407,0.08932727575302124,0.054086544,50.62883138656616,-0.010174364,78,0.16992188,1011.827448,500.0
33,0.0051460704,2528,10112,9.705703,-0.08783173561096191,0.73372644,51.160099506378174,-0.014510173,79,0.068359375,1468.4479330999998,500.0
256,0.010789399,2560,10240,9.703078,0.08387452363967896,0.055109657,55.01585125923157,-0.016993055,80,0.14453125,1468.4479330999998,500.0
263,0.0046331417,2592,10368,9.708931,-0.0021419525146484375,0.055208094,55.5152587890625,-0.010732828,81,0.052734375,1468.4479330999998,500.0
280,0.01155704,2624,10496,9.715585,0.021777868270874023,0.03156309,56.001036405563354,-0.011609068,82,0.15625,1468.4479330999998,500.0
255,0.010037841,2656,10624,9.717448,0.038855016231536865,0.065990634,56.458839893341064,-0.013686508,83,0.15234375,1468.4479330999998,500.0
257,0.006834423,2688,10752,9.712065,-0.055637478828430176,0.016540477,56.960172176361084,-0.006401054,84,0.1015625,1468.4479330999998,500.0
248,0.0106722005,2720,10880,9.711878,0.04609096050262451,0.030118806,57.457809925079346,-0.019532677,85,0.15234375,1468.4479330999998,500.0
247,0.013182609,2752,11008,9.714921,0.04472792148590088,0.024665665,57.97492074966431,-0.015546931,86,0.19140625,1468.4479330999998,500.0
237,0.013561295,2784,11136,9.706737,0.1230962872505188,0.015206838,58.49396777153015,-0.01828949,87,0.19921875,1468.4479330999998,500.0
254,0.010537608,2816,11264,9.709158,-0.06424915790557861,0.017157579,59.03247666358948,-0.022771914,88,0.15429688,1468.4479330999998,500.0
270,0.011427639,2848,11392,9.707972,0.09823024272918701,0.020405121,59.53572916984558,-0.016215092,89,0.15234375,1468.4479330999998,500.0
264,0.005022352,2880,11520,9.698163,0.11701357364654541,0.018509876,60.0098671913147,-0.007306153,90,0.07421875,1468.4479330999998,500.0
270,0.011006797,2912,11648,9.689768,0.12324255704879761,0.033477515,60.496922969818115,-0.01689365,91,0.15820312,1468.4479330999998,500.0
247,0.012612904,2944,11776,9.686054,-0.06591010093688965,0.032681096,60.971391439437866,-0.011572028,92,0.19726562,1468.4479330999998,500.0
257,0.0073709553,2976,11904,9.679384,0.13158684968948364,0.019448947,61.488359689712524,-0.014404749,93,0.111328125,1468.4479330999998,500.0
34,0.0054774755,3008,12032,9.676813,-0.13935625553131104,1.5507947,61.98597979545593,-0.018051017,94,0.078125,2123.1136386666667,500.0
291,0.01668543,3040,12160,9.675538,0.2616453170776367,0.009619637,65.73342633247375,-0.028563555,95,0.2109375,2123.1136386666667,500.0
274,0.010130233,3072,12288,9.672071,-0.06230342388153076,0.00868376,66.17496514320374,-0.01570826,96,0.15039062,2123.1136386666667,500.0
265,0.0053389575,3104,12416,9.668319,0.04025852680206299,0.026870588,66.64192414283752,-0.008838667,97,0.0703125,2123.1136386666667,500.0
271,0.011489436,3136,12544,9.675525,0.21188920736312866,0.010220831,67.12399625778198,-0.020024477,98,0.15820312,2123.1136386666667,500.0
276,0.009541571,3168,12672,9.680379,-0.02779984474182129,0.020026412,67.5966215133667,-0.01060852,99,0.13085938,2123.1136386666667,500.0
272,0.020188382,3200,12800,9.678866,0.0893627405166626,0.016908737,68.06086564064026,-0.018461138,100,0.22851562,2123.1136386666667,500.0
289,0.010809917,3232,12928,9.675692,0.13312536478042603,0.03200499,68.53100967407227,-0.011076767,101,0.1484375,2123.1136386666667,500.0
