value_loss,nupdates,explained_variance,policy_entropy,policy_loss,fps,total_timesteps,ep_reward_mean,ep_len_mean
3.808598756790161,300,0.1920120120048523,11.019417762756348,0.28554028272628784,227,24219,495.3687308333333,1000.0
5.409725666046143,400,-0.3466569185256958,10.999771118164062,-0.12616583704948425,232,32319,708.590743875,1000.0
6.11556339263916,500,-0.05063307285308838,11.000380516052246,-0.24932493269443512,238,40419,999.9721315999999,1000.0
6.249322414398193,600,0.22435522079467773,10.99543571472168,0.23163610696792603,242,48519,1226.9093599375,1000.0
6.017065525054932,700,0.07317137718200684,10.982536315917969,-0.1247631385922432,247,56619,1465.2864461785716,1000.0
6.3617262840271,800,0.06621801853179932,10.977875709533691,-0.12986387312412262,250,64719,1766.195631109375,1000.0
6.8982343673706055,900,-0.14003419876098633,10.943792343139648,-0.2808119058609009,252,72819,2146.7720827083335,1000.0
7.426489353179932,1000,-0.10305249691009521,10.899673461914062,-0.1537695974111557,255,80919,2573.74845325,1000.0
8.476481437683105,1100,0.04018145799636841,10.819296836853027,-0.3029199540615082,256,89019,3143.4448035909086,1000.0
9.113273620605469,1200,-0.08575141429901123,10.725685119628906,0.018217362463474274,258,97119,3777.1518527395833,1000.0
9.350092887878418,1300,-0.08869791030883789,10.614184379577637,0.034262098371982574,259,105219,4579.143808250001,1000.0
8.539334297180176,1400,0.011352598667144775,10.493011474609375,-0.33280766010284424,260,113319,5546.447436579999,1000.0
7.99456787109375,1500,-0.002471446990966797,10.383455276489258,-0.5670739412307739,261,121419,6531.198469219999,1000.0
7.269509792327881,1600,-0.019015192985534668,10.251558303833008,0.044087573885917664,262,129519,7501.587608500001,1000.0
6.612924098968506,1700,-0.004738569259643555,10.176743507385254,0.11024954915046692,263,137619,8417.12483815,1000.0
6.360663414001465,1800,-0.002233743667602539,10.128693580627441,-0.22091001272201538,264,145719,9322.890369699999,1000.0
5.777646064758301,1900,-0.0020951032638549805,10.040085792541504,0.07189630717039108,264,153819,10189.07676267,1000.0
5.664826393127441,2000,-0.10065031051635742,9.96181583404541,-0.3253554105758667,265,161919,11013.10841852,1000.0
5.551516532897949,2100,0.0029295682907104492,9.905865669250488,-0.05874255299568176,265,170019,11771.63317969,1000.0
5.582476615905762,2200,0.00015085935592651367,9.815345764160156,-0.22528615593910217,264,178119,12431.447933379999,1000.0
5.495903491973877,2300,0.002670109272003174,9.743241310119629,-0.20032382011413574,264,186219,12988.62402824,1000.0
5.51113748550415,2400,-0.004531383514404297,9.600409507751465,0.178160160779953,264,194319,13371.317148180002,1000.0
