policy_loss,fps,value_loss,total_timesteps,nupdates,explained_variance,policy_entropy,ep_len_mean,ep_reward_mean
0.0070720091462135315,60,8.089191436767578,0,1,-0.0007952451705932617,4.2568159103393555,,
-0.20868568122386932,118,0.01569395884871483,8019,100,0.5707607567310333,4.131488800048828,1001.0,7083.513991
-0.011907937005162239,118,0.009518354199826717,16119,200,-0.28541266918182373,4.107829570770264,1001.0,8315.409355000002
-0.02545028179883957,119,0.0029583119321614504,24219,300,0.3116171956062317,4.074154376983643,1001.0,8805.39789905
-0.2859136760234833,117,0.007140609435737133,32319,400,-0.30869317054748535,4.012181282043457,1001.0,9227.691964714286
0.015801049768924713,116,0.009142078459262848,40419,500,-0.08247017860412598,3.9853930473327637,1001.0,9594.257988527777
-0.06808753311634064,115,0.0028750780038535595,48519,600,0.4328157901763916,3.9308040142059326,1001.0,9926.296354068183
-0.1345638483762741,114,0.0013390711974352598,56619,700,-0.30094683170318604,3.857858180999756,1001.0,10221.608042557691
-0.21725791692733765,113,0.0018735902849584818,64719,800,-0.3899492025375366,3.813328981399536,1001.0,10434.725578949998
-0.19922107458114624,113,0.000477516878163442,72819,900,0.7573724538087845,3.78887939453125,1001.0,10639.414266867649
-0.11899590492248535,113,0.000937923148740083,80919,1000,0.4461910128593445,3.722259998321533,1001.0,10827.695054815791
0.032169099897146225,112,0.0011437473585829139,89019,1100,0.16086667776107788,3.6708426475524902,1001.0,10975.12217352381
0.008671760559082031,112,0.001305706100538373,97119,1200,0.06164121627807617,3.60878324508667,1001.0,11111.365546706522
-0.17067646980285645,112,0.0007459589978680015,105219,1300,-0.5016471147537231,3.5597240924835205,1001.0,11232.396588859998
-0.015127692371606827,111,0.0012813045177608728,113319,1400,0.038120388984680176,3.4944043159484863,1001.0,11616.007430800004
-0.09026570618152618,111,0.0005758402403444052,121419,1500,0.8039919286966324,3.4559779167175293,1001.0,11881.822492369998
-0.05011403560638428,111,0.0007752308738417923,129519,1600,0.7135688066482544,3.4200453758239746,1001.0,12111.348676469997
-0.34313228726387024,111,0.001065787859261036,137619,1700,0.5702665448188782,3.3724865913391113,1001.0,12295.117484400002
-0.19558143615722656,110,0.0014774948358535767,145719,1800,0.3769453167915344,3.335023880004883,1001.0,12436.580622499998
-0.22400447726249695,110,0.0009099667659029365,153819,1900,-0.0809781551361084,3.303577423095703,1001.0,12536.011826780003
-0.1504085659980774,110,0.0006363698048517108,161919,2000,0.6770707964897156,3.2585978507995605,1001.0,12618.10176061
-0.0748838484287262,110,0.0011072426568716764,170019,2100,0.14134275913238525,3.258546829223633,1001.0,12705.32444368
-0.054318979382514954,110,0.0013462023343890905,178119,2200,0.47918981313705444,3.226764678955078,1001.0,12755.83052329
-0.168901726603508,110,0.0008024059352464974,186219,2300,0.6657089591026306,3.1934356689453125,1001.0,12803.02800645
-0.1810525357723236,110,0.0005409627920016646,194319,2400,0.8947611302137375,3.1443119049072266,1001.0,12846.993762609998
-0.23207782208919525,110,0.0013699354603886604,202419,2500,0.8804302737116814,3.1150763034820557,1001.0,12884.30736373
0.23318320512771606,110,0.0010326746851205826,210519,2600,-0.028084278106689453,3.077576160430908,1001.0,12916.378285279998
0.17748339474201202,110,0.0017024583648890257,218619,2700,0.46337538957595825,3.0598416328430176,1001.0,12939.853057429998
-0.213120236992836,110,0.0013418641174212098,226719,2800,0.8477934449911118,3.0114214420318604,1001.0,12966.680372
-0.18567708134651184,110,0.00043575195013545454,234819,2900,0.6919426620006561,3.005690813064575,1001.0,12992.55555925
-0.42871755361557007,110,0.0006749910535290837,242919,3000,0.6906862854957581,2.9643867015838623,1001.0,13019.63170929
-0.1490890383720398,110,0.0012600856134667993,251019,3100,-0.5013408660888672,2.951129913330078,1001.0,13032.622011520001
-0.0677168071269989,110,0.0012725717388093472,259119,3200,-0.23679018020629883,2.9199941158294678,1001.0,13040.228166079998
-0.21005462110042572,110,0.001046275021508336,267219,3300,-0.7855210304260254,2.8783223628997803,1001.0,13067.941988189996
-0.060831427574157715,110,0.0022140704095363617,275319,3400,0.359238862991333,2.842414617538452,1001.0,13092.725991890002
-0.2629307508468628,110,0.007497408427298069,283419,3500,0.897951178252697,2.8571324348449707,1001.0,12850.50615588
0.0912332534790039,110,0.003218164201825857,291519,3600,0.9013396129012108,2.8401830196380615,1001.0,12856.244333850002
-0.19057874381542206,111,0.0022048347163945436,299619,3700,0.8502988666296005,2.8335938453674316,1001.0,12857.215779700002
0.36842289566993713,111,0.004793012514710426,307719,3800,0.843025267124176,2.8267226219177246,1001.0,12877.24889363
-0.3380390405654907,111,0.0017603959422558546,315819,3900,-0.7263027429580688,2.824414014816284,1001.0,12886.56051776
0.06732089817523956,111,0.0020195122342556715,323919,4000,0.06395024061203003,2.8092823028564453,1001.0,12877.132469830001
0.0021119248121976852,111,0.0027127056382596493,332019,4100,0.6953807473182678,2.817103862762451,1001.0,12866.194796729998
-0.043226100504398346,111,0.03711877390742302,340119,4200,0.9102697521448135,2.8267130851745605,1001.0,12730.56183795
0.10445145517587662,111,0.0047004749067127705,348219,4300,0.6627371907234192,2.826770305633545,1001.0,12602.541013650003
-0.06329300999641418,111,0.0020012320019304752,356319,4400,0.7416908144950867,2.8202531337738037,1001.0,12602.247740419998
-0.11486684530973434,111,0.0006807681638747454,364419,4500,-0.4660911560058594,2.7952239513397217,1001.0,12597.975527930004
-0.15123918652534485,111,0.0026781046763062477,372519,4600,0.8755486011505127,2.7832016944885254,1001.0,12595.473811329997
-0.046815525740385056,111,0.0009436355903744698,380619,4700,0.8811720907688141,2.767263650894165,1001.0,12617.13224748
0.15513882040977478,111,0.001459444873034954,388719,4800,0.933433324098587,2.7459280490875244,1001.0,12904.87959751
-0.5195819735527039,111,0.00031236751237884164,396819,4900,0.9516947455704212,2.726362466812134,1001.0,12919.89189681
0.09336882829666138,111,0.0013195474166423082,404919,5000,0.9006994962692261,2.7046892642974854,1001.0,12912.471194139996
0.04101797565817833,111,0.0010794049594551325,413019,5100,-1.129321813583374,2.7007181644439697,1001.0,12920.58793328
-0.18724988400936127,111,0.0009245334076695144,421119,5200,-0.28438031673431396,2.684201717376709,1001.0,12955.32935135
0.2922854423522949,111,0.0009493428515270352,429219,5300,0.8877869993448257,2.6732749938964844,1001.0,13026.24040596
-0.01790536381304264,111,0.0004866933450102806,437319,5400,0.9426376074552536,2.6652166843414307,1001.0,13076.922607429997
-0.03583666682243347,111,0.0015682689845561981,445419,5500,0.7727632969617844,2.6573681831359863,1001.0,13372.68855087
-0.11776575446128845,111,0.0005268859677016735,453519,5600,0.9027096629142761,2.639719247817993,1001.0,13390.669353609997
0.09121806919574738,111,0.003898847149685025,461619,5700,0.9977309501264244,2.653313398361206,1001.0,13322.373027980002
-0.031115476042032242,111,0.0058899372816085815,469719,5800,0.44115573167800903,2.66072678565979,1001.0,13185.543532119997
-0.16094036400318146,111,0.006232124753296375,477819,5900,-1.1088790893554688,2.676203966140747,1001.0,12909.888666400002
0.020242124795913696,110,0.005636697635054588,485919,6000,0.5247087776660919,2.661146640777588,1001.0,12931.783587089998
0.06635990738868713,110,0.017832990735769272,494019,6100,0.9744173679500818,2.6542909145355225,1001.0,12796.220409630001
0.06397613137960434,110,0.003326957579702139,502119,6200,0.9987159981392324,2.6541733741760254,1001.0,12573.691507699998
