fps,explained_variance,value_loss,nupdates,policy_loss,total_timesteps,policy_entropy,ep_reward_mean,ep_len_mean
84,-0.013794779777526855,2.5987777709960938,1,0.11988388001918793,0,9.932570457458496,,
242,0.08196395635604858,4.276425361633301,100,-0.19395005702972412,8019,9.698745727539062,416.91799525,1000.0
232,-0.00806570053100586,5.697592258453369,200,-0.35322755575180054,16119,9.676545143127441,540.376559,1000.0
229,-0.05989730358123779,7.565402030944824,300,0.25462448596954346,24219,9.640358924865723,604.00410375,1000.0
229,-0.037737488746643066,8.737924575805664,400,0.1828138828277588,32319,9.626969337463379,654.247706875,1000.0
229,0.009716987609863281,9.554769515991211,500,-0.11886391043663025,40419,9.580887794494629,690.2830270249999,1000.0
229,-0.010788202285766602,10.655309677124023,600,0.3095070719718933,48519,9.490979194641113,720.6225746875001,1000.0
229,0.001383960247039795,11.25489616394043,700,-0.39747294783592224,56619,9.433061599731445,743.9079501964286,1000.0
229,-0.0005263090133666992,11.591737747192383,800,0.130852609872818,64719,9.350400924682617,763.395855,1000.0
229,-0.0014656782150268555,11.723811149597168,900,0.003839239478111267,72819,9.314383506774902,778.3320043194444,1000.0
229,-0.0007630586624145508,11.980900764465332,1000,0.30482393503189087,80919,9.288908958435059,790.8508146624999,1000.0
229,-0.06971204280853271,12.393519401550293,1100,-0.2556050419807434,89019,9.29228401184082,803.1822769545453,1000.0
229,0.006407201290130615,11.857698440551758,1200,-0.38073238730430603,97119,9.270081520080566,810.3736310208333,1000.0
228,-1.6926789283752441,9.04186725616455,1300,-0.2757790684700012,105219,9.323086738586426,832.9301523999999,1000.0
228,-0.021484851837158203,11.218011856079102,1400,-0.16051824390888214,113319,9.335463523864746,859.25384827,1000.0
228,-0.037500977516174316,11.366229057312012,1500,-0.2134634107351303,121419,9.335997581481934,876.7027118,1000.0
227,-7.665157318115234e-05,12.137133598327637,1600,0.035823822021484375,129519,9.33486270904541,891.4939557199998,1000.0
227,-0.002814173698425293,12.429039001464844,1700,0.22333505749702454,137619,9.351225852966309,902.5931349899998,1000.0
226,-0.04597508907318115,14.379400253295898,1800,0.06574714183807373,145719,9.380197525024414,916.9058075500001,1000.0
225,-0.0011147260665893555,18.57302474975586,1900,-0.09972261637449265,153819,9.363677024841309,946.5640509699998,1000.0
224,-0.34464025497436523,19.27896499633789,2000,-0.1855771243572235,161919,9.331818580627441,978.8505879600001,1000.0
223,-0.08012938499450684,19.842514038085938,2100,0.02763991802930832,170019,9.326186180114746,1024.0299871299999,1000.0
222,-0.009488701820373535,26.807262420654297,2200,-0.03833036124706268,178119,9.36152458190918,1149.35435483,1000.0
221,-0.3289717435836792,29.450130462646484,2300,-0.15476347506046295,186219,9.394904136657715,1593.2941039,1000.0
221,-0.47819769382476807,28.720947265625,2400,0.029177367687225342,194319,9.410693168640137,2217.48634814,1000.0
220,-0.13442814350128174,17.79902458190918,2500,-0.164727583527565,202419,9.432653427124023,2895.0853452800006,1000.0
219,0.025443851947784424,16.48554039001465,2600,0.0007670372724533081,210519,9.490180015563965,3852.86185428,1000.0
218,-0.1518491506576538,14.2020845413208,2700,0.09990203380584717,218619,9.512556076049805,4914.672629899999,1000.0
218,0.0067702531814575195,13.463526725769043,2800,-0.03475390747189522,226719,9.484213829040527,6625.974274589999,1000.0
218,-0.046065330505371094,17.5826358795166,2900,0.015889719128608704,234819,9.457106590270996,9019.58221907,1000.0
219,0.013457059860229492,17.60236167907715,3000,-0.035143230110406876,242919,9.42836856842041,11882.16296965,1000.0
219,-0.005104780197143555,16.244876861572266,3100,-0.10932356119155884,251019,9.426562309265137,15018.391739390001,1000.0
219,-0.04050850868225098,13.476785659790039,3200,0.11106827110052109,259119,9.429305076599121,18328.48055983,1000.0
220,0.01345294713973999,12.645334243774414,3300,0.05581247806549072,267219,9.436419486999512,22184.812470560006,1000.0
220,0.021995186805725098,12.038407325744629,3400,0.03431638330221176,275319,9.402450561523438,26707.05828728,1000.0
220,-0.07453310489654541,11.630439758300781,3500,-0.10440557450056076,283419,9.347396850585938,31222.40594627,1000.0
220,-0.027416348457336426,11.613954544067383,3600,-0.12248752266168594,291519,9.318421363830566,35746.4660412,1000.0
220,-0.15859591960906982,11.820895195007324,3700,-0.01631689816713333,299619,9.288421630859375,40931.391836020004,1000.0
220,-0.11185729503631592,11.380003929138184,3800,0.11908777058124542,307719,9.27838134765625,46016.43123317,1000.0
220,0.0190047025680542,7.571092128753662,3900,0.07797937840223312,315819,9.315261840820312,50438.979673639995,1000.0
220,-0.04747414588928223,6.9257307052612305,4000,-0.24684655666351318,323919,9.280951499938965,54701.14134419999,1000.0
220,-0.17793655395507812,7.067986965179443,4100,-0.05088575929403305,332019,9.277009010314941,57873.36261474001,1000.0
220,-0.1308612823486328,4.9173479080200195,4200,-0.20013146102428436,340119,9.305005073547363,60192.21275641001,1000.0
220,0.05352425575256348,4.731963157653809,4300,0.040543727576732635,348219,9.267792701721191,62671.710588229995,1000.0
220,-0.13644766807556152,4.9418559074401855,4400,-0.4047034978866577,356319,9.289263725280762,65111.479266229995,1000.0
220,0.006540060043334961,5.150664329528809,4500,0.04572854936122894,364419,9.299849510192871,67357.42564893,1000.0
220,0.024139225482940674,4.972886085510254,4600,0.09690915048122406,372519,9.287415504455566,69727.80555382,1000.0
220,0.08812367916107178,5.3806047439575195,4700,-0.21952380239963531,380619,9.319962501525879,70411.50080045001,1000.0
220,0.02350926399230957,4.736306190490723,4800,-0.05616726726293564,388719,9.312705993652344,71207.23289968,1000.0
220,-0.021755099296569824,4.353058815002441,4900,-0.2952916622161865,396819,9.337309837341309,71935.50318763999,1000.0
220,-0.045206427574157715,4.468771457672119,5000,-0.031572580337524414,404919,9.34603214263916,70961.41599268,1000.0
220,0.012288093566894531,3.7607581615448,5100,-0.6966996192932129,413019,9.331567764282227,70821.64139997,1000.0
220,-0.005723476409912109,3.934178113937378,5200,-0.1770647019147873,421119,9.346632957458496,71932.93920958,1000.0
221,0.09122157096862793,4.263691425323486,5300,-0.34182554483413696,429219,9.338547706604004,72787.51650902,1000.0
221,-0.2273198366165161,4.210326194763184,5400,0.07052457332611084,437319,9.329745292663574,74237.16289521,1000.0
221,-0.16227030754089355,4.632925510406494,5500,0.20314231514930725,445419,9.33496379852295,75286.43837809999,1000.0
221,-0.020511388778686523,4.290608882904053,5600,-0.08749406784772873,453519,9.3616943359375,76678.59008824,1000.0
221,-0.053130388259887695,4.400729179382324,5700,-0.10527101904153824,461619,9.368025779724121,77699.38918047,1000.0
221,-0.0018423795700073242,4.162838459014893,5800,-0.12805716693401337,469719,9.409956932067871,78000.64387049,1000.0
221,-0.003537774085998535,4.608372688293457,5900,-0.15531322360038757,477819,9.388511657714844,78790.02937507001,1000.0
