approxkl,policy_loss,clipfrac,policy_entropy,n_updates,explained_variance,serial_timesteps,total_timesteps,fps,value_loss,time_elapsed,ep_len_mean,ep_reward_mean
0.14842148,-0.039873973,0.5703125,9.952827,1,-0.18506526947021484,32,128,178,1.3571314,4.0531158447265625e-06,,
0.07085766,-0.049988464,0.4765625,10.081184,2,-1.204575777053833,64,256,237,0.05887832,0.7184441089630127,,
0.056851268,-0.043778915,0.3984375,10.096704,3,-0.32556140422821045,96,384,240,0.14175203,1.2581498622894287,,
0.088225715,-0.042696815,0.44921875,10.139063,4,0.04448556900024414,128,512,252,0.6949608,1.7915496826171875,,
0.10164132,-0.066089764,0.48632812,10.18789,5,-1.1178045272827148,160,640,233,0.08490823,2.2991111278533936,,
0.08969931,-0.05221814,0.5078125,10.25652,6,-0.2155008316040039,192,768,260,0.04505945,2.847635269165039,,
0.1032406,-0.04977358,0.4765625,10.363166,7,-0.5292809009552002,224,896,298,0.0863411,3.3396122455596924,,
0.084415264,-0.040156998,0.45898438,10.472853,8,-0.7139843702316284,256,1024,262,0.044574592,3.769223690032959,,
0.0854373,-0.0398047,0.4921875,10.518614,9,0.037253618240356445,288,1152,286,1.7834018,4.256775140762329,,
0.062471546,-0.04427121,0.390625,10.578675,10,-1.0681283473968506,320,1280,256,0.038891245,4.703794002532959,,
0.10276598,-0.04954472,0.5234375,10.6274395,11,-0.08749556541442871,352,1408,279,0.037316322,5.203944683074951,,
0.19310316,-0.047132812,0.6015625,10.737181,12,-0.00203096866607666,384,1536,281,0.18037263,5.662612199783325,,
0.08830625,-0.051060107,0.51171875,10.824327,13,-1.573594570159912,416,1664,262,0.017391393,6.117549180984497,,
0.13917471,-0.048411887,0.52734375,10.90094,14,-0.1385490894317627,448,1792,245,0.010881397,6.6053149700164795,,
0.08101106,-0.05651211,0.4296875,10.891443,15,-0.16620349884033203,480,1920,259,0.027202332,7.127437353134155,,
0.13279074,-0.056002144,0.54296875,10.878901,16,0.005624890327453613,512,2048,32,0.19608115,7.6216840744018555,500.0,319.1794275
0.079312235,-0.04516492,0.45898438,10.839057,17,-0.24842000007629395,544,2176,261,0.020789932,11.553162813186646,500.0,319.1794275
0.14444895,-0.055919886,0.5566406,10.89513,18,-0.36692070960998535,576,2304,258,0.011402802,12.0428946018219,500.0,319.1794275
0.112917304,-0.062678896,0.5390625,10.98264,19,-0.22528600692749023,608,2432,254,0.013825876,12.538957357406616,500.0,319.1794275
0.12601967,-0.06623628,0.5449219,11.06682,20,-0.10462725162506104,640,2560,256,0.02719572,13.042888879776001,500.0,319.1794275
0.14719057,-0.0560153,0.5371094,11.127648,21,0.008532285690307617,672,2688,258,0.028105648,13.54254412651062,500.0,319.1794275
0.16776955,-0.06292701,0.50390625,11.145928,22,-0.49885082244873047,704,2816,239,0.0069324495,14.03811502456665,500.0,319.1794275
0.12090287,-0.06839638,0.49609375,11.169584,23,-0.4311954975128174,736,2944,231,0.014497324,14.572087287902832,500.0,319.1794275
0.2004282,-0.07197696,0.5917969,11.1702385,24,-0.10765671730041504,768,3072,256,0.03912867,15.125038385391235,500.0,319.1794275
0.12040838,-0.04045399,0.56640625,11.160776,25,0.0833006501197815,800,3200,242,0.0068668034,15.624447107315063,500.0,319.1794275
0.13834138,-0.06754128,0.48242188,11.134134,26,-0.2185913324356079,832,3328,252,0.014934259,16.152629613876343,500.0,319.1794275
0.15347226,-0.05690551,0.5566406,11.081737,27,0.06090664863586426,864,3456,243,0.027023563,16.661234617233276,500.0,319.1794275
0.13558652,-0.024647202,0.5371094,11.02501,28,0.0348438024520874,896,3584,230,0.27302027,17.187058448791504,500.0,319.1794275
0.11022706,-0.047541637,0.5058594,11.056974,29,-0.0012880563735961914,928,3712,245,0.011893408,17.742788314819336,500.0,319.1794275
0.13097769,-0.0516387,0.5410156,11.078804,30,-0.05959916114807129,960,3840,238,0.024793927,18.264408349990845,500.0,319.1794275
0.17811081,-0.064640395,0.55859375,11.002529,31,-0.3808668851852417,992,3968,238,0.0068001724,18.80145812034607,500.0,319.1794275
0.1266224,-0.051683236,0.5019531,10.873301,32,0.023775100708007812,1024,4096,32,0.21076867,19.33990240097046,500.0,387.01117
0.14734954,-0.053063568,0.5605469,10.787282,33,0.11725729703903198,1056,4224,252,0.014266269,23.249131441116333,500.0,387.01117
0.11849022,-0.031621758,0.546875,10.765235,34,0.013623833656311035,1088,4352,253,0.06541675,23.75738215446472,500.0,387.01117
0.23420441,-0.04685531,0.6171875,10.76672,35,-0.016846418380737305,1120,4480,241,0.013287997,24.262959241867065,500.0,387.01117
0.10694656,-0.043386195,0.5410156,10.752157,36,0.20435667037963867,1152,4608,261,0.013220266,24.792600631713867,500.0,387.01117
0.18739471,-0.06889361,0.5859375,10.704151,37,0.10223549604415894,1184,4736,263,0.043984313,25.282540321350098,500.0,387.01117
0.21113038,-0.053834658,0.59375,10.741396,38,0.004935860633850098,1216,4864,246,0.28174427,25.769311904907227,500.0,387.01117
0.11006692,-0.05440443,0.5214844,10.825235,39,0.05765032768249512,1248,4992,249,0.02251046,26.28819751739502,500.0,387.01117
0.12766838,-0.038430624,0.5097656,10.818808,40,0.05658602714538574,1280,5120,252,0.012022124,26.8023681640625,500.0,387.01117
0.1137655,-0.047770917,0.5292969,10.739839,41,0.06779605150222778,1312,5248,254,0.03674245,27.309940576553345,500.0,387.01117
0.17178404,-0.059545986,0.5410156,10.664574,42,0.10430848598480225,1344,5376,255,0.030751575,27.81335711479187,500.0,387.01117
0.14762236,-0.044388056,0.5410156,10.633626,43,0.13716375827789307,1376,5504,247,0.025474444,28.314919471740723,500.0,387.01117
0.1472257,-0.05489765,0.5546875,10.671963,44,0.05200803279876709,1408,5632,243,0.3507727,28.833466053009033,500.0,387.01117
0.11319601,-0.06124769,0.5097656,10.689614,45,0.10240107774734497,1440,5760,234,0.012744831,29.359243869781494,500.0,387.01117
0.17296225,-0.055225275,0.6328125,10.724908,46,0.05031323432922363,1472,5888,283,0.052142024,29.904988765716553,500.0,387.01117
0.08430615,-0.05285052,0.5234375,10.837962,47,-0.05961143970489502,1504,6016,35,0.43068182,30.357126474380493,500.0,451.9805873333333
0.16213986,-0.052530922,0.54296875,10.888825,48,-0.3142662048339844,1536,6144,276,0.014294446,33.98510241508484,500.0,451.9805873333333
0.23403051,-0.05552449,0.6269531,10.878717,49,0.03966552019119263,1568,6272,275,0.018273944,34.44850444793701,500.0,451.9805873333333
0.1392824,-0.054918043,0.5449219,10.890121,50,0.0371432900428772,1600,6400,244,0.06249046,34.913909912109375,500.0,451.9805873333333
0.23543438,-0.0644884,0.6464844,10.9226885,51,0.19583547115325928,1632,6528,253,0.03151609,35.43722724914551,500.0,451.9805873333333
0.23527086,-0.058008794,0.55859375,10.962894,52,-0.6351932287216187,1664,6656,250,0.02025904,35.94272303581238,500.0,451.9805873333333
0.13571541,-0.055387437,0.5605469,10.9837675,53,0.06730902194976807,1696,6784,257,0.021105416,36.45476245880127,500.0,451.9805873333333
0.14345992,-0.069043435,0.5390625,11.027246,54,-0.054488301277160645,1728,6912,259,0.01925983,36.95263743400574,500.0,451.9805873333333
0.12719661,-0.03196305,0.5175781,11.080008,55,0.1374051570892334,1760,7040,232,0.018585466,37.446242570877075,500.0,451.9805873333333
0.15047161,-0.019399766,0.5214844,11.099421,56,0.20672792196273804,1792,7168,253,0.044348273,37.99785566329956,500.0,451.9805873333333
0.11217934,-0.032329563,0.5527344,11.143803,57,0.24931102991104126,1824,7296,260,0.041445088,38.50289702415466,500.0,451.9805873333333
0.12352605,-0.0476584,0.5703125,11.206582,58,0.4250072240829468,1856,7424,252,0.015662335,38.995495557785034,500.0,451.9805873333333
0.09104954,-0.021595497,0.5136719,11.2335615,59,0.6167043745517731,1888,7552,275,0.029270029,39.50356984138489,500.0,451.9805873333333
0.21193683,-0.023773309,0.6035156,11.245516,60,0.3296639919281006,1920,7680,264,0.08348649,39.96950626373291,500.0,451.9805873333333
0.14964621,0.01094143,0.57421875,11.261223,61,0.13232553005218506,1952,7808,265,0.04258254,40.454246520996094,500.0,451.9805873333333
0.09365297,-0.048329096,0.5527344,11.240585,62,-0.0023218393325805664,1984,7936,270,0.87673855,40.93670463562012,500.0,451.9805873333333
0.1259717,-0.01119669,0.58984375,11.2963705,63,-0.25245046615600586,2016,8064,32,1.310923,41.40992712974548,500.0,551.3906955625
0.15366538,-0.011097951,0.5878906,11.386979,64,-0.1236196756362915,2048,8192,276,0.028733313,45.35294032096863,500.0,551.3906955625
0.083000295,-0.03375764,0.5058594,11.432629,65,-0.0378413200378418,2080,8320,250,0.016346263,45.815786838531494,500.0,551.3906955625
0.16351439,-0.026193578,0.62890625,11.3964205,66,0.003970682621002197,2112,8448,263,0.06737817,46.326380491256714,500.0,551.3906955625
0.16599005,-0.041734003,0.6113281,11.337976,67,0.13599395751953125,2144,8576,239,0.055947214,46.81210994720459,500.0,551.3906955625
0.119576514,-0.06483,0.5,11.307078,68,-0.060701727867126465,2176,8704,248,0.025294174,47.348188638687134,500.0,551.3906955625
0.11693015,-0.014982622,0.5488281,11.237472,69,0.18841087818145752,2208,8832,253,0.064432465,47.86507868766785,500.0,551.3906955625
