nupdates,value_loss,explained_variance,fps,policy_loss,total_timesteps,policy_entropy,ep_reward_mean,ep_len_mean
1,202.4872589111328,-0.005809187889099121,108,-0.2643306851387024,0,9.932570457458496,,
100,150.51170349121094,-0.017630815505981445,297,-0.37449392676353455,13959,9.789824485778809,273.29316885714286,1000.0
200,297.1104736328125,0.014372408390045166,293,0.13651111721992493,28059,9.835000991821289,316.18089999999995,1000.0
300,498.82763671875,0.0016422271728515625,288,0.10764522105455399,42159,9.854140281677246,443.4003274285715,1000.0
400,2969.4775390625,-0.00017440319061279297,287,-0.28570470213890076,56259,9.870424270629883,626.9153337500001,1000.0
500,1041.3721923828125,0.04624032974243164,287,-0.2767305374145508,70359,9.876896858215332,803.8090484,1000.0
600,923.8280029296875,0.2113327980041504,287,-0.12728655338287354,84459,9.887166976928711,1003.8765778214283,1000.0
700,3722.887939453125,0.0410076379776001,287,-0.21153220534324646,98559,9.897031784057617,1173.7220705408163,1000.0
800,1901.2960205078125,0.057467877864837646,289,-0.02658725529909134,112659,9.911238670349121,1439.3830033699999,1000.0
900,1738.733154296875,0.20940619707107544,291,-0.21989290416240692,126759,9.924215316772461,1724.6564649600002,1000.0
1000,24860.998046875,0.008083939552307129,293,0.21471287310123444,140859,9.940089225769043,1976.4056029799997,1000.0
1100,2901.451171875,0.020426273345947266,294,0.03488953411579132,154959,9.944772720336914,2213.51219471,1000.0
1200,14775.6298828125,0.027096867561340332,295,-0.09339278936386108,169059,9.947941780090332,2489.40907619,1000.0
1300,2402.291015625,0.007126271724700928,296,-0.2630334198474884,183159,9.949528694152832,2799.0423536400003,1000.0
1400,3852.96337890625,0.05175042152404785,297,-0.014165833592414856,197259,9.952818870544434,3047.82474798,1000.0
1500,3738.925048828125,0.06489443778991699,297,-0.3553767502307892,211359,9.958250045776367,3265.9518761700006,1000.0
1600,10407.0712890625,0.060201287269592285,298,-0.14112220704555511,225459,9.96076774597168,3589.4736350099993,1000.0
1700,4271.5302734375,0.49108272790908813,299,0.10338764637708664,239559,9.967672348022461,3858.50054017,1000.0
1800,21858.197265625,0.05559539794921875,299,-0.06757576763629913,253659,9.969182014465332,4128.60337737,1000.0
1900,4560.41259765625,0.11760824918746948,300,-0.13617739081382751,267759,9.970301628112793,4354.01543482,1000.0
2000,4563.54296875,0.09889048337936401,300,0.12346316128969193,281859,9.971938133239746,4476.36158937,1000.0
2100,32577.33984375,0.012825250625610352,301,-0.055973876267671585,295959,9.976028442382812,4656.940719769999,1000.0
2200,6731.28515625,0.06295585632324219,301,-0.31320974230766296,310059,9.982090950012207,4860.884533619999,1000.0
2300,35529.52734375,0.0334705114364624,301,-0.07931962609291077,324159,9.98472785949707,4994.184151140001,1000.0
2400,5409.78759765625,0.14321500062942505,301,-0.05663670599460602,338259,9.990537643432617,5203.42755672,1000.0
2500,6026.81982421875,0.15481913089752197,301,-0.0918072983622551,352359,9.990519523620605,5331.98502019,1000.0
2600,7033.69921875,0.15733051300048828,301,-0.4072643220424652,366459,9.996614456176758,5409.116865020001,1000.0
2700,6833.19482421875,0.012713491916656494,301,-0.05317694693803787,380559,10.002396583557129,5734.9813763600005,1000.0
2800,7276.18701171875,0.12620925903320312,302,-0.1987367570400238,394659,10.002467155456543,5852.526818549999,1000.0
2900,15256.2890625,0.024949252605438232,302,-0.21286627650260925,408759,10.008259773254395,5922.895708059999,1000.0
3000,8214.87109375,0.010996758937835693,302,-0.13355688750743866,422859,10.012619972229004,6119.77777454,1000.0
3100,9310.18359375,0.1255163550376892,302,-0.1295652687549591,436959,10.017273902893066,6405.02960099,1000.0
3200,7004.57080078125,0.007236659526824951,302,-0.08916932344436646,451059,10.01795482635498,6624.9531311499995,1000.0
3300,11647.484375,0.005048632621765137,302,-0.17357370257377625,465159,10.021332740783691,6877.46316309,1000.0
3400,88058.671875,0.0001240372657775879,302,0.1291862428188324,479259,10.027054786682129,7110.46667982,1000.0
3500,12053.8349609375,0.11331605911254883,302,-0.22682297229766846,493359,10.033583641052246,7285.254648440001,1000.0
3600,10164.29296875,0.00016003847122192383,303,-0.019625231623649597,507459,10.034276008605957,7487.76511942,1000.0
3700,28863.86328125,0.00658106803894043,303,-0.28216251730918884,521559,10.039449691772461,7775.36344239,1000.0
3800,11800.6025390625,0.02157813310623169,303,0.07610945403575897,535659,10.042001724243164,7825.930607819999,1000.0
3900,8372.6337890625,0.19409865140914917,303,-0.1653764843940735,549759,10.047323226928711,7805.429148069999,1000.0
4000,23420.28125,0.002380669116973877,303,-0.17242154479026794,563859,10.051401138305664,8097.231989259999,1000.0
4100,23228.0390625,0.0030266642570495605,303,-0.13920915126800537,577959,10.053482055664062,8055.480217509999,1000.0
4200,10479.4970703125,0.004232168197631836,303,-0.2703719139099121,592059,10.055708885192871,8246.49107602,1000.0
4300,23546.205078125,0.0076479315757751465,303,-0.19552111625671387,606159,10.057572364807129,8587.776884879999,1000.0
4400,20667.677734375,0.029983997344970703,303,0.07043782621622086,620259,10.059183120727539,8785.235179079998,1000.0
4500,14967.896484375,0.015842974185943604,303,0.18758271634578705,634359,10.063322067260742,8889.458133269998,1000.0
4600,16204.4462890625,0.038248658180236816,303,-0.03637046366930008,648459,10.066190719604492,9279.99494875,1000.0
4700,13217.4423828125,0.03715771436691284,303,-0.14119189977645874,662559,10.06932258605957,9429.08844312,1000.0
4800,15068.2822265625,0.021965861320495605,303,-0.2409875988960266,676659,10.071378707885742,9683.373760850001,1000.0
4900,12300.4677734375,0.0034762024879455566,303,-0.3749012053012848,690759,10.071807861328125,9836.11947904,1000.0
5000,110914.203125,0.0002352595329284668,303,-0.1570647954940796,704859,10.075559616088867,10131.30571442,1000.0
5100,43698.63671875,0.014297127723693848,303,0.21487048268318176,718959,10.077268600463867,10068.52958385,1000.0
5200,14675.4833984375,0.03004634380340576,303,-0.13972818851470947,733059,10.08086109161377,10588.071425950002,1000.0
5300,14728.4091796875,0.001658022403717041,303,-0.034543514251708984,747159,10.081815719604492,10908.61476443,1000.0
5400,15612.58203125,0.011741042137145996,303,-0.12773923575878143,761259,10.084166526794434,11004.808155920002,1000.0
5500,34721.18359375,0.00043201446533203125,303,-0.15988045930862427,775359,10.085939407348633,11363.824923099999,1000.0
5600,17150.166015625,0.004665791988372803,302,-0.13218073546886444,789459,10.089665412902832,11508.88102465,1000.0
5700,16681.70703125,0.03232121467590332,302,-0.22466126084327698,803559,10.090697288513184,11874.858952859999,1000.0
5800,42202.890625,0.01798766851425171,302,-0.033583395183086395,817659,10.092448234558105,12232.937322,1000.0
5900,20403.052734375,0.0004927515983581543,302,-0.2163746953010559,831759,10.093108177185059,12520.55708824,1000.0
6000,24527.5703125,0.021962463855743408,302,0.0802667960524559,845859,10.092320442199707,12838.24512519,1000.0
6100,14818.6787109375,-5.555152893066406e-05,302,0.11758997291326523,859959,10.096251487731934,13093.409388409997,1000.0
6200,19038.330078125,0.001109480857849121,302,-0.16201044619083405,874059,10.096100807189941,13102.6289649,1000.0
6300,33038.4296875,0.00028014183044433594,302,-0.1876070499420166,888159,10.097102165222168,13602.517141889999,1000.0
6400,16045.18359375,0.0035701394081115723,302,-0.3018491566181183,902259,10.098005294799805,13612.402279229998,1000.0
6500,135570.046875,0.0010085701942443848,302,0.12328819930553436,916359,10.099564552307129,13929.686404539998,1000.0
6600,51784.5546875,0.0009492039680480957,302,-0.3793793022632599,930459,10.100675582885742,14262.45431268,1000.0
6700,19472.62890625,0.0008009672164916992,302,-0.13454532623291016,944559,10.102018356323242,14356.510520119999,1000.0
6800,112513.9140625,0.0010921955108642578,302,-0.10021430999040604,958659,10.104126930236816,14580.656925450003,1000.0
6900,58698.26953125,0.000244140625,302,0.05453202873468399,972759,10.105692863464355,15007.311380150002,1000.0
7000,20055.0625,0.0001729726791381836,302,0.09106434136629105,986859,10.107711791992188,15248.584705590001,1000.0
7100,20239.06640625,0.0004909634590148926,302,-0.008352935314178467,1000959,10.109220504760742,15594.901514180003,1000.0
7200,77195.0390625,0.009733259677886963,302,0.08087214827537537,1015059,10.110891342163086,15553.76880696,1000.0
7300,76788.53125,2.6524066925048828e-05,302,0.07975050806999207,1029159,10.110560417175293,15638.05962905,1000.0
7400,35910.51953125,0.00023156404495239258,302,0.09674352407455444,1043259,10.112650871276855,15742.549306070001,1000.0
7500,28751.767578125,0.00074005126953125,302,0.3495977818965912,1057359,10.115251541137695,16124.54292718,1000.0
7600,22097.55859375,0.0001837015151977539,302,0.12651601433753967,1071459,10.116777420043945,16223.152741720001,1000.0
7700,205160.921875,0.00012135505676269531,302,-0.3474113345146179,1085559,10.117837905883789,16527.53348916,1000.0
7800,39653.10546875,0.003827989101409912,302,-0.043833646923303604,1099659,10.119721412658691,16421.00785395,1000.0
7900,123224.0546875,0.0008015036582946777,302,-0.004334926605224609,1113759,10.121856689453125,16814.69734813,1000.0
8000,25480.935546875,0.004629671573638916,302,-0.16379567980766296,1127859,10.123502731323242,16829.02405189,1000.0
8100,143576.765625,0.0005657672882080078,302,-0.13556510210037231,1141959,10.125016212463379,16749.45897593,1000.0
8200,32152.8671875,0.00042498111724853516,302,-0.04219696298241615,1156059,10.126267433166504,16852.94678286,1000.0
8300,73137.65625,0.0001220703125,302,-0.3209275007247925,1170159,10.12858772277832,17328.97798508,1000.0
8400,38530.20703125,0.007764458656311035,302,0.22808405756950378,1184259,10.128999710083008,17509.809959510003,1000.0
8500,50288.22265625,0.000789344310760498,302,-0.1908806562423706,1198359,10.128190994262695,17843.125893430002,1000.0
8600,44273.171875,0.0002396106719970703,301,-0.4335555136203766,1212459,10.129499435424805,18296.418839489997,1000.0
8700,96809.9765625,0.0027171969413757324,301,-0.48524391651153564,1226559,10.130183219909668,18823.688497619998,1000.0
8800,222696.71875,7.402896881103516e-05,301,-0.1247449442744255,1240659,10.131673812866211,19432.76825342,1000.0
8900,67061.0390625,0.0006108283996582031,301,-0.055726777762174606,1254759,10.132181167602539,19970.243131520005,1000.0
9000,60117.4296875,3.629922866821289e-05,301,-0.2109403908252716,1268859,10.133254051208496,20056.27266097,1000.0
9100,80332.3828125,8.499622344970703e-05,301,-0.03363620489835739,1282959,10.133936882019043,20362.825201030002,1000.0
9200,210828.890625,5.97834587097168e-05,301,-0.14938250184059143,1297059,10.136484146118164,20905.14152021,1000.0
9300,34876.4609375,0.012622356414794922,301,-0.02130597084760666,1311159,10.138014793395996,20982.00415522,1000.0
