explained_variance,total_timesteps,value_loss,nupdates,fps,policy_entropy,policy_loss,ep_reward_mean,ep_len_mean
0.009192049503326416,0,6.913209438323975,1,75,9.932570457458496,-0.10765828937292099,,
-26662971.0,8019,1.231532096862793,100,251,9.666511535644531,0.29539820551872253,245.980882,1000.0
-327686.71875,16119,0.03452622890472412,200,257,9.69296932220459,-0.19589734077453613,129.278824625,1000.0
-0.06428468227386475,24219,25.607336044311523,300,249,9.696188926696777,-0.1574549674987793,1348.0801385833333,1000.0
-0.23584389686584473,32319,4.919933319091797,400,239,9.774657249450684,-0.05102487653493881,2201.68817865625,1000.0
-0.03991496562957764,40419,5.873929023742676,500,238,9.867966651916504,-0.5083997249603271,3929.2770388999998,1000.0
-0.5494600534439087,48519,5.761110305786133,600,233,9.886209487915039,0.017573818564414978,5588.745815208334,1000.0
-0.199194073677063,56619,6.806402683258057,700,230,9.938677787780762,-0.4073961079120636,7386.554688553571,1000.0
-0.007363677024841309,64719,6.747801303863525,800,229,9.888382911682129,-0.28989747166633606,9209.711029453125,1000.0
0.06075716018676758,72819,6.929675102233887,900,227,9.868547439575195,-0.09190639853477478,11296.875575569446,1000.0
-0.025856375694274902,80919,8.05331802368164,1000,226,9.818754196166992,-0.20478230714797974,13694.741197575,1000.0
0.06674689054489136,89019,7.673017978668213,1100,226,9.814064025878906,0.03730190545320511,15850.203807931819,1000.0
0.0260276198387146,97119,7.596621513366699,1200,225,9.7897367477417,-0.5495715141296387,18260.819157114584,1000.0
-0.0473024845123291,105219,7.271421909332275,1300,225,9.735466957092285,-0.13751590251922607,21297.08687619,1000.0
-0.01188504695892334,113319,8.443836212158203,1400,224,9.725775718688965,-0.2364538311958313,25675.161803029998,1000.0
-0.018252253532409668,121419,7.592278480529785,1500,224,9.688773155212402,-0.13167600333690643,30221.565595340002,1000.0
-0.16179215908050537,129519,6.974241733551025,1600,224,9.661905288696289,-0.008785784244537354,34651.41478254,1000.0
-0.36493349075317383,137619,6.728758335113525,1700,223,9.622884750366211,-0.3065203130245209,38751.99673106,1000.0
0.024628818035125732,145719,7.8672685623168945,1800,222,9.639525413513184,-0.009326532483100891,42821.554351700004,1000.0
-0.06387519836425781,153819,5.472464561462402,1900,222,9.634446144104004,-0.0680827721953392,46008.94980925,1000.0
-0.00044667720794677734,161919,5.487942695617676,2000,222,9.602568626403809,-0.05936794355511665,49841.99652605,1000.0
-0.023469209671020508,170019,7.345832824707031,2100,222,9.544983863830566,0.22788414359092712,54596.83543016,1000.0
0.008846163749694824,178119,7.682825565338135,2200,223,9.525895118713379,-0.48808687925338745,58894.02765490999,1000.0
0.005277276039123535,186219,7.6104278564453125,2300,224,9.505993843078613,-0.2880895733833313,62781.26746855999,1000.0
0.012653052806854248,194319,7.595293998718262,2400,224,9.525307655334473,-0.5291014909744263,66724.71117978,1000.0
0.024602293968200684,202419,7.46697998046875,2500,225,9.498061180114746,-0.00756913423538208,70391.26428784,1000.0
-0.005054116249084473,210519,7.233931064605713,2600,225,9.535134315490723,0.33824819326400757,73847.54209297,1000.0
