total_timesteps,value_loss,policy_loss,nupdates,explained_variance,fps,policy_entropy,ep_reward_mean,ep_len_mean
251019,6.772592067718506,0.09566903859376907,3100,-0.010870099067687988,247,9.184745788574219,19362.531416730002,1000.0
259119,6.643080234527588,0.14907392859458923,3200,0.006050169467926025,246,9.117646217346191,20592.56581358,1000.0
267219,6.642524719238281,0.1026957780122757,3300,0.01876533031463623,246,9.059979438781738,21818.96638483,1000.0
275319,6.860243320465088,0.0414561852812767,3400,0.025074243545532227,245,9.037360191345215,22915.317836709997,1000.0
283419,6.700711250305176,-0.46879756450653076,3500,0.07134091854095459,245,8.972281455993652,23967.03766569,1000.0
291519,6.1529436111450195,-0.3397856652736664,3600,0.01132965087890625,244,8.882922172546387,25151.269291270004,1000.0
299619,6.149622917175293,0.10718186944723129,3700,-0.003023386001586914,243,8.827591896057129,26262.671165300002,1000.0
307719,6.286208152770996,0.08164741843938828,3800,0.019659876823425293,243,8.77305793762207,27359.94156057,1000.0
315819,6.5038886070251465,-0.06506166607141495,3900,0.0020891427993774414,243,8.69379997253418,28609.341392570004,1000.0
323919,6.740364074707031,-0.3700051009654999,4000,-0.00970149040222168,242,8.636236190795898,29654.63034505,1000.0
332019,6.565889835357666,-0.7934162020683289,4100,0.014288127422332764,242,8.538331031799316,30946.492546600002,1000.0
340119,6.603308200836182,-0.225306898355484,4200,-0.014678359031677246,242,8.458996772766113,32135.212443189997,1000.0
348219,6.81063985824585,-0.12802699208259583,4300,-0.007218599319458008,241,8.39041805267334,33512.68132433,1000.0
356319,6.648486137390137,-0.08729344606399536,4400,0.005400240421295166,241,8.325549125671387,34868.43949182,1000.0
364419,6.950770378112793,-0.2551407217979431,4500,0.002703368663787842,241,8.243508338928223,36011.53966663,1000.0
372519,6.960256099700928,-0.35103753209114075,4600,0.008949995040893555,240,8.154006004333496,37350.95751667,1000.0
380619,7.230308532714844,-0.2685730755329132,4700,0.007507681846618652,240,8.070082664489746,38846.76475929,1000.0
388719,6.903506278991699,0.23584489524364471,4800,0.0009911060333251953,240,7.961367130279541,40346.32621095,1000.0
396819,7.231164455413818,-0.5061924457550049,4900,-0.007740378379821777,239,7.841141700744629,42064.417141649996,1000.0
404919,6.7820892333984375,0.09066395461559296,5000,-0.005790233612060547,239,7.721844673156738,43766.32458718,1000.0
413019,6.967160224914551,-0.16222979128360748,5100,0.0027219057083129883,239,7.623471260070801,45856.61060479999,1000.0
421119,8.081916809082031,0.11164701730012894,5200,-0.000893712043762207,239,7.498129844665527,48334.449862589994,1000.0
429219,8.294001579284668,-0.19935446977615356,5300,-0.02782285213470459,239,7.3493475914001465,51051.506945400004,1000.0
437319,8.934247016906738,-0.04726536199450493,5400,0.026511013507843018,238,7.209420204162598,53969.93173684,1000.0
445419,9.287579536437988,-0.45571571588516235,5500,0.005241751670837402,238,7.053854942321777,57119.13323923,1000.0
453519,9.673070907592773,-0.4309055805206299,5600,0.037641167640686035,238,6.905716896057129,60594.26881587999,1000.0
461619,9.715555191040039,0.08051908016204834,5700,-0.017524003982543945,238,6.758305549621582,64203.53459771998,1000.0
469719,9.974586486816406,-0.3704761862754822,5800,0.020619451999664307,238,6.61422061920166,68165.29073033,1000.0
477819,10.293500900268555,-0.25445765256881714,5900,0.008596301078796387,237,6.486086845397949,72392.48305722002,1000.0
485919,10.481101989746094,0.28554487228393555,6000,-0.020018577575683594,237,6.343142986297607,76783.12595028999,1000.0
494019,10.604558944702148,-0.24706661701202393,6100,-0.01625514030456543,237,6.210956573486328,81312.69623547,1000.0
502119,10.28039836883545,-0.1318204402923584,6200,0.013631045818328857,237,6.0680742263793945,85741.95790614,1000.0
