total_timesteps,value_loss,policy_loss,nupdates,explained_variance,fps,policy_entropy,ep_reward_mean,ep_len_mean
0,12.260200500488281,-0.053932998329401016,1,-0.03959643840789795,86,9.932570457458496,,
8019,5.795374393463135,-0.40316706895828247,100,-1.5267632007598877,264,10.279862403869629,344.86460175,1000.0
16119,5.640917778015137,-0.14428435266017914,200,-1.3360540866851807,267,10.298918724060059,352.03491318749997,1000.0
24219,4.388397216796875,-0.5511296987533569,300,0.02784806489944458,267,10.317680358886719,367.0484374166667,1000.0
32319,4.070629596710205,-0.04924724996089935,400,0.025143206119537354,265,10.312897682189941,376.36701184375,1000.0
40419,3.3658688068389893,-0.35012897849082947,500,-0.04171562194824219,263,10.314827919006348,388.86163215000005,1000.0
48519,4.14120626449585,0.0753210261464119,600,0.05775785446166992,262,10.326765060424805,406.2370289166667,1000.0
56619,4.6104021072387695,0.2911009192466736,700,-0.01182866096496582,262,10.350035667419434,414.0007433571428,1000.0
64719,4.639464855194092,-0.11232419312000275,800,-0.06148731708526611,262,10.345376014709473,431.351290140625,1000.0
72819,5.244478702545166,0.08168734610080719,900,-0.26298630237579346,263,10.344864845275879,454.50603965277776,1000.0
80919,5.761053085327148,-0.0406876876950264,1000,-0.3581339120864868,263,10.342162132263184,482.58161683750006,1000.0
89019,4.660151481628418,-0.2993341088294983,1100,0.09145867824554443,264,10.351492881774902,511.16917734090913,1000.0
97119,6.622374534606934,-0.38941121101379395,1200,0.23878389596939087,265,10.332695960998535,559.2997180520833,1000.0
105219,8.509544372558594,-0.3102028965950012,1300,0.04751288890838623,265,10.307862281799316,663.00870646,1000.0
113319,11.153203010559082,-0.07962232828140259,1400,-0.39310383796691895,265,10.271903038024902,859.0527984400001,1000.0
121419,10.861865997314453,0.21600942313671112,1500,0.06637585163116455,265,10.227622032165527,1124.4139891500004,1000.0
129519,12.867773056030273,0.03398400545120239,1600,-0.04096329212188721,265,10.200919151306152,1513.4154702300002,1000.0
137619,12.193361282348633,-0.15373605489730835,1700,-0.04998576641082764,263,10.131460189819336,2011.1108950700002,1000.0
145719,12.6871976852417,-0.37845146656036377,1800,0.0319361686706543,261,10.031134605407715,2730.41739635,1000.0
153819,12.787762641906738,0.1695105880498886,1900,-0.0917731523513794,259,9.970410346984863,3631.8488568999996,1000.0
161919,12.78958511352539,-0.30183249711990356,2000,0.17750918865203857,258,9.90316104888916,4597.794204860001,1000.0
170019,12.092619895935059,-0.2963768243789673,2100,-0.4757038354873657,256,9.851202011108398,5698.674654970001,1000.0
178119,10.885258674621582,-0.11364296823740005,2200,0.06560724973678589,255,9.787442207336426,6898.3068736,1000.0
186219,8.470808982849121,-0.17307132482528687,2300,0.04802495241165161,254,9.741043090820312,8181.388863679999,1000.0
194319,8.652970314025879,-0.04768615588545799,2400,-0.05408585071563721,253,9.686755180358887,9501.34693752,1000.0
202419,8.375619888305664,-0.21264329552650452,2500,-0.01533806324005127,252,9.621121406555176,10965.975848859998,1000.0
210519,8.006818771362305,0.1378505825996399,2600,0.026874542236328125,251,9.546374320983887,12451.120184540001,1000.0
218619,7.7429399490356445,-0.08104187250137329,2700,-0.04183769226074219,250,9.488187789916992,13920.578295270003,1000.0
226719,7.988000392913818,-0.1491117775440216,2800,0.10945725440979004,249,9.424620628356934,15399.6695696,1000.0
234819,7.280374050140381,-0.055478859692811966,2900,0.014334321022033691,248,9.312019348144531,16792.47750933,1000.0
242919,7.1090569496154785,0.14629319310188293,3000,0.010846734046936035,248,9.243047714233398,18134.16407466,1000.0
