explained_variance,value_loss,policy_loss,fps,nupdates,total_timesteps,policy_entropy
-0.025556087493896484,62.68986511230469,0.06510956585407257,53,1,0,4.2568159103393555
0.006013751029968262,5050.3779296875,-0.128116175532341,84,100,13959,4.289062023162842
0.12144231796264648,237.4398193359375,0.03215990215539932,84,200,28059,4.292801856994629
0.0051174163818359375,530.9814453125,-0.16447710990905762,84,300,42159,4.2899065017700195
0.0031105875968933105,2534.49267578125,-0.13815760612487793,85,400,56259,4.28450870513916
0.00023353099822998047,1068.7764892578125,-0.032518498599529266,85,500,70359,4.2788801193237305
0.00032764673233032227,2424.05078125,-0.1400095820426941,85,600,84459,4.2719035148620605
-1.1920928955078125e-07,4661.62158203125,-0.19366498291492462,85,700,98559,4.266147136688232
-2.1457672119140625e-06,5254.974609375,-0.15952999889850616,85,800,112659,4.262391090393066
7.152557373046875e-06,5308.31005859375,-0.0753924697637558,85,900,126759,4.257697105407715
-2.0265579223632812e-06,6059.65869140625,-0.16844365000724792,85,1000,140859,4.253222465515137
5.602836608886719e-06,6039.82568359375,-0.042928967624902725,85,1100,154959,4.246166706085205
0.0,7428.70849609375,-0.20525142550468445,85,1200,169059,4.241240978240967
3.5762786865234375e-07,8712.20703125,-0.10938933491706848,85,1300,183159,4.2330121994018555
4.76837158203125e-07,6912.501953125,-0.17821836471557617,85,1400,197259,4.2287373542785645
2.980232238769531e-07,7313.84619140625,-0.37727054953575134,85,1500,211359,4.223084449768066
0.0,7123.38720703125,-0.34142351150512695,85,1600,225459,4.219558238983154
0.0,6981.8671875,-0.08174581080675125,86,1700,239559,4.217525005340576
1.1920928955078125e-07,7983.91259765625,0.05445895344018936,86,1800,253659,4.215195178985596
1.1920928955078125e-07,7763.68994140625,-0.09561027586460114,86,1900,267759,4.212028980255127
-1.1920928955078125e-07,8348.2763671875,-0.16306081414222717,86,2000,281859,4.208305835723877
0.0,8307.5078125,-0.030042309314012527,86,2100,295959,4.206725597381592
0.0,8281.01953125,-0.17618651688098907,86,2200,310059,4.205382347106934
1.1920928955078125e-07,9102.001953125,-0.07836692780256271,86,2300,324159,4.2030110359191895
-1.1920928955078125e-07,9094.0439453125,-0.04275742545723915,86,2400,338259,4.201115131378174
0.0,9730.0048828125,-0.13225063681602478,86,2500,352359,4.197232246398926
-1.1920928955078125e-07,8309.7265625,0.06290267407894135,86,2600,366459,4.195584774017334
-1.1920928955078125e-07,10657.6875,-0.015645643696188927,86,2700,380559,4.193321228027344
0.0,9527.263671875,-0.2905662953853607,86,2800,394659,4.19235897064209
1.1920928955078125e-07,8819.7783203125,-0.09617213159799576,86,2900,408759,4.190442085266113
5.960464477539062e-07,9034.4248046875,-0.09715639054775238,86,3000,422859,4.187927722930908
4.172325134277344e-07,6964.90771484375,-0.040547288954257965,86,3100,436959,4.187018394470215
2.384185791015625e-07,8746.9560546875,0.06760122627019882,86,3200,451059,4.187321186065674
4.172325134277344e-07,9505.412109375,0.026752669364213943,86,3300,465159,4.186806678771973
4.172325134277344e-07,7684.810546875,-0.02937350794672966,86,3400,479259,4.186882019042969
5.960464477539063e-08,7620.67333984375,-0.07421702146530151,86,3500,493359,4.185757637023926
2.980232238769531e-07,7639.63818359375,-0.05473722517490387,86,3600,507459,4.182990074157715
2.384185791015625e-07,8269.318359375,0.2908019721508026,86,3700,521559,4.181426048278809
2.980232238769531e-07,8602.701171875,-0.12213803827762604,86,3800,535659,4.178897380828857
2.980232238769531e-07,9178.2919921875,-0.2373655140399933,86,3900,549759,4.179473400115967
1.7881393432617188e-07,7244.08447265625,-0.15041373670101166,87,4000,563859,4.179606914520264
2.384185791015625e-07,8439.5625,-0.024110890924930573,87,4100,577959,4.178501605987549
1.7881393432617188e-07,8431.9912109375,-0.07149756699800491,87,4200,592059,4.177294731140137
2.384185791015625e-07,7945.146484375,-0.04161386936903,87,4300,606159,4.173522472381592
5.960464477539063e-08,8351.509765625,-0.07923512160778046,87,4400,620259,4.176545143127441
4.172325134277344e-07,8639.0185546875,-0.005219191312789917,86,4500,634359,4.176220893859863
2.384185791015625e-07,9034.474609375,0.061930153518915176,87,4600,648459,4.174626350402832
0.0,9817.0087890625,-0.10972194373607635,87,4700,662559,4.173281192779541
2.384185791015625e-07,8144.3525390625,0.008518628776073456,87,4800,676659,4.173293113708496
0.0,10346.5224609375,0.0017891377210617065,87,4900,690759,4.172664165496826
5.960464477539063e-08,8505.7490234375,-0.03305778652429581,87,5000,704859,4.1710052490234375
1.7881393432617188e-07,9605.76953125,-0.09915007650852203,87,5100,718959,4.171264171600342
0.0,8952.5146484375,-0.012644797563552856,87,5200,733059,4.170055866241455
2.980232238769531e-07,6605.05419921875,-0.19159427285194397,87,5300,747159,4.167553901672363
0.0,9309.9111328125,-0.15038815140724182,87,5400,761259,4.1671223640441895
0.0,10394.8291015625,-0.05549662560224533,87,5500,775359,4.166641712188721
0.0,9452.9111328125,-0.2968841791152954,88,5600,789459,4.165009021759033
-1.1920928955078125e-07,10726.861328125,0.07186940312385559,88,5700,803559,4.163567543029785
0.0,10354.4638671875,-0.15337282419204712,88,5800,817659,4.163369178771973
0.0,9001.4013671875,-0.0687025785446167,88,5900,831759,4.162339210510254
-1.1920928955078125e-07,10709.28125,-0.007032331079244614,88,6000,845859,4.163271427154541
1.1920928955078125e-07,9888.279296875,-0.09737607091665268,88,6100,859959,4.163089275360107
1.1920928955078125e-07,8799.1591796875,-0.30212661623954773,89,6200,874059,4.161514759063721
0.0,10356.916015625,0.012027788907289505,89,6300,888159,4.159316539764404
0.0,9627.552734375,-0.10663652420043945,89,6400,902259,4.1574931144714355
1.1920928955078125e-07,10464.4501953125,0.044485438615083694,89,6500,916359,4.156008720397949
0.0,8845.32421875,-0.09383629262447357,89,6600,930459,4.154303550720215
-1.1920928955078125e-07,9839.94140625,-0.18973301351070404,89,6700,944559,4.154303550720215
1.7881393432617188e-07,9422.984375,-0.13596881926059723,90,6800,958659,4.15269136428833
0.0,10153.48046875,-0.18442681431770325,90,6900,972759,4.152411937713623
0.0,9593.921875,0.012339543551206589,90,7000,986859,4.150938987731934
0.0,9657.1611328125,-0.10487358272075653,90,7100,1000959,4.149341106414795
0.0,10377.38671875,-0.23648294806480408,90,7200,1015059,4.146427631378174
0.0,9864.4580078125,-0.20812830328941345,90,7300,1029159,4.14487361907959
0.0,9708.5654296875,-0.12814636528491974,90,7400,1043259,4.144255638122559
1.1920928955078125e-07,10675.6328125,-0.321681410074234,91,7500,1057359,4.143189430236816
-1.1920928955078125e-07,11187.4169921875,0.09172488749027252,91,7600,1071459,4.141741752624512
0.0,10500.625,-0.15943244099617004,91,7700,1085559,4.140368461608887
-1.1920928955078125e-07,10386.53125,0.08307346701622009,91,7800,1099659,4.138604164123535
0.0,9123.2421875,-0.04758938401937485,91,7900,1113759,4.138949394226074
0.0,9119.0673828125,-0.07341811805963516,91,8000,1127859,4.138115882873535
0.0,9872.9609375,-0.1956854909658432,91,8100,1141959,4.137171745300293
0.0,9406.8486328125,-0.25263240933418274,91,8200,1156059,4.135177135467529
0.0,9822.6259765625,-0.08708015084266663,92,8300,1170159,4.134146690368652
0.0,8983.658203125,-0.08446536958217621,92,8400,1184259,4.1328630447387695
0.0,9799.5185546875,-0.2041262984275818,92,8500,1198359,4.132011890411377
0.0,9811.04296875,0.08692486584186554,92,8600,1212459,4.132500171661377
1.1920928955078125e-07,9644.5693359375,0.04146995022892952,92,8700,1226559,4.132399559020996
1.1920928955078125e-07,9755.5390625,-0.14476065337657928,92,8800,1240659,4.131099224090576
-2.384185791015625e-07,10080.3583984375,0.00037327781319618225,92,8900,1254759,4.130726337432861
0.0,10252.37109375,-0.1130359023809433,92,9000,1268859,4.130505561828613
0.0,9981.201171875,0.09026951342821121,92,9100,1282959,4.132057189941406
1.1920928955078125e-07,9926.3818359375,-0.038400642573833466,92,9200,1297059,4.131684303283691
0.0,9860.6025390625,-0.20437200367450714,93,9300,1311159,4.129275321960449
0.0,8695.0478515625,-0.10845924913883209,93,9400,1325259,4.128207206726074
0.0,9758.4462890625,0.014362525194883347,93,9500,1339359,4.128727436065674
0.0,9787.5341796875,0.07418929040431976,93,9600,1353459,4.128161430358887
0.0,9785.767578125,-0.11098301410675049,93,9700,1367559,4.1274027824401855
-1.1920928955078125e-07,9108.1611328125,-0.11314094066619873,93,9800,1381659,4.126858711242676
2.384185791015625e-07,9008.4794921875,-0.08778606355190277,93,9900,1395759,4.126323223114014
0.0,8141.15283203125,-0.1376442015171051,93,10000,1409859,4.12520170211792
-1.1920928955078125e-07,9087.171875,0.03343065083026886,93,10100,1423959,4.122550964355469
0.0,9707.8466796875,-0.2120262086391449,93,10200,1438059,4.119927406311035
0.0,9943.140625,0.14180046319961548,93,10300,1452159,4.117602825164795
0.0,9505.5947265625,-0.0036556608974933624,93,10400,1466259,4.116183280944824
1.1920928955078125e-07,9828.31640625,-0.15039505064487457,93,10500,1480359,4.116349220275879
1.1920928955078125e-07,8958.0771484375,-0.06892983615398407,93,10600,1494459,4.114570617675781
0.0,8528.462890625,-0.2234056293964386,93,10700,1508559,4.113247871398926
0.0,10764.228515625,-0.16691845655441284,94,10800,1522659,4.113025188446045
0.0,9489.4892578125,-0.16088497638702393,94,10900,1536759,4.111503601074219
-2.384185791015625e-07,8984.69140625,-0.010116878896951675,94,11000,1550859,4.110171794891357
0.0,9545.0888671875,-0.0396496057510376,94,11100,1564959,4.1095404624938965
0.0,8384.53125,-0.21097120642662048,94,11200,1579059,4.10805606842041
0.0,8437.4453125,-0.10789351910352707,94,11300,1593159,4.108250141143799
0.0,8402.576171875,-0.24294155836105347,94,11400,1607259,4.109024524688721
0.0,9172.1201171875,-0.13076505064964294,94,11500,1621359,4.108360290527344
-2.384185791015625e-07,9289.140625,-0.12355630099773407,94,11600,1635459,4.10756778717041
0.0,9902.3154296875,-0.08818892389535904,94,11700,1649559,4.105408191680908
-1.1920928955078125e-07,8725.318359375,-0.23606258630752563,94,11800,1663659,4.106044292449951
1.1920928955078125e-07,9894.1806640625,0.04261988773941994,94,11900,1677759,4.10493803024292
1.1920928955078125e-07,9630.775390625,0.11219684779644012,94,12000,1691859,4.103084087371826
0.0,8575.861328125,0.035991255193948746,94,12100,1705959,4.103217124938965
1.1920928955078125e-07,9224.2783203125,0.07783649861812592,94,12200,1720059,4.102450847625732
0.0,9308.7861328125,0.040897853672504425,94,12300,1734159,4.102099895477295
0.0,9361.0322265625,0.0015011690557003021,94,12400,1748259,4.101771831512451
5.960464477539063e-08,8690.8544921875,0.13141502439975739,94,12500,1762359,4.100959300994873
0.0,8856.224609375,-0.1771409511566162,94,12600,1776459,4.099776268005371
0.0,9007.8798828125,-0.01676139608025551,95,12700,1790559,4.100165843963623
0.0,9090.6044921875,0.15416008234024048,95,12800,1804659,4.097011089324951
1.1920928955078125e-07,9163.6572265625,0.05175161361694336,95,12900,1818759,4.097282886505127
0.0,8413.8349609375,-0.16615590453147888,95,13000,1832859,4.096213340759277
