policy_entropy,explained_variance,total_timesteps,fps,nupdates,policy_loss,value_loss,ep_len_mean,ep_reward_mean
9.932570457458496,-0.28509843349456787,0,86,1,-0.06427530944347382,1.4077579975128174,,
10.033760070800781,-2.3044023513793945,8019,261,100,-0.3891548216342926,1.9377515316009521,1000.0,594.15619725
9.998604774475098,-0.12572753429412842,16119,266,200,-0.5851399898529053,4.39684534072876,1000.0,1747.1257168125
9.949378967285156,-0.033914923667907715,24219,261,300,-0.20452642440795898,5.568317413330078,1000.0,3048.6864435
9.941963195800781,-0.011830449104309082,32319,258,400,-0.3588278591632843,5.886793613433838,1000.0,4458.52021821875
9.9166841506958,-0.025707721710205078,40419,257,500,-0.32833367586135864,6.293060302734375,1000.0,5810.2400853750005
9.852927207946777,0.030559897422790527,48519,256,600,0.11487967520952225,6.452606201171875,1000.0,6956.935959145834
9.816338539123535,-0.23535680770874023,56619,254,700,0.1265067160129547,6.5697832107543945,1000.0,8290.604710696429
9.73569393157959,0.00385439395904541,64719,253,800,-0.06032650172710419,7.3166985511779785,1000.0,9658.003007046875
9.679335594177246,0.018472015857696533,72819,252,900,0.03340455889701843,7.315962314605713,1000.0,10938.073713916667
9.628884315490723,-0.007443666458129883,80919,252,1000,-0.13316594064235687,7.734906196594238,1000.0,12348.9590537
9.559427261352539,0.018184781074523926,89019,253,1100,-0.19743338227272034,7.135694980621338,1000.0,13860.979223443182
9.492465019226074,-0.034212708473205566,97119,254,1200,-0.3296833634376526,8.543644905090332,1000.0,15485.9861896875
9.403578758239746,-0.01692342758178711,105219,254,1300,-0.29606181383132935,7.850674629211426,1000.0,17567.915708930002
9.401108741760254,-0.028322339057922363,113319,255,1400,-0.05445770174264908,8.11577320098877,1000.0,20467.29943244
9.3682222366333,0.038808226585388184,121419,255,1500,-0.43205979466438293,8.195518493652344,1000.0,23126.529515620005
9.311639785766602,-0.027831077575683594,129519,256,1600,-0.28174644708633423,7.328228950500488,1000.0,25735.911827570006
9.25020694732666,-0.043929100036621094,137619,256,1700,0.145772784948349,7.458992004394531,1000.0,28400.36156368
9.19663143157959,0.044044554233551025,145719,256,1800,-0.041995443403720856,7.237449645996094,1000.0,31210.73439142
