policy_loss,total timesteps,entropy,qf2_loss,current_lr,qf1_loss,n_updates,mean 100 episode reward,ent_coef,value_loss,episodes,fps,eplenmean,ep_rewmean,time_elapsed,ent_coef_loss
-3.4853897,135000,2.8165636,0.0011489799,0.0003,0.0015320871,134900,27.4,0.0025214115,0.00043371372,136,95,1000.0,16107.38229458,1419,1.1121995
-3.6883,139000,1.5734704,0.14018638,0.0003,0.14003898,138900,28.5,0.0019787578,0.0008224333,140,95,1000.0,18891.95362551,1462,2.9921465
-3.853671,143000,-0.17013843,0.0021428626,0.0003,0.002172705,142900,29.8,0.0019598552,0.003969875,144,95,1000.0,22226.943932129998,1504,0.56933475
-3.979997,147000,-0.6314864,0.0011776995,0.0003,0.0011302038,146900,30.8,0.0018200265,0.0014023506,148,95,1000.0,25314.42175298,1547,-6.787484
-3.954783,151000,-1.3102621,0.00060586096,0.0003,0.00063166436,150900,31.3,0.0017199462,0.00039346836,152,94,1000.0,27941.16874285,1590,-2.3502765
-3.8854785,155000,-0.87599134,0.000737351,0.0003,0.0007049171,154900,30.8,0.0014460743,0.0005965136,156,94,1000.0,30030.9692781,1633,0.45431364
-3.7763166,159000,-2.7496111,0.00069294777,0.0003,0.0008721263,158900,30.5,0.0011546093,0.00094591983,160,94,1000.0,32242.27533915,1676,0.7333193
-3.5527406,163000,-2.0235431,0.0011151917,0.0003,0.0007129817,162900,31.3,0.0014889635,0.0015502337,164,94,1000.0,35348.90472333,1719,-3.1967635
-3.4220283,167000,-1.2451077,0.080468886,0.0003,0.082699016,166900,31.8,0.0018007407,0.0004613926,168,94,1000.0,38444.59887619,1761,1.1685078
-3.4917521,171000,-1.7000453,0.0003938856,0.0003,0.00038172165,170900,31.4,0.0017242441,0.0007734003,172,94,1000.0,40600.38238784,1804,-4.732611
-3.1324627,175000,-1.3616421,0.11720998,0.0003,0.12011178,174900,30.8,0.001690753,0.00025534202,176,94,1000.0,41757.42744954999,1847,1.4098353
-2.8627877,179000,-1.628589,0.00036818048,0.0003,0.00031349523,178900,30.2,0.0017985764,0.00058071036,180,94,1000.0,42914.9627291,1889,-2.423841
-2.6465156,183000,-1.935992,0.00040427974,0.0003,0.00043897168,182900,29.7,0.0015135664,0.0011532446,184,94,1000.0,44274.99021296,1932,5.5045414
-2.4610667,187000,-0.05725053,0.000822332,0.0003,0.00079282955,186900,29.3,0.0020789034,0.0005920001,188,94,1000.0,45714.77969455001,1976,-3.5779192
-2.4953303,191000,-0.7589343,0.00028573873,0.0003,0.0002068114,190900,29.3,0.0018119682,0.0003152981,192,94,1000.0,48761.46635796001,2019,-1.0712923
-2.3886037,195000,-1.7584262,0.00011208785,0.0003,0.00020647616,194900,29.5,0.0014032805,0.00032739123,196,94,1000.0,52263.99919129,2061,0.7483479
-2.3488665,199000,-2.316452,0.00024405369,0.0003,0.00026399293,198900,29.4,0.0012567636,0.0002525764,200,94,1000.0,55917.281446559995,2103,3.2261076
-2.3262012,203000,-2.2774272,0.0001310107,0.0003,0.000112885304,202900,29.1,0.0010470923,0.00010791122,204,94,1000.0,59722.589826879994,2146,4.01556
-2.420071,207000,-2.8914826,0.00021009266,0.0003,0.0003287998,206900,28.8,0.0009369659,0.00013624565,208,94,1000.0,63526.03131627,2188,-5.5993776
-2.3424346,211000,-2.7851043,0.00015082776,0.0003,0.00020703951,210900,28.8,0.0009276644,7.5473756e-05,212,94,1000.0,67311.14596474002,2230,-5.427904
-2.3499765,215000,-1.0415497,0.00012559845,0.0003,0.00012394684,214900,29.2,0.00094740995,0.00036125808,216,94,1000.0,71271.67657507,2272,0.34634286
-2.3150442,219000,-3.2355485,0.00012325216,0.0003,8.369595e-05,218900,28.8,0.00094930426,9.8547884e-05,220,94,1000.0,74875.62783176999,2314,-3.1138263
-2.3427892,223000,-4.317074,8.62654e-05,0.0003,0.00010086314,222900,27.7,0.0007729048,0.0003473825,224,94,1000.0,77598.21088246001,2356,0.36827925
-2.2716875,227000,-3.9464045,6.0947263e-05,0.0003,7.301014e-05,226900,26.2,0.0006585827,6.729584e-05,228,94,1000.0,79319.87967150999,2398,3.1675503
-2.2910738,231000,-7.1534038,0.00015097164,0.0003,0.00017417963,230900,25.5,0.0006307194,0.00024329947,232,94,1000.0,81255.43162946001,2440,19.451828
-2.2722974,235000,-3.4832156,4.1550837e-05,0.0003,6.231899e-05,234900,25.0,0.00041468,6.5463915e-05,236,94,1000.0,82874.93128206,2482,-2.0465488
-2.3116875,239000,-4.2602563,2.9884479e-05,0.0003,3.2627868e-05,238900,24.5,0.00028806602,9.7683136e-05,240,94,1000.0,84173.47120181,2525,1.348068
-2.287746,243000,-4.7911634,4.838815e-05,0.0003,4.0686195e-05,242900,23.7,0.00040306954,0.00010810086,244,94,1000.0,83865.90576542,2568,12.409299
-1.7968123,247000,1.1759243,0.023471966,0.0003,0.02335042,246900,22.8,0.0008600621,0.00012935672,248,94,1000.0,82291.40827664,2612,20.144943
-1.7077359,251000,-3.1944375,4.7666384e-05,0.0003,4.2213385e-05,250900,22.5,0.00045216636,3.4797027e-05,252,94,1000.0,82534.27554575,2655,-10.691788
-1.762192,255000,-3.775334,0.00023666339,0.0003,0.00022989766,254900,22.7,0.00035004513,0.00036541722,256,94,1000.0,84900.16668416,2697,0.722878
-1.8724363,259000,-3.0615842,7.603235e-05,0.0003,7.784781e-05,258900,22.9,0.0003462657,4.2800093e-05,260,94,1000.0,87089.35692388001,2740,7.2288523
-1.9465593,263000,-2.898682,0.00012622897,0.0003,0.00014273687,262900,22.9,0.00038287276,3.6239235e-05,264,94,1000.0,88676.39950557,2782,5.497533
-2.0029974,267000,-2.5517664,6.33004e-05,0.0003,5.9025057e-05,266900,22.9,0.00033594717,2.795198e-05,268,94,1000.0,90114.42804635997,2824,-5.7021227
-2.0544245,271000,-2.9177904,8.4054445e-05,0.0003,5.1917537e-05,270900,23.2,0.00024318835,7.8587094e-05,272,94,1000.0,92516.83123730002,2867,0.033770084
-2.035808,275000,-1.3665779,0.00012409977,0.0003,0.00018165939,274900,23.8,0.0002732194,0.00028049306,276,94,1000.0,95824.05417237,2909,-2.751176
-2.0901935,279000,-2.227798,3.6072823e-05,0.0003,3.4522673e-05,278900,24.3,0.000221086,8.643088e-06,280,94,1000.0,99082.82798400999,2952,-0.19175541
-2.1146479,283000,-2.3369727,4.7734356e-05,0.0003,3.9684943e-05,282900,24.7,0.00023974181,7.2658e-05,284,94,1000.0,101701.49085898999,2994,-5.092967
-2.1217492,287000,-3.0075157,3.6726626e-05,0.0003,3.9071496e-05,286900,25.1,0.00027679457,0.00017700606,288,94,1000.0,104378.47436632999,3036,-4.897606
-2.1261501,291000,-2.95926,6.9879505e-05,0.0003,3.8002083e-05,290900,25.0,0.00027215757,1.7640632e-05,292,94,1000.0,105399.35420683998,3078,-2.3410838
-2.150722,295000,-2.8754675,6.35047e-05,0.0003,5.8113357e-05,294900,24.7,0.00020412977,0.00017281383,296,94,1000.0,105569.35950167,3120,-1.3712626
-2.1746461,299000,-4.0105004,5.7241974e-05,0.0003,2.855816e-05,298900,24.6,0.00020575334,3.9534163e-05,300,94,1000.0,106285.38445188999,3162,4.554356
-1.8818073,303000,-2.291479,5.4953474e-05,0.0003,4.1248528e-05,302900,23.9,0.00041720958,3.2240456e-05,304,94,1000.0,104378.90024932001,3204,-19.179846
-1.9567819,307000,-3.9310875,1.6594733e-05,0.0003,2.6037655e-05,306900,23.6,0.00019170805,1.2731713e-05,308,94,1000.0,104453.78324958001,3246,22.780872
