fps,total_timesteps,explained_variance,policy_entropy,nupdates,value_loss,ep_reward_mean,ep_len_mean
174,128,-0.0025750398635864258,9.932570457458496,1,8.970682144165039,,
182,12800,-1.283975601196289,9.93494987487793,100,0.4846082329750061,216.45232300000006,500.0
182,25600,-0.4454176425933838,9.934171676635742,200,0.8835515379905701,215.67138277083336,500.0
180,38400,0.014959394931793213,9.935500144958496,300,12.810700416564941,207.96569777631578,500.0
181,51200,-0.15279507637023926,9.930273056030273,400,0.26454994082450867,208.85870691,500.0
181,64000,-0.9115433692932129,9.913084983825684,500,0.4350951611995697,211.03082350000005,500.0
181,76800,-0.5708730220794678,9.889739990234375,600,0.21914604306221008,205.98452543000002,500.0
182,89600,-0.5385315418243408,9.87968921661377,700,0.1127764955163002,209.37567546999998,500.0
181,102400,-0.9880446195602417,9.904054641723633,800,0.09554050117731094,214.53127736000002,500.0
182,115200,-1.845717430114746,9.876893043518066,900,0.11072812974452972,212.99577730000001,500.0
181,128000,-0.754849910736084,9.910887718200684,1000,2.3344035148620605,227.25022970999999,500.0
182,140800,-3.0343637466430664,9.903680801391602,1100,0.03838410601019859,240.05720985000008,500.0
183,153600,-0.03282904624938965,9.850915908813477,1200,0.6091927886009216,345.0052953299999,500.0
183,166400,0.1420832872390747,9.812406539916992,1300,0.7270005941390991,723.6624102500001,500.0
183,179200,-0.22570443153381348,9.773329734802246,1400,0.2519127130508423,1390.81036396,500.0
182,192000,0.09218114614486694,9.803420066833496,1500,14.800630569458008,2398.7433645799997,500.0
181,204800,-0.3348311185836792,9.806718826293945,1600,0.017852813005447388,3239.2060611299994,500.0
181,217600,-0.10260152816772461,9.777894973754883,1700,0.031956132501363754,3981.1324384799996,500.0
181,230400,-0.32809317111968994,9.756086349487305,1800,0.03234428912401199,4547.8657343800005,500.0
181,243200,0.2703068256378174,9.723075866699219,1900,0.060659557580947876,4846.347685080001,500.0
181,256000,-0.2603253126144409,9.735182762145996,2000,8.122109413146973,5238.06011427,500.0
181,268800,0.0751463770866394,9.722177505493164,2100,0.0867760181427002,5629.65877073,500.0
181,281600,-0.005606174468994141,9.683565139770508,2200,0.08776725828647614,6157.18721911,500.0
181,294400,0.09958231449127197,9.647974014282227,2300,0.04235655814409256,7005.20427914,500.0
182,307200,0.08858233690261841,9.594100952148438,2400,0.05715228617191315,7908.87819457,500.0
181,320000,0.024061620235443115,9.566969871520996,2500,7.844531059265137,8822.02297493,500.0
182,332800,0.06149166822433472,9.566320419311523,2600,0.07385672628879547,9459.85227107,500.0
182,345600,0.12254393100738525,9.57935619354248,2700,0.054070256650447845,10141.10251161,500.0
182,358400,0.22415059804916382,9.57939624786377,2800,0.025469698011875153,10527.28224528,500.0
182,371200,0.08281654119491577,9.609297752380371,2900,0.040313757956027985,10807.260642430003,500.0
181,384000,-0.028702735900878906,9.639374732971191,3000,6.488796234130859,11302.506215180001,500.0
181,396800,-0.09614646434783936,9.595479965209961,3100,0.05209030956029892,11353.835210000001,500.0
182,409600,-0.018945693969726562,9.556503295898438,3200,0.03242383152246475,11809.689926989999,500.0
181,422400,-0.027774691581726074,9.548176765441895,3300,0.011066150851547718,12253.35562783,500.0
181,435200,0.026681900024414062,9.546232223510742,3400,0.10169490426778793,12510.538155080003,500.0
181,448000,0.016072392463684082,9.481287956237793,3500,7.190276622772217,13202.34317638,500.0
181,460800,0.05731236934661865,9.464933395385742,3600,0.1336297243833542,13974.755712350001,500.0
181,473600,-0.020115017890930176,9.493888854980469,3700,0.03628123551607132,14094.10745791,500.0
181,486400,0.029167473316192627,9.53101921081543,3800,0.02349073253571987,14327.38768088,500.0
181,499200,0.10574644804000854,9.526960372924805,3900,0.01745215430855751,14939.1251505,500.0
