surrgain,entloss,TimeElapsed,TimestepsSoFar,entropy,explained_variance_tdlam_before,meankl,EpThisIter,EpisodesSoFar,EpLenMean,EpRewMean,optimgain
0.109053,0.0,5.971808671951294,1024,9.9427395,-0.1322634220123291,0.011826774,1,1,1000.0,374.991738,0.109053
0.107889846,0.0,10.788869857788086,2048,9.953487,-1.0622644424438477,0.011125096,1,2,1000.0,343.4768305,0.107889846
0.11648764,0.0,15.35350751876831,3072,9.955002,-0.117439866065979,0.011338748,1,3,1000.0,454.686461,0.11648764
0.118379,0.0,20.035315990447998,4096,9.972983,-3.2403316497802734,0.0117650535,1,4,1000.0,421.5092565,0.118379
0.1276934,0.0,24.312886476516724,5120,9.97815,-1.55680513381958,0.012140235,1,5,1000.0,418.84625919999996,0.1276934
0.12251745,0.0,29.072394132614136,6144,9.975913,-0.6565786600112915,0.010827105,1,6,1000.0,419.44759266666665,0.12251745
0.11772813,0.0,33.44665479660034,7168,9.978627,-0.8869637250900269,0.0119426865,1,7,1000.0,411.0058771428571,0.11772813
0.16341735,0.0,38.119057178497314,8192,10.003342,-0.04870796203613281,0.011194584,1,8,1000.0,432.911571125,0.16341735
0.14087027,0.0,42.5939040184021,9216,10.0168915,-0.6303279399871826,0.0109373,1,9,1000.0,430.0865606666667,0.14087027
0.11756458,0.0,47.17136311531067,10240,10.003063,-1.2379090785980225,0.0115681235,1,10,1000.0,442.6170724,0.11756458
0.11873537,0.0,51.78610873222351,11264,9.98047,-0.757792592048645,0.012175439,1,11,1000.0,437.0096799090909,0.11873537
0.13316128,0.0,56.24223709106445,12288,9.960581,-0.13648545742034912,0.01055434,1,12,1000.0,440.31124916666664,0.13316128
0.110987216,0.0,60.67422676086426,13312,9.945446,-0.4579281806945801,0.012208505,1,13,1000.0,442.4084221538461,0.110987216
0.116234235,0.0,65.00407123565674,14336,9.961926,-0.4585078954696655,0.011864632,1,14,1000.0,444.18934421428565,0.116234235
0.12326081,0.0,69.50592637062073,15360,9.943558,-0.4890559911727905,0.011182709,1,15,1000.0,444.4803299333333,0.12326081
0.12973312,0.0,73.87675976753235,16384,9.928222,-0.7815306186676025,0.0105251735,1,16,1000.0,443.21092875,0.12973312
0.11385676,0.0,78.49332642555237,17408,9.933469,-0.15564322471618652,0.011386203,1,17,1000.0,450.63758488235294,0.11385676
0.12357343,0.0,83.04986786842346,18432,9.929248,-0.7110302448272705,0.012045277,1,18,1000.0,448.89286866666663,0.12357343
0.108286485,0.0,87.27642703056335,19456,9.922046,-0.5912953615188599,0.011422286,1,19,1000.0,446.72788136842104,0.108286485
0.11699876,0.0,91.86164855957031,20480,9.915576,-0.043050527572631836,0.011339366,1,20,1000.0,445.64691604999996,0.11699876
0.117889985,0.0,96.52276754379272,21504,9.915367,-0.14848971366882324,0.012769033,1,21,1000.0,454.7595299523809,0.117889985
0.14518987,0.0,100.93145298957825,22528,9.938647,-0.3105025291442871,0.011805057,1,22,1000.0,460.1966716818181,0.14518987
0.1251441,0.0,105.476979970932,23552,9.954223,-0.2631925344467163,0.01187395,1,23,1000.0,459.99743326086946,0.1251441
0.13199785,0.0,110.00663471221924,24576,9.945315,-0.30379176139831543,0.0117673315,1,24,1000.0,465.8847845,0.13199785
0.11077846,0.0,114.52862310409546,25600,9.943479,-0.18385398387908936,0.011779019,1,25,1000.0,463.75246064,0.11077846
0.1676215,0.0,119.17784571647644,26624,9.9523535,-0.057701826095581055,0.011563079,1,26,1000.0,467.64693903846154,0.1676215
0.1158972,0.0,123.63461828231812,27648,9.959957,-0.36106932163238525,0.010978926,1,27,1000.0,477.73661396296296,0.1158972
0.16559589,0.0,128.31866717338562,28672,9.995276,-0.054937124252319336,0.01280237,1,28,1000.0,480.42054435714283,0.16559589
0.13857637,0.0,132.86680459976196,29696,9.998572,-0.2481907606124878,0.011950476,1,29,1000.0,486.65843668965516,0.13857637
0.12569134,0.0,137.33150243759155,30720,10.014844,-0.08461642265319824,0.012534377,1,30,1000.0,486.46011526666666,0.12569134
0.127585,0.0,141.9053599834442,31744,10.022378,-0.152878999710083,0.012705166,1,31,1000.0,489.40799187096775,0.127585
0.13743901,0.0,146.17298769950867,32768,10.009036,-0.08415806293487549,0.013485251,1,32,1000.0,493.2208750625,0.13743901
0.12433803,0.0,150.65065789222717,33792,10.016369,-0.05778622627258301,0.012484231,1,33,1000.0,496.60642633333333,0.12433803
0.11727728,0.0,155.10480117797852,34816,10.006238,-0.046132445335388184,0.0110489335,1,34,1000.0,500.7808575294118,0.11727728
0.111275285,0.0,159.47747921943665,35840,10.003543,-0.11143171787261963,0.011627033,1,35,1000.0,508.47474205714286,0.111275285
0.12201698,0.0,163.8564064502716,36864,9.990441,-0.04141676425933838,0.012800233,1,36,1000.0,514.663829611111,0.12201698
0.10766531,0.0,168.17136478424072,37888,9.986252,0.023869454860687256,0.011617755,1,37,1000.0,521.2623706486487,0.10766531
0.11582949,0.0,172.72074675559998,38912,9.977671,-0.022136449813842773,0.011877179,1,38,1000.0,526.8366989210526,0.11582949
0.114431605,0.0,177.17663598060608,39936,9.966271,0.004443049430847168,0.0128105935,1,39,1000.0,529.3472890512821,0.114431605
0.12262254,0.0,181.45202589035034,40960,9.971934,-0.12881934642791748,0.012570049,1,40,1000.0,537.092213825,0.12262254
0.11534463,0.0,185.74804139137268,41984,9.9581785,-0.04404795169830322,0.01243924,1,41,1000.0,546.0188868500001,0.11534463
0.1108204,0.0,190.964421749115,43008,9.957874,-0.015224337577819824,0.012372,2,43,1000.0,553.7519679999999,0.1108204
0.14445296,0.0,195.3357195854187,44032,9.957839,0.004472672939300537,0.01316939,1,44,1000.0,568.667791425,0.14445296
0.12160905,0.0,199.56591939926147,45056,9.954702,-0.07824075222015381,0.0121818315,1,45,1000.0,571.566293575,0.12160905
0.10797331,0.0,203.7673978805542,46080,9.954469,0.011445164680480957,0.0115069,1,46,1000.0,577.0553881,0.10797331
0.11077978,0.0,208.0465304851532,47104,9.947141,0.08756846189498901,0.012278033,1,47,1000.0,593.6969777,0.11077978
0.1313686,0.0,212.608389377594,48128,9.946241,-0.05836057662963867,0.012194527,1,48,1000.0,599.302927825,0.1313686
0.12857771,0.0,217.0036163330078,49152,9.940792,0.062508225440979,0.012311457,1,49,1000.0,610.7667356750001,0.12857771
0.10958432,0.0,221.44921875,50176,9.937451,0.035409629344940186,0.0148251625,1,50,1000.0,620.206132175,0.10958432
0.13394827,0.0,225.90989685058594,51200,9.934452,0.023468434810638428,0.012672317,1,51,1000.0,630.001131625,0.13394827
0.10605146,0.0,230.71423411369324,52224,9.942422,-0.008803248405456543,0.012185557,1,52,1000.0,637.6274404,0.10605146
0.11222478,0.0,235.72328925132751,53248,9.937268,0.06677913665771484,0.012512237,1,53,1000.0,648.63598905,0.11222478
0.114440255,0.0,240.36523246765137,54272,9.930907,0.08893072605133057,0.011951763,1,54,1000.0,659.283472025,0.114440255
0.11826278,0.0,244.91108536720276,55296,9.931766,0.06115013360977173,0.01204689,1,55,1000.0,671.845593775,0.11826278
0.12713072,0.0,249.57316851615906,56320,9.928723,0.1313520073890686,0.013955275,1,56,1000.0,684.39950795,0.12713072
0.115667164,0.0,254.50743317604065,57344,9.923219,0.030544936656951904,0.012602013,1,57,1000.0,692.15649635,0.115667164
0.1116087,0.0,259.64541149139404,58368,9.925863,0.08920520544052124,0.012757285,1,58,1000.0,700.8006524499999,0.1116087
0.122915834,0.0,264.03317165374756,59392,9.926024,0.03429633378982544,0.011882262,1,59,1000.0,709.543307275,0.122915834
0.106322795,0.0,268.5923433303833,60416,9.914918,0.030283212661743164,0.012756671,1,60,1000.0,724.83527595,0.106322795
0.13150395,0.0,273.29913687705994,61440,9.929649,-0.012437224388122559,0.013287636,1,61,1000.0,744.91009885,0.13150395
0.12814033,0.0,277.769474029541,62464,9.928589,0.07385426759719849,0.012996647,1,62,1000.0,755.30057835,0.12814033
0.10596377,0.0,282.2425482273102,63488,9.923875,0.0013225674629211426,0.012399195,1,63,1000.0,777.4684368999999,0.10596377
0.1049875,0.0,286.6388006210327,64512,9.924063,0.0401272177696228,0.012810718,1,64,1000.0,791.55217505,0.1049875
0.107243046,0.0,291.3964755535126,65536,9.913318,0.009213030338287354,0.013007728,1,65,1000.0,801.7294656,0.107243046
0.106253095,0.0,295.74966859817505,66560,9.912488,0.10593324899673462,0.012483362,1,66,1000.0,820.110670975,0.106253095
0.11373093,0.0,300.05527687072754,67584,9.913207,0.11353123188018799,0.013958778,1,67,1000.0,827.971497025,0.11373093
0.1101826,0.0,304.6525263786316,68608,9.913455,0.1057397723197937,0.012929674,1,68,1000.0,846.920416675,0.1101826
0.12230448,0.0,309.4272356033325,69632,9.913211,0.14299118518829346,0.012868306,1,69,1000.0,860.352980325,0.12230448
0.124069646,0.0,313.727205991745,70656,9.916089,-0.024452805519104004,0.014127315,1,70,1000.0,876.5592211999999,0.124069646
0.1068324,0.0,317.99980878829956,71680,9.9130125,0.03931748867034912,0.013572894,1,71,1000.0,895.1888019,0.1068324
0.11343761,0.0,322.595246553421,72704,9.915442,0.16017836332321167,0.012897216,1,72,1000.0,907.5642014749999,0.11343761
0.10984729,0.0,327.0755853652954,73728,9.907021,-0.09366238117218018,0.0139263095,1,73,1000.0,920.20672515,0.10984729
0.11815712,0.0,331.2662343978882,74752,9.9139,0.09504997730255127,0.0121415295,1,74,1000.0,935.6845666249999,0.11815712
0.11059711,0.0,335.8361098766327,75776,9.911744,0.00036084651947021484,0.013685126,1,75,1000.0,939.75138075,0.11059711
0.099933654,0.0,340.3462953567505,76800,9.910145,0.015837490558624268,0.01186456,1,76,1000.0,946.824330875,0.099933654
0.1090626,0.0,344.8102412223816,77824,9.9042845,0.10491907596588135,0.0126333395,1,77,1000.0,955.9336210500002,0.1090626
0.10908049,0.0,349.2230942249298,78848,9.897656,0.07271796464920044,0.013157941,1,78,1000.0,973.577655025,0.10908049
0.104879394,0.0,353.65800881385803,79872,9.896165,-0.040261149406433105,0.012095369,1,79,1000.0,988.984756175,0.104879394
0.1298401,0.0,358.3586609363556,80896,9.896595,0.054000675678253174,0.0121628605,1,80,1000.0,1010.2433785249999,0.1298401
0.10461655,0.0,363.0471684932709,81920,9.900756,-0.058001041412353516,0.012210591,1,81,1000.0,1041.37355625,0.10461655
