policy_entropy,fps,total_timesteps,value_loss,nupdates,explained_variance,ep_len_mean,ep_reward_mean
9.932570457458496,170,128,3.4024910926818848,1,-0.312669038772583,,
9.93311882019043,184,12800,2.449714183807373,100,-0.08724427223205566,500.0,227.26405379166667
9.933415412902832,184,25600,0.26843729615211487,200,-2.172736883163452,500.0,222.62861614583335
9.932311058044434,181,38400,15.816343307495117,300,-0.0487520694732666,500.0,225.8031929736842
9.930353164672852,182,51200,0.21539653837680817,400,-1.4722411632537842,500.0,227.88597667
9.930318832397461,181,64000,0.1343429535627365,500,-1.1293153762817383,500.0,233.95606067
9.929178237915039,182,76800,0.10598284006118774,600,-0.7479784488677979,500.0,237.72013479
9.934596061706543,183,89600,0.488357275724411,700,-0.1609938144683838,500.0,238.22244823
9.933492660522461,184,102400,0.41647064685821533,800,-0.27295613288879395,500.0,241.78055946
9.934259414672852,185,115200,0.23822051286697388,900,-2.3794212341308594,500.0,242.16841897000003
9.933534622192383,185,128000,1.0960795879364014,1000,-0.08887696266174316,500.0,253.99207460999997
9.946288108825684,185,140800,0.29432323575019836,1100,-0.2774146795272827,500.0,281.56709290999993
9.915544509887695,186,153600,0.270782470703125,1200,-2.5548288822174072,500.0,352.09855349000003
9.872523307800293,186,166400,0.2244373857975006,1300,-0.21205496788024902,500.0,548.79326613
9.859762191772461,186,179200,0.1500803828239441,1400,-0.2506439685821533,500.0,875.90543152
9.819533348083496,186,192000,23.245363235473633,1500,0.08175778388977051,500.0,1492.68301377
9.815144538879395,186,204800,0.022278398275375366,1600,-0.030414462089538574,500.0,2124.38607374
9.798864364624023,186,217600,0.017856160178780556,1700,-0.05810666084289551,500.0,2698.88844737
9.800298690795898,185,230400,0.010513282380998135,1800,-0.0732119083404541,500.0,3163.69392284
9.831085205078125,185,243200,0.016694922000169754,1900,-0.06370007991790771,500.0,3341.99656368
9.847810745239258,184,256000,6.832068920135498,2000,0.037329137325286865,500.0,3425.5484947099994
9.879571914672852,184,268800,0.006811677012592554,2100,-0.05462157726287842,500.0,3477.1826652299997
9.89056396484375,184,281600,0.0029225749894976616,2200,-0.09290182590484619,500.0,3547.403684289999
9.9134521484375,183,294400,0.008054621517658234,2300,-0.2416936159133911,500.0,3645.58699624
9.928674697875977,183,307200,0.0073983329348266125,2400,0.157576322555542,500.0,3684.7442957099997
9.942468643188477,183,320000,5.326742172241211,2500,0.01431196928024292,500.0,3751.06287799
9.954103469848633,182,332800,0.005049667786806822,2600,-0.8366082906723022,500.0,3781.93988144
9.966070175170898,182,345600,0.05235034599900246,2700,-0.050585389137268066,500.0,3797.38295444
9.967615127563477,182,358400,0.013952363282442093,2800,2.6404857635498047e-05,500.0,3865.39205726
9.982709884643555,181,371200,0.010897526517510414,2900,0.0040975213050842285,500.0,3885.01230514
9.957986831665039,181,384000,5.214914321899414,3000,-0.010684370994567871,500.0,3956.88749225
9.959993362426758,181,396800,0.00624433346092701,3100,0.09478187561035156,500.0,4010.2957324299996
9.934874534606934,180,409600,0.05757022649049759,3200,-0.0022696256637573242,500.0,4075.42809101
9.939901351928711,180,422400,0.006779758259654045,3300,-0.05161428451538086,500.0,4185.84782793
9.93126106262207,180,435200,0.0067559294402599335,3400,-0.06574797630310059,500.0,4281.43481219
9.926762580871582,179,448000,4.939779758453369,3500,0.03115934133529663,500.0,4377.48371478
9.926935195922852,179,460800,0.09391307830810547,3600,-0.02633500099182129,500.0,4433.92542739
9.955598831176758,179,473600,0.02285280078649521,3700,-0.08578157424926758,500.0,4506.07638979
9.95452880859375,179,486400,0.03598078340291977,3800,-0.0107574462890625,500.0,4629.4295948
9.960283279418945,179,499200,0.01665394753217697,3900,0.054885268211364746,500.0,4741.502799919999
