time_elapsed,policy_entropy,policy_loss,total_timesteps,n_updates,fps,explained_variance,clipfrac,approxkl,value_loss,serial_timesteps,ep_reward_mean,ep_len_mean
25.874510049819946,9.769066,-0.0219812,5504,43,294,-0.054241299629211426,0.21679688,0.014389606,0.012768333,1376,526.504545875,500.0
26.309732675552368,9.744042,-0.02499057,5632,44,257,-0.3978368043899536,0.30859375,0.023392493,0.006608331,1408,526.504545875,500.0
26.80697774887085,9.721291,-0.022081114,5760,45,245,0.2565346360206604,0.15820312,0.0115491655,0.018046385,1440,526.504545875,500.0
27.3299298286438,9.712451,-0.019589912,5888,46,241,0.669979989528656,0.16210938,0.013051268,0.016805883,1472,526.504545875,500.0
27.860950231552124,9.723166,-0.015173612,6016,47,34,-0.08460187911987305,0.10546875,0.0072502596,1.2004951,1504,847.1882623333335,500.0
31.55985450744629,9.727711,-0.034203753,6144,48,321,-0.16891896724700928,0.24414062,0.01932247,0.018052006,1536,847.1882623333335,500.0
31.95933222770691,9.734274,-0.039284736,6272,49,331,-0.6878501176834106,0.296875,0.022971306,0.014482808,1568,847.1882623333335,500.0
32.34650754928589,9.73541,-0.013466041,6400,50,291,0.002363443374633789,0.23242188,0.015829716,0.019493844,1600,847.1882623333335,500.0
32.7862663269043,9.717797,-0.021664478,6528,51,293,-0.04330301284790039,0.21875,0.014460018,0.014471823,1632,847.1882623333335,500.0
33.223087310791016,9.694891,-0.022346418,6656,52,268,0.0011634230613708496,0.15820312,0.009405594,0.009666913,1664,847.1882623333335,500.0
33.70130372047424,9.68602,-0.023301471,6784,53,285,-0.24209165573120117,0.27148438,0.022905994,0.011304983,1696,847.1882623333335,500.0
34.15054202079773,9.681692,-0.01601752,6912,54,291,0.1688765287399292,0.28125,0.022599202,0.0052787582,1728,847.1882623333335,500.0
34.589826345443726,9.664945,-0.020787489,7040,55,270,0.15732336044311523,0.2265625,0.017580187,0.009126882,1760,847.1882623333335,500.0
35.06548500061035,9.644687,-0.028396528,7168,56,262,0.07924455404281616,0.34179688,0.03010295,0.0052449885,1792,847.1882623333335,500.0
35.554481506347656,9.635992,-0.026166182,7296,57,251,0.3236551284790039,0.30859375,0.024630763,0.009922318,1824,847.1882623333335,500.0
36.06443667411804,9.621736,-0.020063456,7424,58,282,0.17196601629257202,0.21875,0.015928699,0.008021807,1856,847.1882623333335,500.0
36.518309593200684,9.614274,-0.022454232,7552,59,237,-0.13234412670135498,0.23828125,0.021278817,0.0055761607,1888,847.1882623333335,500.0
37.05781650543213,9.626761,-0.011329031,7680,60,268,0.26318174600601196,0.2890625,0.020411236,0.01439729,1920,847.1882623333335,500.0
37.53577280044556,9.632238,-0.026342321,7808,61,259,0.06926673650741577,0.35351562,0.031859774,0.006562032,1952,847.1882623333335,500.0
38.03062558174133,9.644227,-0.014863106,7936,62,265,0.1813228726387024,0.23046875,0.015967656,0.10504733,1984,847.1882623333335,500.0
38.51430583000183,9.65937,-0.02659801,8064,63,34,-0.1318356990814209,0.22070312,0.014934278,1.2635119,2016,1285.673321,500.0
42.27482223510742,9.664588,-0.019521022,8192,64,251,0.166034996509552,0.12695312,0.011178934,0.044594675,2048,1285.673321,500.0
