policy_loss,policy_entropy,value_loss,explained_variance,nupdates,fps,total_timesteps,ep_reward_mean,ep_len_mean
-0.1988465040922165,4.2568159103393555,15.281930923461914,0.028753697872161865,1,48,0,,
-0.09003040194511414,3.854637622833252,0.014067316427826881,0.4859567880630493,100,110,8019,2841.244342,1001.0
-0.26631900668144226,3.8805508613586426,0.0057000210508704185,0.7020542919635773,200,109,16119,6776.880141999999,1001.0
-0.2100801169872284,3.857673168182373,0.00408623181283474,-1.1383998394012451,300,108,24219,8031.135334299999,1001.0
-0.12621228396892548,3.880117893218994,0.003601622302085161,0.2658379077911377,400,109,32319,8573.354675178573,1001.0
-0.03611547872424126,3.8486990928649902,0.005587251856923103,-0.6931256055831909,500,109,40419,8877.072413138889,1001.0
0.12170396745204926,3.8520922660827637,0.00894808117300272,0.3810570240020752,600,108,48519,9200.570542295456,1001.0
-0.4259902536869049,3.863084316253662,0.004929824732244015,-0.4657597541809082,700,109,56619,9457.377799673077,1001.0
0.01921297237277031,3.8419289588928223,0.004412141628563404,0.02760779857635498,800,109,64719,9690.39761576667,1001.0
-0.16495418548583984,3.7952847480773926,0.0030884130392223597,0.2482336163520813,900,110,72819,9922.72606207353,1001.0
-0.2676985561847687,3.7710423469543457,0.00312465475872159,0.308740496635437,1000,111,80919,10111.748133605264,1001.0
-0.2620868384838104,3.7446036338806152,0.0059584444388747215,-0.1357581615447998,1100,111,89019,10283.67978217857,1001.0
-0.24948057532310486,3.700854778289795,0.002424264792352915,0.3913978338241577,1200,112,97119,10438.278152423913,1001.0
0.049130745232105255,3.648780345916748,0.001294766552746296,-0.06186854839324951,1300,112,105219,10593.57022286,1001.0
-0.10139558464288712,3.6177477836608887,0.006602211389690638,-0.005190491676330566,1400,113,113319,11120.395677369997,1001.0
0.14965075254440308,3.6035351753234863,0.0027762011159211397,0.37379854917526245,1500,113,121419,11359.264623000001,1001.0
0.09473171830177307,3.628754138946533,0.004126208368688822,0.70846226811409,1600,113,129519,11559.573195250001,1001.0
-0.07200370728969574,3.5936825275421143,0.0028290171176195145,0.6389693319797516,1700,113,137619,11805.82314843,1001.0
-0.02625317871570587,3.5560672283172607,0.0006740995449945331,0.738872617483139,1800,113,145719,11984.194271809998,1001.0
0.01834994927048683,3.542755603790283,0.0017012674361467361,0.8551548570394516,1900,113,153819,12155.735070240002,1001.0
-0.1566755771636963,3.5191497802734375,0.001884980476461351,0.6438645124435425,2000,113,161919,12303.716753069999,1001.0
0.23210099339485168,3.4762229919433594,0.001321784919127822,0.8659311085939407,2100,112,170019,12413.032947520001,1001.0
-0.21039928495883942,3.480564594268799,0.0011991460341960192,0.8622355908155441,2200,112,178119,12494.90324775,1001.0
-0.16489127278327942,3.460786819458008,0.0021852466743439436,0.9303791001439095,2300,112,186219,12575.46486998,1001.0
0.17552317678928375,3.461803436279297,0.02758086286485195,0.9315162971615791,2400,112,194319,12649.573785370001,1001.0
-0.21340933442115784,3.455613613128662,0.001785955624654889,0.0026698708534240723,2500,111,202419,12574.23702565,1001.0
0.045951005071401596,3.4494686126708984,0.002501864917576313,-0.5675815343856812,2600,111,210519,12631.022517140002,1001.0
-0.027543023228645325,3.4588379859924316,0.0111453328281641,0.9888282073661685,2700,111,218619,12674.465825610001,1001.0
0.051285967230796814,3.4424872398376465,0.0012043369933962822,-0.5383275747299194,2800,111,226719,12580.17074742,1001.0
-0.12371910363435745,3.4345226287841797,0.0009725160780362785,0.9996646126091946,2900,111,234819,12340.141187569998,1001.0
-0.40360552072525024,3.4363322257995605,0.0004594798665493727,0.9998827039962634,3000,111,242919,11846.980535240002,1001.0
0.09093289077281952,3.4217076301574707,0.0009636146714910865,0.9996328234556131,3100,110,251019,11580.405415560002,1001.0
-0.12100864946842194,3.4136924743652344,0.00017125815793406218,0.9999417059843836,3200,110,259119,11439.61452571,1001.0
0.0976448655128479,3.4240360260009766,0.0041217138059437275,0.9988291293848306,3300,110,267219,11058.807944819999,1001.0
-0.05026906728744507,3.4380602836608887,0.0011575182434171438,0.9995817056042142,3400,110,275319,10793.730153990004,1001.0
0.05892714485526085,3.4573841094970703,0.007832522504031658,0.995617990847677,3500,110,283419,10043.788247130002,1001.0
-0.05673142522573471,3.4629673957824707,0.0008245099452324212,0.9996979193820152,3600,110,291519,9285.71473962,1001.0
-0.33808204531669617,3.4585890769958496,0.0016570069128647447,0.22217553853988647,3700,110,299619,8799.954655200001,1001.0
0.13203418254852295,3.4372124671936035,0.001826541149057448,0.999218124547042,3800,110,307719,8552.93026847,1001.0
-0.12170973420143127,3.429370403289795,0.00363448029384017,0.9979287106543779,3900,110,315819,8319.859211879999,1001.0
0.033051859587430954,3.429839611053467,0.0061812144704163074,0.996089949272573,4000,109,323919,8012.15712332,1001.0
0.03974447026848793,3.453357219696045,0.04396246001124382,0.9654151014983654,4100,109,332019,7448.76944054,1001.0
0.0013525411486625671,3.477077007293701,0.028970077633857727,0.9834515936672688,4200,109,340119,7500.442030489998,1001.0
-0.14651671051979065,3.464733600616455,0.14311692118644714,-0.2323817014694214,4300,109,348219,7778.112554760001,1001.0
-0.1977541595697403,3.4690308570861816,0.007468436844646931,0.9917308045551181,4400,109,356319,8194.88922684,1001.0
-0.27779728174209595,3.447572708129883,0.0468825027346611,0.393706738948822,4500,109,364419,8441.2289876,1001.0
-0.05158808082342148,3.416776657104492,0.00475983927026391,0.9349401965737343,4600,109,372519,9052.697083649999,1001.0
0.15131227672100067,3.4071507453918457,0.04487863555550575,0.6746954619884491,4700,109,380619,9918.904174980002,1001.0
-0.2175949513912201,3.382439136505127,0.028343096375465393,0.9257262051105499,4800,109,388719,11368.69270932,1001.0
0.1038060188293457,3.353588581085205,0.051197826862335205,0.9454739987850189,4900,109,396819,12500.100728270005,1001.0
0.20133700966835022,3.3517441749572754,0.046974651515483856,0.118594229221344,5000,109,404919,13164.766709849997,1001.0
