total_timesteps,value_loss,policy_entropy,nupdates,fps,policy_loss,explained_variance,ep_reward_mean,ep_len_mean
186219,7.675346374511719,9.850396156311035,2300,222,-0.18287906050682068,0.020719408988952637,28592.16957656,1000.0
194319,7.55637264251709,9.859992980957031,2400,222,-0.34393250942230225,0.01855790615081787,30201.974452320006,1000.0
202419,7.045536041259766,9.816696166992188,2500,222,-0.0990493893623352,0.02447611093521118,31539.647820320002,1000.0
210519,7.17593240737915,9.741439819335938,2600,222,-0.2945035696029663,0.015536844730377197,32977.286875050006,1000.0
218619,7.637699127197266,9.685957908630371,2700,223,-0.1568131446838379,-0.0028634071350097656,34463.708328509994,1000.0
226719,7.647388458251953,9.6123628616333,2800,223,-0.1994630992412567,0.021931767463684082,35945.94870164,1000.0
234819,7.902177333831787,9.539626121520996,2900,223,-0.03483617305755615,0.027077972888946533,37213.45339149999,1000.0
242919,7.913468837738037,9.521546363830566,3000,224,0.033379487693309784,0.014763891696929932,38494.50676452999,1000.0
251019,7.323486328125,9.485627174377441,3100,224,0.0637187585234642,-0.0541539192199707,39635.94778183,1000.0
259119,7.588481903076172,9.428842544555664,3200,224,-0.06665828824043274,0.012539446353912354,40766.596522600004,1000.0
267219,7.681544303894043,9.302038192749023,3300,224,-0.1629478633403778,0.013348221778869629,42039.32262077,1000.0
275319,8.183694839477539,9.27072811126709,3400,225,-0.14083907008171082,0.03247785568237305,43130.989277639994,1000.0
283419,8.068150520324707,9.22347354888916,3500,225,0.09685981273651123,-0.015071272850036621,44494.41841369,1000.0
291519,8.27747631072998,9.171319007873535,3600,225,-0.12260393798351288,0.008487343788146973,45684.56216848,1000.0
299619,7.999440670013428,9.099530220031738,3700,226,-0.4414844512939453,0.005207240581512451,47195.14265718,1000.0
307719,7.8548455238342285,9.01099967956543,3800,226,-0.0914614275097847,0.009944617748260498,48787.83196788001,1000.0
315819,7.377896785736084,8.904020309448242,3900,226,-0.34702643752098083,0.0101393461227417,50145.14545636,1000.0
323919,8.487154960632324,8.787566184997559,4000,226,-0.10049839317798615,0.2257171869277954,51809.12589954,1000.0
332019,8.49705696105957,8.702268600463867,4100,226,-0.1773320883512497,0.2107030749320984,53271.89221205,1000.0
340119,8.645240783691406,8.612518310546875,4200,226,-0.11745693534612656,0.17550981044769287,54929.62141691001,1000.0
348219,9.152778625488281,8.458051681518555,4300,226,0.016214273869991302,0.022562921047210693,56826.31110854,1000.0
356319,9.013612747192383,8.30432415008545,4400,227,-0.42803484201431274,-0.008584022521972656,58979.00755995,1000.0
364419,9.993664741516113,8.159125328063965,4500,227,-0.26282307505607605,0.13723480701446533,61427.85522423001,1000.0
372519,10.386594772338867,7.92191219329834,4600,227,-0.1378358006477356,-0.005708098411560059,64558.09743317,1000.0
380619,11.780919075012207,7.750706672668457,4700,227,-0.17092189192771912,0.002424001693725586,68191.4112491,1000.0
388719,12.826169967651367,7.552192687988281,4800,227,0.021600671112537384,-0.010106325149536133,72262.1287023,1000.0
396819,13.485437393188477,7.385683536529541,4900,227,-0.17300741374492645,-0.012342333793640137,76705.07873488,1000.0
404919,13.402295112609863,7.193915367126465,5000,227,0.012800425291061401,-0.014469146728515625,81302.23418757001,1000.0
413019,13.352502822875977,7.062880516052246,5100,227,-0.28461146354675293,0.0055002570152282715,86064.58733262,1000.0
421119,13.015149116516113,6.854321479797363,5200,227,0.006265193223953247,-0.0017230510711669922,90858.64119298,1000.0
429219,12.160980224609375,6.702313423156738,5300,227,-0.32054969668388367,-0.011771082878112793,95729.61339386,1000.0
437319,11.615434646606445,6.566023826599121,5400,227,-0.5169681906700134,-0.018792152404785156,100602.38176896,1000.0
445419,10.779464721679688,6.516167640686035,5500,228,-0.3283250033855438,-0.0033415555953979492,104982.32642927997,1000.0
453519,9.992571830749512,6.431879997253418,5600,228,0.1551988422870636,-0.03818869590759277,109046.67889317,1000.0
461619,9.59117603302002,6.304210662841797,5700,228,-0.20579208433628082,0.0006722807884216309,112842.80648543,1000.0
469719,9.267373085021973,6.224470615386963,5800,228,0.06265148520469666,0.0011956095695495605,115859.46256236001,1000.0
477819,8.874135971069336,6.209571838378906,5900,228,-0.10205574333667755,-0.023816704750061035,118601.11294533,1000.0
485919,8.484642028808594,6.135134696960449,6000,228,0.01230078935623169,-0.03349161148071289,120458.84458027,1000.0
494019,8.240530014038086,6.152988910675049,6100,228,0.33892589807510376,-0.007399916648864746,121974.27138206002,1000.0
502119,8.011579513549805,6.120846748352051,6200,228,-0.07090726494789124,-0.0033800601959228516,122986.35505443,1000.0
