total_timesteps,value_loss,policy_entropy,nupdates,fps,policy_loss,explained_variance,ep_reward_mean,ep_len_mean
0,13.925497055053711,9.932570457458496,1,81,0.041579633951187134,0.014899730682373047,,
8019,4.181695461273193,10.562211036682129,100,235,-0.06925056874752045,-0.2787909507751465,361.30935362499997,1000.0
16119,4.876021862030029,10.555489540100098,200,242,-0.14216074347496033,-0.007712364196777344,606.6695161875,1000.0
24219,10.88884162902832,10.478394508361816,300,239,0.13474494218826294,-0.0564345121383667,1796.2906712083332,1000.0
32319,7.327497959136963,10.453476905822754,400,236,0.2961885929107666,0.07318216562271118,2711.20336815625,1000.0
40419,6.604857444763184,10.404829978942871,500,236,-0.09548585116863251,-0.015979528427124023,3645.1500486749997,1000.0
48519,6.43304967880249,10.38488483428955,600,235,-0.18541501462459564,-0.15503370761871338,4554.014847708334,1000.0
56619,6.564959526062012,10.357627868652344,700,232,-0.12233230471611023,0.04353302717208862,5462.940146107144,1000.0
64719,6.866681098937988,10.343050956726074,800,229,-0.11048750579357147,0.03934800624847412,6367.376929296875,1000.0
72819,7.466053009033203,10.313554763793945,900,227,-0.18691979348659515,0.2157270312309265,7195.367489791666,1000.0
80919,7.148807525634766,10.286023139953613,1000,224,-0.13809192180633545,0.13837915658950806,8135.602309262499,1000.0
89019,6.999634742736816,10.258309364318848,1100,222,-0.4205169379711151,-0.15002918243408203,8863.773522420455,1000.0
97119,7.761488437652588,10.256380081176758,1200,221,-0.32212087512016296,0.02193373441696167,9676.910894260416,1000.0
105219,8.903566360473633,10.207544326782227,1300,221,-0.38747990131378174,0.07071751356124878,11087.64124632,1000.0
113319,8.515801429748535,10.14721393585205,1400,220,-0.20602406561374664,0.03508836030960083,12896.11693109,1000.0
121419,7.4155683517456055,10.075211524963379,1500,220,-0.11417365074157715,0.040151894092559814,14649.284030289997,1000.0
129519,8.066156387329102,10.056297302246094,1600,220,-0.5875072479248047,0.008762240409851074,16305.158991060001,1000.0
137619,8.034140586853027,10.024046897888184,1700,220,0.013501808047294617,-0.004011988639831543,18129.77364289,1000.0
145719,8.806437492370605,9.98758602142334,1800,221,0.005979128181934357,0.002394378185272217,19931.550286039997,1000.0
153819,8.476434707641602,9.95295524597168,1900,221,-0.2990519404411316,-0.006999850273132324,21823.85185871,1000.0
161919,8.463619232177734,9.905123710632324,2000,221,-0.059630680829286575,0.025622308254241943,23567.044187429994,1000.0
170019,8.161779403686523,9.86987018585205,2100,222,-0.1970967948436737,0.03564685583114624,25283.762481830003,1000.0
178119,8.616228103637695,9.833442687988281,2200,222,-0.30834195017814636,0.02459394931793213,27063.787082870007,1000.0
