explained_variance,nupdates,total_timesteps,policy_loss,value_loss,policy_entropy,fps,ep_len_mean,ep_reward_mean
-0.4490492343902588,1,0,-0.3402489423751831,1.8510757684707642,9.932570457458496,72,,
-0.43604016304016113,100,8019,0.07286892831325531,1.4148790836334229,9.693338394165039,227,1000.0,425.841595125
0.04338198900222778,200,16119,-0.40931248664855957,1.5401725769042969,9.713583946228027,236,1000.0,440.4138170625
-0.0340116024017334,300,24219,-0.49917691946029663,8.092548370361328,9.642754554748535,239,1000.0,1032.0281785416666
-0.04959917068481445,400,32319,-0.37353524565696716,7.454321384429932,9.597503662109375,243,1000.0,1758.0440179375
0.03742927312850952,500,40419,-0.1408654749393463,8.534674644470215,9.481926918029785,246,1000.0,2909.6078977999996
0.012310445308685303,600,48519,-0.31289464235305786,8.599863052368164,9.318389892578125,248,1000.0,4232.872072333334
-0.013660669326782227,700,56619,0.06016768515110016,8.318395614624023,9.174345970153809,250,1000.0,5477.211413964286
0.0020394325256347656,800,64719,-0.0586651936173439,7.355595588684082,9.083168029785156,251,1000.0,6462.729828109375
-0.0069773197174072266,900,72819,-0.3466927707195282,6.37833309173584,8.994058609008789,252,1000.0,7287.370613166668
-0.005143165588378906,1000,80919,-0.2214049994945526,5.823395729064941,8.858948707580566,252,1000.0,7995.21298865
-0.0033942461013793945,1100,89019,0.2575262486934662,5.628966331481934,8.736801147460938,253,1000.0,8598.22738934091
0.004163861274719238,1200,97119,-0.25393229722976685,5.568429470062256,8.644386291503906,253,1000.0,9130.70793334375
-0.008710741996765137,1300,105219,0.4604920744895935,5.425784111022949,8.564043045043945,253,1000.0,9944.1675924
-0.004743456840515137,1400,113319,-0.3303091526031494,5.36941385269165,8.463140487670898,253,1000.0,11102.586628449999
2.390146255493164e-05,1500,121419,-0.05370042845606804,5.315208435058594,8.386972427368164,253,1000.0,12227.323488140002
0.004582345485687256,1600,129519,-0.6389965415000916,5.290674686431885,8.28853702545166,253,1000.0,13200.43810453
0.02183431386947632,1700,137619,-0.24437296390533447,5.380107879638672,8.206972122192383,253,1000.0,13980.37056256
-0.0016055107116699219,1800,145719,-0.04547644406557083,5.4278106689453125,8.219948768615723,254,1000.0,14491.430670599999
-0.000803828239440918,1900,153819,-0.08950942754745483,5.5143208503723145,8.1936616897583,254,1000.0,14744.101237289999
-0.0017867088317871094,2000,161919,-0.22118183970451355,5.566037178039551,8.163643836975098,254,1000.0,14920.439642340001
-0.005459904670715332,2100,170019,-0.18198910355567932,5.685087203979492,8.092652320861816,254,1000.0,15073.88114935
-0.00637209415435791,2200,178119,-0.10672552138566971,5.717121124267578,8.068511009216309,254,1000.0,15202.019378820001
-0.0030906200408935547,2300,186219,-0.612914502620697,5.852376937866211,8.069503784179688,254,1000.0,15294.508718479998
0.0015215873718261719,2400,194319,-0.15571185946464539,5.921470642089844,8.015679359436035,254,1000.0,15369.553766689998
-0.0009756088256835938,2500,202419,-0.24834522604942322,5.9409589767456055,8.008222579956055,254,1000.0,15414.719829820002
0.000690758228302002,2600,210519,0.049675263464450836,6.039650917053223,7.975226402282715,254,1000.0,15483.394254359999
0.002007901668548584,2700,218619,-0.045230716466903687,6.218303680419922,7.935066223144531,254,1000.0,15551.561526250001
0.0033220648765563965,2800,226719,-0.5609780550003052,6.318775177001953,7.916415214538574,254,1000.0,15599.07713898
0.006682872772216797,2900,234819,-0.3089387118816376,6.435264587402344,7.985804557800293,254,1000.0,15640.067303469998
-0.004183053970336914,3000,242919,0.11102590709924698,6.4248948097229,7.965817451477051,254,1000.0,15669.065670329997
-0.00212860107421875,3100,251019,0.20215332508087158,6.504303932189941,7.992476463317871,254,1000.0,15692.854127020002
-0.0008546113967895508,3200,259119,0.4685293436050415,6.552000999450684,8.003460884094238,254,1000.0,15711.42146823
0.0006080865859985352,3300,267219,-0.1829066127538681,6.622952461242676,8.025315284729004,254,1000.0,15736.170866679999
0.0014179348945617676,3400,275319,-0.39780673384666443,6.809877872467041,8.03050422668457,254,1000.0,15735.534874450002
0.00027811527252197266,3500,283419,-0.392656147480011,6.811290740966797,8.070968627929688,254,1000.0,15741.5089142
-0.004104495048522949,3600,291519,0.04981435835361481,6.955561637878418,8.088241577148438,254,1000.0,15750.44967545
-0.005720376968383789,3700,299619,-0.18214412033557892,6.962258815765381,8.152249336242676,254,1000.0,15764.97630411
0.019416451454162598,3800,307719,-0.29530012607574463,7.043018341064453,8.206748962402344,254,1000.0,15760.074783150001
0.008844912052154541,3900,315819,-0.015894778072834015,7.0463433265686035,8.210030555725098,254,1000.0,15749.200877669999
-0.0009140968322753906,4000,323919,-0.29580217599868774,7.122037410736084,8.238935470581055,254,1000.0,15746.649205229996
0.0021143555641174316,4100,332019,0.015736274421215057,7.299120903015137,8.251921653747559,254,1000.0,15739.768807409999
0.01105278730392456,4200,340119,-0.3586429953575134,7.285182952880859,8.222540855407715,255,1000.0,15729.03845102
0.005456268787384033,4300,348219,0.026400119066238403,7.459856986999512,8.23927116394043,255,1000.0,15731.47394465
0.01240396499633789,4400,356319,-0.16777701675891876,7.446406364440918,8.280549049377441,255,1000.0,15719.518333140002
-0.014577507972717285,4500,364419,0.04403913766145706,7.460362911224365,8.283483505249023,255,1000.0,15717.810212509998
0.0012775063514709473,4600,372519,0.1596614569425583,7.43527364730835,8.322373390197754,255,1000.0,15704.19782352
0.0008933544158935547,4700,380619,-0.04351971298456192,7.514836311340332,8.357460975646973,255,1000.0,15717.30639736
0.0012075304985046387,4800,388719,-0.11187730729579926,7.520544528961182,8.406859397888184,255,1000.0,15723.170053660004
-0.017835497856140137,4900,396819,0.24078579246997833,7.701211452484131,8.417346000671387,255,1000.0,15721.184587980002
-0.011419415473937988,5000,404919,0.17907240986824036,7.683114051818848,8.451929092407227,255,1000.0,15724.341287580002
-0.0063561201095581055,5100,413019,-0.2520941197872162,7.669175148010254,8.461862564086914,255,1000.0,15737.04228268
0.0023460984230041504,5200,421119,0.11246494948863983,7.726020812988281,8.492255210876465,255,1000.0,15747.200217479998
-0.0007162094116210938,5300,429219,-0.24319344758987427,7.765399932861328,8.458907127380371,255,1000.0,15754.77176124
0.0056771039962768555,5400,437319,-0.46025824546813965,7.735733985900879,8.478364944458008,255,1000.0,15768.291706629998
-0.0025228261947631836,5500,445419,0.11503724753856659,7.67849588394165,8.461748123168945,255,1000.0,15755.272616189997
-0.00011229515075683594,5600,453519,-0.20200201869010925,7.5953049659729,8.475702285766602,255,1000.0,15754.932595900002
-0.00011801719665527344,5700,461619,0.0649537518620491,7.512232303619385,8.478575706481934,255,1000.0,15769.125387290002
0.0003160238265991211,5800,469719,0.25517570972442627,7.4532928466796875,8.500282287597656,255,1000.0,15788.19314512
9.429454803466797e-05,5900,477819,-0.10487744957208633,7.399603366851807,8.510239601135254,255,1000.0,15787.767674779996
0.0006023049354553223,6000,485919,0.01913870871067047,7.355746269226074,8.539870262145996,255,1000.0,15784.32561669
-0.004439353942871094,6100,494019,0.10826084762811661,7.323875427246094,8.547585487365723,255,1000.0,15780.190407150001
0.0017255544662475586,6200,502119,-0.226557195186615,7.302659511566162,8.547804832458496,255,1000.0,15791.602268659999
