explained_variance,value_loss,policy_entropy,nupdates,total_timesteps,fps,policy_loss,ep_len_mean,ep_reward_mean
-0.029901742935180664,19.36565589904785,4.2568159103393555,1,0,55,0.2054450958967209,,
-0.37463080883026123,0.0230752844363451,4.2489094734191895,100,8019,117,-0.14107179641723633,1001.0,1596.30130625
-0.1381065845489502,0.01293965708464384,4.193596839904785,200,16119,115,0.02732827700674534,1001.0,5172.47908075
0.16149908304214478,0.007475408725440502,4.158683776855469,300,24219,115,-0.10014195740222931,1001.0,6607.825204350001
-0.19999146461486816,0.01361402589827776,4.121578693389893,400,32319,115,0.08418869972229004,1001.0,7453.82764667857
-0.1006392240524292,0.012443414889276028,4.079405307769775,500,40419,115,0.014466727152466774,1001.0,8003.8860802222225
0.1176348328590393,0.013162295334041119,4.041182994842529,600,48519,115,-3.051757857974735e-06,1001.0,8402.504023886364
-0.32515573501586914,0.014039600268006325,4.026183605194092,700,56619,114,0.0423714742064476,1001.0,8759.239218673076
0.23688393831253052,0.013294162228703499,4.013961315155029,800,64719,114,-0.13526785373687744,1001.0,9042.49843895
-0.02235722541809082,0.012260879389941692,3.980321168899536,900,72819,114,-0.37444090843200684,1001.0,9302.619821749999
0.012297868728637695,0.014601340517401695,3.955289125442505,1000,80919,114,-0.1070445328950882,1001.0,9529.398977092107
-0.2240079641342163,0.010084773413836956,3.938941478729248,1100,89019,114,-0.2729412615299225,1001.0,9733.136821821428
0.06886518001556396,0.008884819224476814,3.915252208709717,1200,97119,114,-0.07521869242191315,1001.0,9913.443780836955
-0.07326972484588623,0.0034197636414319277,3.8862147331237793,1300,105219,114,-0.37585946917533875,1001.0,10074.4178587
0.2860919237136841,0.005170220043510199,3.859279155731201,1400,113319,114,0.05218140408396721,1001.0,10716.801348380002
0.37971925735473633,0.002456375863403082,3.802861452102661,1500,121419,114,0.04289041832089424,1001.0,11046.2744727
0.10191911458969116,0.007109494414180517,3.767368793487549,1600,129519,115,0.013165402226150036,1001.0,11284.965052680001
