nupdates,total_timesteps,policy_loss,value_loss,explained_variance,policy_entropy,fps,ep_reward_mean,ep_len_mean
2300,324159,-0.071897953748703,1561.66748046875,0.0,10.95512866973877,284,6801.21324907,1000.0
2400,338259,-0.27506327629089355,1506.099609375,5.960464477539063e-08,10.958531379699707,284,6872.577130179999,1000.0
2500,352359,-0.06930103898048401,1545.581787109375,-1.1920928955078125e-07,10.962773323059082,285,6943.256477589999,1000.0
2600,366459,-0.04089920222759247,1540.9290771484375,0.0,10.965971946716309,285,7028.419628509999,1000.0
2700,380559,-0.2737201154232025,1574.62109375,0.0,10.968290328979492,285,7085.854426529999,1000.0
2800,394659,-0.3547011911869049,1609.8116455078125,0.0,10.973484992980957,285,7099.210535669999,1000.0
2900,408759,-0.28143197298049927,1639.3895263671875,0.0,10.971817016601562,286,7142.567976620001,1000.0
3000,422859,-0.16496753692626953,1674.0982666015625,0.0,10.974930763244629,286,7140.64620155,1000.0
3100,436959,0.019273944199085236,1733.2060546875,0.0,10.97776985168457,286,7154.87756083,1000.0
3200,451059,-0.1778593212366104,1817.4437255859375,0.0,10.982365608215332,286,7169.7304437699995,1000.0
3300,465159,0.25351834297180176,1887.54638671875,0.0,10.986222267150879,286,7180.132081040001,1000.0
3400,479259,0.008573934435844421,1973.1334228515625,0.0,10.994791984558105,285,7197.136916289999,1000.0
3500,493359,-0.013246580958366394,2082.557373046875,5.960464477539063e-08,10.997471809387207,286,7175.54763735,1000.0
3600,507459,-0.18548406660556793,2251.748046875,0.0,10.998655319213867,286,7185.8955547000005,1000.0
3700,521559,0.017407670617103577,2283.67919921875,0.0,11.000717163085938,286,7214.61375537,1000.0
3800,535659,-0.11817745864391327,2378.2763671875,-1.1920928955078125e-07,11.006332397460938,286,7226.999786079999,1000.0
3900,549759,0.14810067415237427,2501.486328125,0.0,11.010941505432129,286,7220.756303940001,1000.0
4000,563859,-0.20213942229747772,2617.375244140625,5.960464477539063e-08,11.018402099609375,286,7221.02620942,1000.0
4100,577959,-0.10058410465717316,2768.8349609375,0.0,11.023757934570312,286,7214.46521088,1000.0
4200,592059,-0.17186984419822693,3010.674560546875,0.0,11.025284767150879,286,7269.2358937300005,1000.0
4300,606159,-0.06536932289600372,3146.767333984375,0.0,11.029038429260254,286,7276.979103250001,1000.0
4400,620259,0.0890754908323288,3316.4970703125,0.0,11.031511306762695,286,7281.843402269999,1000.0
4500,634359,-0.06887844204902649,3473.944091796875,-1.1920928955078125e-07,11.0362548828125,286,7283.712499039999,1000.0
4600,648459,-0.166441410779953,3641.676025390625,-1.1920928955078125e-07,11.039778709411621,286,7301.954652669999,1000.0
4700,662559,-0.03958874195814133,3897.4375,0.0,11.041718482971191,286,7310.876967969999,1000.0
4800,676659,0.05136428773403168,4029.412841796875,5.960464477539063e-08,11.048111915588379,286,7310.86189462,1000.0
4900,690759,0.04890581965446472,4299.68505859375,-1.1920928955078125e-07,11.053980827331543,287,7317.338874279999,1000.0
5000,704859,-0.26197490096092224,4483.5654296875,0.0,11.059687614440918,287,7323.75719573,1000.0
5100,718959,-0.30710065364837646,4801.939453125,0.0,11.063115119934082,287,7328.934606960001,1000.0
5200,733059,0.14891915023326874,4940.93359375,0.0,11.069106101989746,287,7334.7732403499995,1000.0
5300,747159,-0.12339004129171371,5278.65380859375,1.7881393432617188e-07,11.076004028320312,287,7341.30824022,1000.0
5400,761259,-0.0036262422800064087,5449.79541015625,-1.1920928955078125e-07,11.08521556854248,287,7341.315148740001,1000.0
5500,775359,-0.2916812598705292,5825.64599609375,5.960464477539063e-08,11.09026050567627,287,7348.4732505,1000.0
5600,789459,-0.08377216756343842,6035.82470703125,0.0,11.09649658203125,287,7362.74557887,1000.0
5700,803559,0.06788580864667892,6326.68505859375,0.0,11.102872848510742,287,7365.46229655,1000.0
5800,817659,-0.38510388135910034,6586.96240234375,0.0,11.108063697814941,287,7366.872010800002,1000.0
5900,831759,-0.21228092908859253,6915.72119140625,5.960464477539063e-08,11.110438346862793,287,7363.770323719999,1000.0
6000,845859,-0.16241349279880524,7180.6171875,0.0,11.11316967010498,287,7366.653493219999,1000.0
6100,859959,-0.1450294852256775,7561.41064453125,-1.1920928955078125e-07,11.119751930236816,287,7368.509743809998,1000.0
6200,874059,0.08222360908985138,7919.8017578125,0.0,11.123489379882812,287,7369.722680929999,1000.0
6300,888159,-0.17481295764446259,8249.650390625,0.0,11.129460334777832,287,7376.665829449999,1000.0
6400,902259,-0.22430157661437988,8586.5029296875,0.0,11.133710861206055,287,7372.64860734,1000.0
6500,916359,-0.16343244910240173,8850.1064453125,0.0,11.137145042419434,287,7373.9273610400005,1000.0
6600,930459,-0.030866533517837524,9317.9833984375,0.0,11.143925666809082,287,7381.79881688,1000.0
6700,944559,-0.4528469443321228,9627.8359375,0.0,11.149638175964355,288,7381.831458470001,1000.0
6800,958659,-0.41594070196151733,10017.2314453125,5.960464477539063e-08,11.153532028198242,287,7386.494772069999,1000.0
6900,972759,-0.06771956384181976,10391.822265625,5.960464477539063e-08,11.157441139221191,288,7383.492609310001,1000.0
7000,986859,-0.26684698462486267,10879.7392578125,0.0,11.164896965026855,288,7384.38779501,1000.0
7100,1000959,-0.13284574449062347,11217.169921875,0.0,11.168028831481934,288,7392.332623550002,1000.0
7200,1015059,-0.02169939875602722,11634.7705078125,0.0,11.175618171691895,288,7395.98462912,1000.0
7300,1029159,-0.006122574210166931,12038.181640625,0.0,11.180323600769043,288,7397.573042289999,1000.0
7400,1043259,-0.3377732038497925,12462.9462890625,0.0,11.187626838684082,288,7394.93632859,1000.0
7500,1057359,-0.18834200501441956,12955.720703125,0.0,11.194779396057129,288,7401.517662889999,1000.0
7600,1071459,-0.13670305907726288,13323.5869140625,0.0,11.201325416564941,288,7403.783779219999,1000.0
7700,1085559,-0.06793856620788574,13875.064453125,0.0,11.20862865447998,288,7404.8064729,1000.0
7800,1099659,0.012279748916625977,14462.7294921875,0.0,11.213578224182129,288,7401.795006769998,1000.0
7900,1113759,-0.3149949312210083,14738.5166015625,0.0,11.220765113830566,288,7333.494751059999,1000.0
8000,1127859,0.11490915715694427,15211.1201171875,-1.1920928955078125e-07,11.228606224060059,288,7333.287141019999,1000.0
8100,1141959,0.025014683604240417,15783.359375,0.0,11.23186206817627,288,7338.357930019998,1000.0
8200,1156059,-0.148827463388443,16198.8056640625,0.0,11.234553337097168,288,7315.246420479999,1000.0
8300,1170159,-0.028707236051559448,16759.04296875,0.0,11.238387107849121,288,7320.577049600001,1000.0
8400,1184259,-0.22957655787467957,17270.130859375,5.960464477539063e-08,11.243483543395996,288,7319.849757410001,1000.0
8500,1198359,-0.09400803595781326,17915.546875,0.0,11.249144554138184,288,7315.84211811,1000.0
8600,1212459,0.13001735508441925,18344.232421875,-1.1920928955078125e-07,11.256861686706543,288,7384.787909540001,1000.0
8700,1226559,0.14657166600227356,18844.3828125,0.0,11.263289451599121,288,7362.537606279999,1000.0
8800,1240659,-0.1313549131155014,19436.57421875,5.960464477539063e-08,11.270491600036621,288,7359.937906430002,1000.0
8900,1254759,0.05657758563756943,20004.580078125,0.0,11.272831916809082,288,7377.118906420002,1000.0
9000,1268859,0.05852986127138138,20623.427734375,-1.1920928955078125e-07,11.281081199645996,288,7357.280621460001,1000.0
9100,1282959,-0.2379113733768463,21150.0859375,0.0,11.287137985229492,288,7360.4813430799995,1000.0
9200,1297059,0.09854684770107269,21834.359375,0.0,11.295125007629395,288,7362.17395707,1000.0
9300,1311159,-0.49054190516471863,22369.447265625,0.0,11.299925804138184,288,7349.77164536,1000.0
9400,1325259,-0.20158782601356506,22943.1640625,0.0,11.306107521057129,288,7355.348223499999,1000.0
9500,1339359,-0.15436729788780212,23651.91015625,1.7881393432617188e-07,11.31024169921875,288,7369.318453919999,1000.0
9600,1353459,-0.2001139223575592,24248.92578125,0.0,11.31779670715332,289,7376.61565316,1000.0
9700,1367559,0.059686124324798584,24849.783203125,5.960464477539063e-08,11.322418212890625,289,7395.683565869998,1000.0
9800,1381659,0.14984378218650818,25471.82421875,0.0,11.333125114440918,289,7391.546310269999,1000.0
9900,1395759,-0.08109612762928009,26084.94921875,0.0,11.340195655822754,289,7391.294470259999,1000.0
10000,1409859,0.10448835045099258,27132.53125,0.0,11.345789909362793,289,7411.859022489999,1000.0
10100,1423959,-0.24639399349689484,27502.533203125,1.7881393432617188e-07,11.352707862854004,289,7407.97218245,1000.0
10200,1438059,-0.04202301800251007,28098.0390625,0.0,11.359055519104004,289,7403.0567828700005,1000.0
10300,1452159,-0.39455339312553406,28710.83984375,0.0,11.363429069519043,289,7386.82274155,1000.0
10400,1466259,-0.27564290165901184,29764.296875,-1.1920928955078125e-07,11.371830940246582,289,7386.20067826,1000.0
10500,1480359,-0.29380160570144653,30338.05078125,0.0,11.381851196289062,289,7376.805613649998,1000.0
10600,1494459,-0.22022676467895508,30857.509765625,1.7881393432617188e-07,11.389042854309082,289,7378.14932954,1000.0
10700,1508559,-0.0091172456741333,31837.681640625,1.7881393432617188e-07,11.395902633666992,289,7366.347151830001,1000.0
10800,1522659,-0.2165253460407257,32462.279296875,5.960464477539063e-08,11.404129981994629,290,7361.95177152,1000.0
10900,1536759,-1.8715858459472656e-05,32979.15625,0.0,11.411396980285645,290,7356.47567624,1000.0
11000,1550859,-0.26294460892677307,33725.03515625,0.0,11.419251441955566,290,7368.165992739998,1000.0
11100,1564959,0.10083536803722382,34637.7578125,1.7881393432617188e-07,11.420628547668457,290,7373.88828337,1000.0
11200,1579059,-0.18455283343791962,35251.30078125,0.0,11.42499828338623,290,7386.419791819999,1000.0
11300,1593159,-0.19468188285827637,36062.55859375,0.0,11.427183151245117,290,7383.50796253,1000.0
11400,1607259,-0.19976305961608887,36854.08984375,5.960464477539063e-08,11.433577537536621,290,7397.246202939999,1000.0
11500,1621359,0.005772121250629425,37618.70703125,1.7881393432617188e-07,11.437678337097168,290,7384.75244555,1000.0
11600,1635459,-0.25806233286857605,38478.4453125,0.0,11.444001197814941,290,7400.899832340002,1000.0
11700,1649559,-0.10521141439676285,39200.80859375,5.960464477539063e-08,11.443511009216309,290,7389.55006985,1000.0
11800,1663659,-0.24630028009414673,40221.53515625,0.0,11.446075439453125,290,7393.4477347699985,1000.0
11900,1677759,-0.3566094934940338,41055.80859375,0.0,11.454728126525879,290,7396.583537759999,1000.0
12000,1691859,-0.21351848542690277,41661.75390625,0.0,11.459870338439941,290,7404.007946369999,1000.0
12100,1705959,-0.2554398477077484,42542.59765625,0.0,11.469462394714355,290,7404.40073967,1000.0
12200,1720059,0.19708964228630066,43443.0078125,-1.1920928955078125e-07,11.473658561706543,290,7417.49198841,1000.0
12300,1734159,-0.061685144901275635,44341.1328125,-1.1920928955078125e-07,11.480240821838379,290,7436.226041750001,1000.0
12400,1748259,-0.09696824103593826,45255.60546875,0.0,11.491835594177246,290,7444.4412426,1000.0
12500,1762359,-0.3266710042953491,46071.50390625,0.0,11.501160621643066,290,7452.2351561899995,1000.0
12600,1776459,-0.09170277416706085,47022.0390625,0.0,11.512349128723145,290,7452.38652571,1000.0
12700,1790559,-0.13187745213508606,47832.6171875,-1.1920928955078125e-07,11.523253440856934,290,7454.235333219999,1000.0
12800,1804659,-0.11626774817705154,48871.78125,1.7881393432617188e-07,11.531157493591309,290,7454.31766321,1000.0
12900,1818759,-0.20741388201713562,49721.65625,0.0,11.536067008972168,290,7456.4653601,1000.0
13000,1832859,0.13093553483486176,50817.8828125,0.0,11.537739753723145,290,7451.56857803,1000.0
13100,1846959,-0.1396711766719818,51397.2421875,0.0,11.54127025604248,290,7452.324065170001,1000.0
13200,1861059,0.013249598443508148,52684.46484375,0.0,11.548952102661133,291,7454.476483259999,1000.0
13300,1875159,-0.10948406159877777,53347.8203125,0.0,11.556300163269043,291,7458.3153370400005,1000.0
13400,1889259,-0.2004374861717224,54376.625,0.0,11.560053825378418,291,7455.23959449,1000.0
13500,1903359,-0.05628703534603119,55420.14453125,0.0,11.566487312316895,291,7456.0603811500005,1000.0
13600,1917459,-0.21369588375091553,56285.21484375,-1.1920928955078125e-07,11.569487571716309,291,7457.169628420001,1000.0
13700,1931559,0.04544663429260254,57213.38671875,-1.1920928955078125e-07,11.577195167541504,291,7461.44564444,1000.0
13800,1945659,-0.028077468276023865,58210.14453125,5.960464477539063e-08,11.583479881286621,291,7461.8885731400005,1000.0
13900,1959759,-0.18492284417152405,59129.16015625,-1.1920928955078125e-07,11.592024803161621,291,7463.02193849,1000.0
14000,1973859,-0.11656860262155533,60108.45703125,-1.1920928955078125e-07,11.600373268127441,291,7464.11950478,1000.0
14100,1987959,-0.0980161726474762,61143.77734375,0.0,11.60582447052002,291,7468.020443640001,1000.0
14200,2002059,-0.14168024063110352,62084.94921875,5.960464477539063e-08,11.613815307617188,291,7472.92056835,1000.0
