nupdates,total_timesteps,policy_loss,value_loss,explained_variance,policy_entropy,fps,ep_reward_mean,ep_len_mean
1,0,-0.021393589675426483,0.6573302149772644,-1.4849927425384521,9.932570457458496,112,,
100,13959,0.008235052227973938,0.04568789526820183,0.21844184398651123,10.606657981872559,236,5.830979928571429,1000.0
200,28059,-0.1800307333469391,1.2631587982177734,-0.026390790939331055,10.651933670043945,248,10.794871714285716,1000.0
300,42159,0.19737574458122253,5.0984697341918945,0.09248405694961548,10.733489036560059,256,16.665313785714282,1000.0
400,56259,0.13959433138370514,74.01221466064453,0.16320788860321045,10.823119163513184,263,37.58905575,1000.0
500,70359,-0.37485331296920776,153.1508026123047,0.00021946430206298828,10.859065055847168,268,93.60551325714285,1000.0
600,84459,-0.07797810435295105,399.2193908691406,0.00018709897994995117,10.860230445861816,271,178.93611928571426,1000.0
700,98559,-0.11614078283309937,1894.3131103515625,1.6510486602783203e-05,10.869776725769043,273,455.59431373469386,1000.0
800,112659,0.07080785930156708,1446.8404541015625,9.059906005859375e-06,10.874302864074707,274,1141.3701508799998,1000.0
900,126759,-0.39481157064437866,2059.22119140625,0.0,10.879633903503418,276,2002.89175296,1000.0
1000,140859,-0.12346918880939484,1890.051513671875,0.0,10.883317947387695,277,2879.4934651999993,1000.0
1100,154959,-0.20297159254550934,1951.156494140625,0.0,10.886350631713867,278,3771.0198236899996,1000.0
1200,169059,-0.1394536793231964,1725.7264404296875,0.0,10.888946533203125,279,4650.444840609999,1000.0
1300,183159,0.03975692391395569,1635.730224609375,0.0,10.893895149230957,279,5465.4496927499995,1000.0
1400,197259,-0.21990251541137695,1841.4801025390625,0.0,10.896072387695312,280,6182.557613299999,1000.0
1500,211359,-0.3206171989440918,1787.1021728515625,5.960464477539063e-08,10.902009963989258,280,6384.109794209999,1000.0
1600,225459,-0.1030256599187851,1424.72412109375,0.0,10.90626335144043,281,6492.582747459998,1000.0
1700,239559,0.1362965703010559,1463.3770751953125,0.0,10.91328239440918,281,6545.89332539,1000.0
1800,253659,-0.5565874576568604,1474.225830078125,0.0,10.922938346862793,282,6568.549682239999,1000.0
1900,267759,-0.33816325664520264,1539.439453125,0.0,10.922971725463867,282,6563.256376769999,1000.0
2000,281859,0.14643517136573792,1284.7838134765625,0.0,10.925430297851562,283,6644.400321849999,1000.0
2100,295959,-0.07405911386013031,1399.525634765625,0.0,10.942244529724121,283,6698.2362442,1000.0
2200,310059,-0.20677748322486877,1481.6700439453125,0.0,10.945618629455566,284,6733.7498007899985,1000.0
