fps,policy_entropy,total_timesteps,explained_variance,nupdates,policy_loss,value_loss,ep_reward_mean,ep_len_mean
110,9.932570457458496,0,-0.008022665977478027,1,-0.2028149515390396,104.65157318115234,,
259,9.798253059387207,13959,-4.0507049560546875,100,-0.35331806540489197,246.44686889648438,653.5085597857143,1000.0
259,9.820801734924316,28059,-0.45185112953186035,200,-0.10540828853845596,333.56048583984375,724.9947447499999,1000.0
258,9.824655532836914,42159,0.04583340883255005,300,0.04633007198572159,450.39141845703125,780.7852156666668,1000.0
257,9.823756217956543,56259,0.4150417447090149,400,-0.22992932796478271,424.54241943359375,775.1071073035715,1000.0
258,9.840133666992188,70359,0.03453683853149414,500,-0.15783283114433289,753.3862915039062,801.2510782714287,1000.0
259,9.845160484313965,84459,0.05007648468017578,600,0.05848129093647003,496.3975524902344,868.1143458571429,1000.0
259,9.849696159362793,98559,0.03756946325302124,700,0.01892372965812683,1690.599365234375,1017.3264355102041,1000.0
259,9.862090110778809,112659,0.05500572919845581,800,0.16037240624427795,1114.4698486328125,1106.59068002,1000.0
260,9.867192268371582,126759,0.24924355745315552,900,-0.24117997288703918,1009.7120361328125,1291.96875102,1000.0
261,9.867646217346191,140859,0.09278655052185059,1000,-0.03789396956562996,1515.700927734375,1483.05481719,1000.0
261,9.875253677368164,154959,0.0838707685470581,1100,-0.07013238966464996,1582.767822265625,1692.0897190900002,1000.0
262,9.882542610168457,169059,0.05039185285568237,1200,0.05463486909866333,1829.5115966796875,1873.27267843,1000.0
262,9.885462760925293,183159,0.07815790176391602,1300,0.077727310359478,1736.31201171875,2031.30194763,1000.0
263,9.892487525939941,197259,0.016310811042785645,1400,-0.08608870208263397,13124.9013671875,2132.36524761,1000.0
263,9.893233299255371,211359,0.20821499824523926,1500,-0.18118035793304443,1376.4544677734375,2377.88005501,1000.0
264,9.897653579711914,225459,0.2084352970123291,1600,-0.19001632928848267,2008.779052734375,2492.71269433,1000.0
264,9.903641700744629,239559,0.18839329481124878,1700,-0.1951054334640503,2066.0888671875,2610.5977780700005,1000.0
265,9.909510612487793,253659,0.10624092817306519,1800,-0.10107983648777008,2798.32958984375,2695.9077975800005,1000.0
265,9.91724967956543,267759,0.2657490372657776,1900,-0.007777556777000427,3032.005859375,2865.42454416,1000.0
266,9.916722297668457,281859,0.29483431577682495,2000,-0.12990397214889526,2311.166259765625,3004.9770829800004,1000.0
