policy_entropy,explained_variance,value_loss,fps,policy_loss,total_timesteps,nupdates,ep_len_mean,ep_reward_mean
4.2568159103393555,0.006534755229949951,21.27471160888672,85,0.06368336081504822,0,1,,
4.275299549102783,0.13819456100463867,0.015478442423045635,298,-0.21565981209278107,13959,100,1001.0,5545.221344142857
4.228756904602051,-0.5894575119018555,0.003843465354293585,251,-0.0007727555930614471,28059,200,1001.0,8107.243314857142
4.186980247497559,-0.060747385025024414,0.009962513111531734,239,-0.08285445719957352,42159,300,1001.0,8895.710869142858
4.152834892272949,0.25326597690582275,0.004721065051853657,233,-0.03265615180134773,56259,400,1001.0,9422.212003857143
4.111743450164795,-0.2579057216644287,0.004955212585628033,230,-0.16825619339942932,70359,500,1001.0,9843.176331349205
4.013648986816406,0.5504733920097351,0.0030862342100590467,227,0.026887860149145126,84459,600,1001.0,10190.477405922078
3.930939197540283,0.6238543391227722,0.0026411679573357105,226,0.21543151140213013,98559,700,1001.0,10516.06432576923
3.8629367351531982,0.5964027047157288,0.002313395496457815,225,-0.16265669465065002,112659,800,1001.0,11043.30309188
3.8174171447753906,0.5480987727642059,0.0015575399156659842,224,-0.1114814281463623,126759,900,1001.0,11574.350382030001
3.753220558166504,0.13605427742004395,0.001360341440886259,223,-0.262359619140625,140859,1000,1001.0,11974.37398954
3.6789629459381104,0.01015239953994751,0.0010825047502294183,223,-0.15858590602874756,154959,1100,1001.0,12278.482768460002
3.6051790714263916,-0.14535069465637207,0.0010749170323833823,222,-0.26010552048683167,169059,1200,1001.0,12532.71076476
3.526855230331421,-0.11684978008270264,0.0008127043256536126,222,0.006926052272319794,183159,1300,1001.0,12720.49095189
3.474318504333496,-0.08579862117767334,0.0013167401775717735,222,-0.23532526195049286,197259,1400,1001.0,12828.69624296
3.418606758117676,0.16048651933670044,0.001055091037414968,221,-0.159194216132164,211359,1500,1001.0,12910.48258265
3.3686025142669678,0.3160836100578308,0.0012165901716798544,221,-0.045167215168476105,225459,1600,1001.0,12992.90495537
3.303647041320801,0.5337426960468292,0.001159286592155695,221,-0.0479409284889698,239559,1700,1001.0,13046.115769399996
3.2559854984283447,-0.2501077651977539,0.0008847403223626316,221,-0.04326082020998001,253659,1800,1001.0,13086.85613315
3.203575372695923,0.5189085006713867,0.0006983379134908319,221,-0.30580729246139526,267759,1900,1001.0,13114.29879876
3.126621723175049,-0.09496021270751953,0.0013052317081019282,221,-0.2706800699234009,281859,2000,1001.0,13132.72678356
3.061095952987671,0.6074649393558502,0.0012156364973634481,220,0.072838194668293,295959,2100,1001.0,13154.681694840001
3.0592639446258545,0.7917424142360687,0.0006725486600771546,220,-0.15745818614959717,310059,2200,1001.0,13187.948433990001
3.027951240539551,0.8750080764293671,0.0011357013136148453,220,-0.35384780168533325,324159,2300,1001.0,13220.39656005
3.0243067741394043,0.8828960433602333,0.0008806767291389406,220,0.05150827765464783,338259,2400,1001.0,13240.763215129999
3.0208446979522705,0.9257286712527275,0.0007607113220728934,220,-0.1206047460436821,352359,2500,1001.0,13262.655218719996
2.995586633682251,0.9088422879576683,0.000933029514271766,220,-0.14696916937828064,366459,2600,1001.0,13289.80274737
