total_timesteps,nupdates,explained_variance,fps,policy_loss,value_loss,policy_entropy,ep_reward_mean,ep_len_mean
0,1,0.021626055240631104,50,-0.2036457061767578,9.542211532592773,4.2568159103393555,,
8019,100,-1.1146411895751953,112,-0.06802695244550705,0.011265496723353863,4.061619758605957,6200.390759999999,1001.0
16119,200,0.05386674404144287,110,-0.17194896936416626,0.016120795160531998,4.086842060089111,7779.755035500001,1001.0
24219,300,0.29994916915893555,109,-0.03725472837686539,0.012343743816018105,4.077818870544434,8339.1170796,1001.0
32319,400,0.1306847333908081,109,-0.026459790766239166,0.004860889166593552,3.975769519805908,8855.602522392857,1001.0
40419,500,0.6714866459369659,109,-0.0696474015712738,0.004317441489547491,3.933218479156494,9442.8289945,1001.0
48519,600,0.9146215692162514,109,0.10535383224487305,0.0031477876473218203,3.9247069358825684,9656.56825465909,1001.0
56619,700,0.9444245547056198,109,-0.20931673049926758,0.002948219422250986,3.9089508056640625,9766.116328115386,1001.0
64719,800,0.8311982154846191,108,0.08804436773061752,0.0063643320463597775,3.8476624488830566,9986.308213183333,1001.0
72819,900,0.9368822425603867,108,-0.009963542222976685,0.0027016529347747564,3.786162853240967,10224.693760661763,1001.0
80919,1000,0.931712843477726,108,0.048549775034189224,0.0007906197570264339,3.720388889312744,10453.62771263158,1001.0
89019,1100,0.8484477698802948,108,0.030707839876413345,0.0018773891497403383,3.6737751960754395,10616.631245154762,1001.0
97119,1200,-0.23508131504058838,107,-0.013173947110772133,0.001561701879836619,3.651641368865967,10785.478230206523,1001.0
105219,1300,0.0488705039024353,107,-0.048787057399749756,0.00046136611490510404,3.5705409049987793,10932.919210760003,1001.0
113319,1400,0.8884486109018326,107,-0.1336648166179657,0.0010978553909808397,3.5270042419433594,11392.08167537,1001.0
121419,1500,0.965843915939331,107,-0.13280382752418518,0.000307016191072762,3.4806156158447266,11679.33326117,1001.0
129519,1600,0.894019216299057,107,0.13754954934120178,0.0007260889397002757,3.4249300956726074,11973.998964100001,1001.0
