policy_entropy,explained_variance,total_timesteps,nupdates,policy_loss,value_loss,fps,ep_reward_mean,ep_len_mean
10.327927589416504,0.001782238483428955,789459,5600,-0.11304920166730881,13005.7568359375,263,8486.249974970002,1000.0
10.328654289245605,8.589029312133789e-05,803559,5700,0.20509234070777893,20577.197265625,263,8731.9569256,1000.0
10.336275100708008,5.6624412536621094e-05,817659,5800,0.015056684613227844,15412.9052734375,264,8925.968168989999,1000.0
10.340253829956055,0.0003857612609863281,831759,5900,0.0681067481637001,13418.0341796875,264,9047.441810790002,1000.0
10.345423698425293,0.0004622340202331543,845859,6000,0.20218917727470398,13459.5888671875,264,9272.81418644,1000.0
10.351057052612305,9.548664093017578e-05,859959,6100,-0.1301771104335785,28413.33984375,264,9412.440823320001,1000.0
10.352582931518555,4.297494888305664e-05,874059,6200,-0.20063267648220062,28460.296875,264,9432.79624527,1000.0
10.352595329284668,0.00038933753967285156,888159,6300,0.17382533848285675,75621.2109375,264,9565.069660849998,1000.0
10.355268478393555,0.0004234910011291504,902259,6400,-0.24301974475383759,12591.1611328125,265,9882.36358374,1000.0
10.358785629272461,3.36766242980957e-05,916359,6500,-0.15221984684467316,16721.271484375,265,10125.78015172,1000.0
10.362748146057129,0.00024110078811645508,930459,6600,-0.05509273335337639,20290.291015625,265,10173.150189639999,1000.0
10.365987777709961,-1.7881393432617188e-06,944559,6700,-0.20875191688537598,14746.888671875,265,10403.30778833,1000.0
10.369675636291504,0.00028592348098754883,958659,6800,-0.026325933635234833,39705.66015625,265,10553.431062119998,1000.0
10.37336540222168,1.633167266845703e-05,972759,6900,-0.10376989096403122,21332.41796875,265,10813.28805676,1000.0
10.375625610351562,6.973743438720703e-06,986859,7000,-0.25558769702911377,14200.9287109375,266,11148.45309771,1000.0
10.378702163696289,1.6391277313232422e-05,1000959,7100,-0.17040184140205383,34691.12109375,266,11143.810534520002,1000.0
10.381147384643555,9.500980377197266e-05,1015059,7200,-0.17134970426559448,27340.91015625,266,11385.428852660005,1000.0
10.382497787475586,5.304813385009766e-06,1029159,7300,-0.255063533782959,33172.6484375,266,11707.671445540002,1000.0
10.384760856628418,7.295608520507812e-05,1043259,7400,0.01750268042087555,24707.154296875,266,11992.916957989999,1000.0
10.387802124023438,-2.0265579223632812e-06,1057359,7500,-0.15988793969154358,38733.16015625,266,12041.249726110003,1000.0
10.389877319335938,9.119510650634766e-06,1071459,7600,-0.2541597783565521,25335.935546875,267,12346.489164769999,1000.0
10.393036842346191,9.834766387939453e-06,1085559,7700,-0.11421108990907669,16941.435546875,267,12361.642786879998,1000.0
10.396626472473145,5.066394805908203e-06,1099659,7800,0.06960174441337585,69568.0078125,267,12720.45667354,1000.0
10.397809982299805,3.5762786865234375e-07,1113759,7900,-0.010693848133087158,47309.5859375,267,12969.725251610002,1000.0
10.402064323425293,0.0012673139572143555,1127859,8000,0.060326650738716125,60874.51953125,267,13244.2964578,1000.0
