explained_variance,policy_loss,policy_entropy,value_loss,fps,nupdates,total_timesteps,ep_reward_mean,ep_len_mean
-0.009553790092468262,0.05922344699501991,4.2568159103393555,7.131793975830078,53,1,0,,
0.9361551478505135,-0.21191753447055817,4.350254535675049,0.010802497155964375,111,100,8019,4472.6007405,1001.0
-0.032775163650512695,-0.024966023862361908,4.300430774688721,0.004051102790981531,108,200,16119,6997.130873333333,1001.0
0.7345208525657654,-0.15492220222949982,4.281490802764893,0.004060438834130764,108,300,24219,7972.927766399999,1001.0
0.7608909755945206,-0.024599958211183548,4.220629692077637,0.0016223859274759889,108,400,32319,8693.647888178572,1001.0
0.06657630205154419,0.04595736041665077,4.177978515625,0.0053970543667674065,108,500,40419,9164.88694038889,1001.0
-0.10434448719024658,0.14191287755966187,4.1290130615234375,0.002821496920660138,108,600,48519,9500.874808818182,1001.0
-0.09369397163391113,-0.16892865300178528,4.164170742034912,0.004411038476973772,109,700,56619,9798.48616146154,1001.0
-0.0732501745223999,-0.1421324610710144,4.110897541046143,0.0019987369887530804,109,800,64719,10074.092250483336,1001.0
0.21255618333816528,-0.17615458369255066,4.041290760040283,0.0013939474010840058,110,900,72819,10330.780660441178,1001.0
-0.017792582511901855,-0.1353999376296997,4.016330718994141,0.00032106321305036545,111,1000,80919,10562.272324828948,1001.0
0.03599846363067627,-0.014263706281781197,3.9917359352111816,0.0009016282856464386,112,1100,89019,10753.699961452383,1001.0
-0.3265136480331421,-0.22592252492904663,3.938891887664795,0.0013129926519468427,112,1200,97119,10923.946871510869,1001.0
0.32126957178115845,-0.09848745167255402,3.880863666534424,0.001229531248100102,113,1300,105219,11077.29617206,1001.0
-0.20886850357055664,-0.055857252329587936,3.8162193298339844,0.0009053239482454956,113,1400,113319,11633.132478640002,1001.0
-0.5809271335601807,0.07115019857883453,3.7405123710632324,0.0005059491959400475,113,1500,121419,11937.32457775,1001.0
0.699164479970932,-0.1471060812473297,3.7167439460754395,0.0010722704464569688,113,1600,129519,12170.485817750001,1001.0
0.6770209670066833,0.05367451533675194,3.677241802215576,0.0013841396430507302,113,1700,137619,12373.071552760002,1001.0
0.7588116079568863,0.04890995845198631,3.617249011993408,0.0010516166221350431,113,1800,145719,12503.69681329,1001.0
0.6611562967300415,0.10050433874130249,3.609083652496338,0.0013204083079472184,113,1900,153819,12685.102648820002,1001.0
