policy_entropy,fps,value_loss,explained_variance,nupdates,total_timesteps,policy_loss,ep_reward_mean,ep_len_mean
9.932570457458496,73,0.5463813543319702,-0.4766557216644287,1,0,-0.1355939358472824,,
9.968430519104004,221,2.1175811290740967,0.014564335346221924,100,8019,-0.004890009760856628,591.5828421250001,1000.0
9.984098434448242,228,2.8952622413635254,-0.12899911403656006,200,16119,-0.14969998598098755,1162.3697505,1000.0
9.938727378845215,224,7.636740207672119,0.11732900142669678,300,24219,-0.15022292733192444,3404.9934054166665,1000.0
9.947249412536621,221,7.5191473960876465,-0.017232418060302734,400,32319,-0.17694999277591705,5617.4837281875,1000.0
9.910652160644531,218,6.770936489105225,0.03117668628692627,500,40419,-0.24389483034610748,7734.961420625,1000.0
9.867447853088379,217,6.838517189025879,0.03419077396392822,600,48519,-0.46086326241493225,9626.363547833333,1000.0
9.836416244506836,217,6.965623378753662,0.10301589965820312,700,56619,-0.01778692752122879,11629.621065714284,1000.0
9.796880722045898,216,6.1073503494262695,0.0017772912979125977,800,64719,-0.20124590396881104,14077.439316015625,1000.0
9.698402404785156,216,6.240672588348389,0.013828396797180176,900,72819,-0.3119429349899292,16828.651409611113,1000.0
9.598908424377441,216,6.653022766113281,0.00035327672958374023,1000,80919,-0.042962267994880676,19498.4871543625,1000.0
9.458579063415527,216,8.054593086242676,-0.005239963531494141,1100,89019,-0.21726252138614655,22740.49334221591,1000.0
9.345358848571777,216,7.942963600158691,-0.0023463964462280273,1200,97119,0.13816262781620026,26183.86103392708,1000.0
9.196854591369629,217,8.017672538757324,0.01899510622024536,1300,105219,0.057821549475193024,30775.791935770005,1000.0
9.05359172821045,217,8.399223327636719,-0.033812880516052246,1400,113319,-0.30490970611572266,36812.840153029996,1000.0
8.899261474609375,217,8.332733154296875,0.05079394578933716,1500,121419,-0.20482411980628967,43218.6258806,1000.0
8.789336204528809,218,8.022851943969727,0.0019124746322631836,1600,129519,-0.03730706498026848,49376.919836069996,1000.0
8.711488723754883,218,7.27725076675415,0.015346050262451172,1700,137619,-0.265051007270813,55521.73071404999,1000.0
8.615731239318848,219,7.663743495941162,0.012294590473175049,1800,145719,-0.14565110206604004,61791.03212768,1000.0
8.504441261291504,219,7.411876678466797,0.0073893070220947266,1900,153819,-0.4276598393917084,68147.86861422998,1000.0
8.304766654968262,219,7.1942458152771,0.02484917640686035,2000,161919,-0.38401731848716736,74409.23044001,1000.0
8.168570518493652,220,7.1039533615112305,-0.012370944023132324,2100,170019,0.1104147732257843,80386.01228039,1000.0
8.00657844543457,220,7.1345953941345215,0.00984346866607666,2200,178119,-0.3153958320617676,86290.45207456998,1000.0
7.916459083557129,220,7.107129096984863,0.01507413387298584,2300,186219,0.014697037637233734,91818.48551618,1000.0
7.847867012023926,220,7.005406379699707,0.0025976896286010742,2400,194319,0.2133755385875702,96678.01900358,1000.0
7.7729926109313965,221,6.937196254730225,0.011231064796447754,2500,202419,-0.21734517812728882,101003.95450973998,1000.0
7.695359230041504,221,6.907055854797363,-0.0033097267150878906,2600,210519,-0.0520988330245018,104836.70126306001,1000.0
7.610201835632324,221,6.751399040222168,0.00281447172164917,2700,218619,-0.5360861420631409,108316.36059091998,1000.0
7.544602394104004,221,6.6708831787109375,0.009663403034210205,2800,226719,-0.33639174699783325,111310.2130589,1000.0
7.44382381439209,221,6.472698211669922,-0.00220489501953125,2900,234819,-0.03464384004473686,114222.67612599001,1000.0
7.397992134094238,222,6.2847137451171875,-0.0036504268646240234,3000,242919,-0.14094626903533936,116485.64648246,1000.0
7.344426155090332,222,6.131372928619385,-0.004039287567138672,3100,251019,0.18972040712833405,118627.09466405,1000.0
7.360304832458496,222,6.020190715789795,0.014020562171936035,3200,259119,-0.053141526877880096,120356.96166014,1000.0
7.301970481872559,222,5.946775913238525,0.007484138011932373,3300,267219,-0.535732626914978,121667.94787597,1000.0
7.2614030838012695,223,5.815211296081543,-0.0004839897155761719,3400,275319,0.010034486651420593,122548.08922906,1000.0
7.221923828125,223,5.72081995010376,-7.224082946777344e-05,3500,283419,-0.27486613392829895,123060.94091953,1000.0
7.223069190979004,223,5.752226829528809,-0.021407008171081543,3600,291519,0.03716834634542465,123479.82556564001,1000.0
