explained_variance,value_loss,fps,nupdates,policy_entropy,policy_loss,total_timesteps,ep_reward_mean,ep_len_mean
-0.1848287582397461,4.029964923858643,82,1,9.932570457458496,-0.17455792427062988,0,,
-1.4007580280303955,1.3210986852645874,226,100,10.140389442443848,-0.12566564977169037,8019,89.0904905,1000.0
-0.24441218376159668,2.7059969902038574,239,200,10.15743350982666,0.17937421798706055,16119,293.4352819375,1000.0
-0.42539727687835693,2.2963316440582275,244,300,10.166718482971191,-0.3070595860481262,24219,401.6058134166667,1000.0
-0.44230496883392334,2.7732226848602295,246,400,10.169035911560059,-0.08252999186515808,32319,490.67778490624994,1000.0
0.36197757720947266,3.2908427715301514,247,500,10.191906929016113,-0.18592321872711182,40419,636.006455,1000.0
-0.9421510696411133,14.269859313964844,247,600,10.180695533752441,-0.3573554754257202,48519,1329.6510651458332,1000.0
0.09515327215194702,13.410314559936523,248,700,10.182962417602539,0.009090669453144073,56619,2310.5125165535715,1000.0
-0.07071197032928467,9.756143569946289,247,800,10.19084358215332,0.07576653361320496,64719,3251.81485,1000.0
0.24399465322494507,6.887701511383057,247,900,10.219552040100098,-0.4198535680770874,72819,4060.4811713611107,1000.0
-0.09306204319000244,6.189541816711426,247,1000,10.184374809265137,0.15462088584899902,80919,4780.4939240124995,1000.0
0.002640247344970703,5.548375129699707,246,1100,10.141448020935059,-0.3710971176624298,89019,5403.66848903409,1000.0
-0.3553333282470703,5.685113430023193,245,1200,10.148605346679688,-0.026607021689414978,97119,6067.653372322918,1000.0
-0.24850726127624512,5.98178768157959,244,1300,10.114270210266113,-0.36482784152030945,105219,7132.16221116,1000.0
0.00994408130645752,6.474073886871338,243,1400,10.062956809997559,-0.1805611550807953,113319,8490.935568859999,1000.0
-0.06705904006958008,6.365049362182617,241,1500,10.052420616149902,-0.25640469789505005,121419,9815.49210203,1000.0
0.18940186500549316,6.046507358551025,240,1600,10.021263122558594,-0.10423019528388977,129519,11216.415733509999,1000.0
0.009114623069763184,6.415960788726807,239,1700,9.959441184997559,0.1262170374393463,137619,12677.881757770003,1000.0
0.01508861780166626,6.612390041351318,238,1800,10.006942749023438,-0.3019716739654541,145719,14240.267704920003,1000.0
-0.032990455627441406,6.696974754333496,236,1900,9.97650146484375,-0.18800967931747437,153819,15536.948688780001,1000.0
-0.004169940948486328,6.884404182434082,235,2000,9.90659236907959,-0.09175048023462296,161919,16821.155645439998,1000.0
-0.011501789093017578,7.333383083343506,233,2100,9.905325889587402,-0.1432669758796692,170019,18034.984506060002,1000.0
-0.005801558494567871,7.576428413391113,231,2200,9.899590492248535,-0.014179758727550507,178119,19332.71567182,1000.0
-0.011691808700561523,7.142228126525879,230,2300,9.844143867492676,0.07357947528362274,186219,20604.54873908,1000.0
-0.017486095428466797,7.017770290374756,229,2400,9.80743408203125,-0.42370012402534485,194319,21888.951970059996,1000.0
-0.02617168426513672,6.992627143859863,228,2500,9.774626731872559,-0.059004250913858414,202419,22961.04024403,1000.0
0.07053041458129883,7.1876373291015625,227,2600,9.709090232849121,-0.3805472254753113,210519,24079.77105706,1000.0
-0.06676757335662842,6.993680000305176,227,2700,9.667773246765137,-0.06280691176652908,218619,25302.440439210004,1000.0
-0.004437804222106934,7.415790557861328,227,2800,9.64326286315918,-0.07369021326303482,226719,26677.63671118,1000.0
-0.0016887187957763672,7.550370693206787,227,2900,9.614594459533691,-0.5137348175048828,234819,28315.69316651,1000.0
0.021376609802246094,7.7023773193359375,227,3000,9.546036720275879,-0.15494316816329956,242919,29659.18376324,1000.0
-0.003690004348754883,7.937300205230713,227,3100,9.516594886779785,0.04880940169095993,251019,31135.29205638,1000.0
-0.0410008430480957,7.571084499359131,227,3200,9.508820533752441,0.05682743340730667,259119,32441.09331707,1000.0
-0.007436275482177734,7.930999755859375,227,3300,9.453232765197754,-0.3125930428504944,267219,33913.68669675,1000.0
0.006506860256195068,7.846911430358887,227,3400,9.332582473754883,0.00911472737789154,275319,35386.40699913,1000.0
-0.022753119468688965,8.062675476074219,227,3500,9.282523155212402,-0.11901810765266418,283419,36905.57855046,1000.0
0.0460132360458374,8.0610990524292,227,3600,9.229944229125977,-0.3983774185180664,291519,38379.87583544,1000.0
-0.005552887916564941,7.594995021820068,227,3700,9.17215633392334,0.016757696866989136,299619,39609.167153639995,1000.0
-0.03192484378814697,7.335746765136719,227,3800,9.104248046875,-0.4090041220188141,307719,41048.322112279995,1000.0
0.00041615962982177734,7.120046138763428,227,3900,9.006974220275879,0.29507800936698914,315819,42597.81184223,1000.0
-0.05515456199645996,7.546300411224365,227,4000,8.915885925292969,-0.15884636342525482,323919,43858.08740139,1000.0
0.0005255341529846191,7.696227073669434,227,4100,8.812911033630371,-0.26287999749183655,332019,45200.706868,1000.0
0.0018333792686462402,7.510429382324219,227,4200,8.726983070373535,-0.047279782593250275,340119,46613.81669652001,1000.0
0.006974756717681885,7.761758327484131,227,4300,8.71545696258545,-0.2540067434310913,348219,47987.14409437001,1000.0
-0.01704859733581543,7.920042514801025,227,4400,8.65552043914795,0.34672364592552185,356319,49366.20081533,1000.0
0.005102574825286865,7.905123710632324,227,4500,8.5711669921875,-0.017509452998638153,364419,50792.34973446999,1000.0
-0.01801908016204834,8.109298706054688,227,4600,8.470909118652344,-0.44255608320236206,372519,52012.51699514001,1000.0
-0.007381081581115723,8.450071334838867,227,4700,8.339154243469238,-0.14719420671463013,380619,53499.272207229995,1000.0
-0.020079612731933594,8.289752006530762,227,4800,8.225494384765625,0.023470036685466766,388719,55435.970503489996,1000.0
0.016156435012817383,9.0526123046875,227,4900,8.103150367736816,-0.05898251384496689,396819,57944.44622005999,1000.0
-0.0028363466262817383,9.70483112335205,227,5000,7.973502159118652,0.280696302652359,404919,60756.812115780005,1000.0
0.003531157970428467,9.898107528686523,227,5100,7.874855995178223,0.022893548011779785,413019,63885.10789685,1000.0
0.02567511796951294,10.931976318359375,227,5200,7.730212211608887,-0.2265225052833557,421119,67286.11463543,1000.0
-0.005327105522155762,10.873088836669922,227,5300,7.606570243835449,-0.18946722149848938,429219,70954.18500287001,1000.0
0.00702059268951416,11.133277893066406,227,5400,7.440539360046387,0.00045465677976608276,437319,74906.36187339001,1000.0
0.009195089340209961,11.142898559570312,227,5500,7.269413948059082,-0.46998339891433716,445419,78958.82439758001,1000.0
0.003201007843017578,11.226085662841797,227,5600,7.114365577697754,-0.04574809595942497,453519,83338.17790488,1000.0
0.00044721364974975586,11.392423629760742,227,5700,7.013136863708496,0.17669540643692017,461619,87783.73003339002,1000.0
0.01523733139038086,11.304100036621094,227,5800,6.868321418762207,-0.08643478900194168,469719,92316.70795921002,1000.0
-0.014387369155883789,11.151884078979492,227,5900,6.680222511291504,-0.5568090081214905,477819,96953.93184063998,1000.0
0.008891940116882324,10.975787162780762,227,6000,6.607941627502441,-0.20690187811851501,485919,101046.23388439002,1000.0
0.05362749099731445,10.408337593078613,227,6100,6.496758460998535,-0.29684433341026306,494019,104864.02427797,1000.0
-0.015778779983520508,9.85362720489502,227,6200,6.395905494689941,0.005091540515422821,502119,108301.05942802,1000.0
