policy_entropy,total_timesteps,value_loss,fps,explained_variance,nupdates,policy_loss,ep_reward_mean,ep_len_mean
9.932570457458496,0,3.980311632156372,83,-0.058197975158691406,1,-0.24764470756053925,,
9.932570457458496,8019,0.08969827741384506,239,-44.26334762573242,100,0.007773138582706451,216.360556,1000.0
9.932587623596191,16119,0.10337062180042267,248,-2.5630714893341064,200,-0.030535772442817688,209.599311,1000.0
9.932625770568848,24219,0.08982273191213608,252,-31814.2890625,300,-0.23971526324748993,208.0287319583333,1000.0
9.932662963867188,32319,0.09972796589136124,252,-208.7377166748047,400,-0.09297400712966919,227.14113184375,1000.0
9.932709693908691,40419,0.07682555913925171,253,-2480.749267578125,500,-0.12141717225313187,221.3280945,1000.0
9.932729721069336,48519,0.3203805387020111,254,0.20434653759002686,600,-0.34438809752464294,222.21127124999998,1000.0
9.932771682739258,56619,0.08277980238199234,254,-399627.5,700,-0.4560573101043701,230.99552751785714,1000.0
9.932822227478027,64719,0.18131043016910553,255,-6.910867691040039,800,-0.3268819749355316,224.64252392187498,1000.0
9.932877540588379,72819,0.252478688955307,254,-0.4531521797180176,900,-0.43155425786972046,220.44581483333332,1000.0
9.932915687561035,80919,0.11598129570484161,255,-304.24664306640625,1000,-0.33670467138290405,214.80722065,1000.0
9.932968139648438,89019,0.18941541016101837,255,-1.2110965251922607,1100,-0.3004102110862732,219.81579412499997,1000.0
9.93304443359375,97119,0.08550453186035156,255,-35455.87890625,1200,-0.120518259704113,219.51060764583335,1000.0
9.933112144470215,105219,0.057008303701877594,255,-36.0743408203125,1300,0.19520238041877747,226.32795852000004,1000.0
9.933158874511719,113319,0.09728436917066574,255,-10.906204223632812,1400,-0.01038004457950592,226.04864141,1000.0
9.933194160461426,121419,0.1035303846001625,255,-4.891897201538086,1500,0.06160537153482437,235.80684374999998,1000.0
9.933211326599121,129519,0.08631040900945663,255,-0.3536144495010376,1600,0.020101338624954224,233.64359943000002,1000.0
9.933241844177246,137619,0.1682130992412567,256,-1.2397689819335938,1700,-0.04122717306017876,240.87607169000003,1000.0
9.933274269104004,145719,0.10664637386798859,256,-14.684797286987305,1800,-0.10138439387083054,241.50330583000002,1000.0
9.933309555053711,153819,0.08780477941036224,256,-43.85686492919922,1900,0.00883716344833374,238.42568153,1000.0
9.933337211608887,161919,0.06535816192626953,257,-458.5517883300781,2000,-0.06517818570137024,238.70374984999998,1000.0
9.933377265930176,170019,0.08051672577857971,257,-13.347784042358398,2100,-0.14042063057422638,236.01620426000005,1000.0
9.933388710021973,178119,0.10733296722173691,257,-11088.49609375,2200,-0.325719952583313,242.00562420999998,1000.0
9.933412551879883,186219,0.08335408568382263,257,-34.38389205932617,2300,-0.04864213615655899,240.02858536999997,1000.0
9.933459281921387,194319,0.12661294639110565,256,-3.159010410308838,2400,-0.5447168946266174,238.25757864000008,1000.0
9.93349552154541,202419,0.06016438081860542,257,-31.59124755859375,2500,0.44319117069244385,238.69999725000002,1000.0
9.933539390563965,210519,0.13232389092445374,257,-0.667930006980896,2600,0.03683329373598099,242.49146202000003,1000.0
9.933570861816406,218619,0.08066166937351227,257,-662.2026977539062,2700,0.16100099682807922,235.84436337999995,1000.0
9.933609008789062,226719,0.07662639021873474,257,-2.129775047302246,2800,-0.44777926802635193,231.10223769,1000.0
