fps,nupdates,value_loss,total_timesteps,policy_loss,explained_variance,policy_entropy,ep_len_mean,ep_reward_mean
165,1,2.3253984451293945,0,-0.1893444061279297,-0.3373849391937256,9.932570457458496,,
273,100,0.6374179124832153,13959,0.06530687212944031,-0.46517133712768555,9.581899642944336,1000.0,401.40683499999994
276,200,1.2494606971740723,28059,-0.3147679269313812,-0.6617131233215332,9.597269058227539,1000.0,480.8159448214286
277,300,6.5390448570251465,42159,0.07757249474525452,-0.4073904752731323,9.575800895690918,1000.0,1356.0914116190477
279,400,8.446182250976562,56259,0.006425894796848297,-0.04134047031402588,9.557175636291504,1000.0,2903.736632785714
280,500,8.167811393737793,70359,0.021388672292232513,0.01849156618118286,9.486687660217285,1000.0,4544.553254257144
280,600,7.670417785644531,84459,-0.1306014060974121,0.04859483242034912,9.485468864440918,1000.0,6143.771698964286
280,700,8.879918098449707,98559,-0.023019447922706604,0.016273438930511475,9.487028121948242,1000.0,8557.109815265307
281,800,8.685951232910156,112659,-0.3491888642311096,-0.007038593292236328,9.455857276916504,1000.0,12314.09389086
281,900,7.914052963256836,126759,-0.17074555158615112,-0.019879460334777832,9.366623878479004,1000.0,16991.01417619
281,1000,8.121883392333984,140859,-0.29652848839759827,0.017916977405548096,9.248682975769043,1000.0,21801.92219941
281,1100,7.2939958572387695,154959,0.004327982664108276,-0.017471671104431152,9.104643821716309,1000.0,26549.604589500002
282,1200,7.576622486114502,169059,-0.28017181158065796,0.011322200298309326,9.011784553527832,1000.0,31931.639704449997
282,1300,7.361724853515625,183159,0.04491753876209259,0.0029512643814086914,8.83438777923584,1000.0,37274.278815289996
282,1400,7.256631851196289,197259,-0.19683590531349182,0.009833991527557373,8.694289207458496,1000.0,41793.99563226
283,1500,7.174716949462891,211359,-0.024562381207942963,0.02041792869567871,8.541616439819336,1000.0,46153.49579694001
283,1600,7.086196422576904,225459,-0.20824399590492249,0.008170545101165771,8.439345359802246,1000.0,50530.127198569986
283,1700,7.298863887786865,239559,-0.07480090111494064,-0.013167858123779297,8.282609939575195,1000.0,55468.25766822
284,1800,7.425911903381348,253659,-0.2223065197467804,-0.0009157657623291016,8.124784469604492,1000.0,60140.17308442001
284,1900,7.396529674530029,267759,-0.1403771936893463,0.005147457122802734,7.985151767730713,1000.0,64778.89621606
284,2000,7.588171482086182,281859,-0.1330903172492981,0.03988140821456909,7.860901832580566,1000.0,68876.83960811999
284,2100,7.511859893798828,295959,-0.32397130131721497,0.015790343284606934,7.736283779144287,1000.0,73525.44991118
284,2200,7.395508766174316,310059,5.11854887008667e-05,0.005656540393829346,7.595853805541992,1000.0,78241.87850842
285,2300,7.422275066375732,324159,-0.10176147520542145,0.0013365745544433594,7.462181568145752,1000.0,82476.08370697999
285,2400,7.445160865783691,338259,0.06209495663642883,0.00889521837234497,7.347060680389404,1000.0,86583.20483511999
285,2500,7.627843379974365,352359,-0.3221791386604309,0.004022359848022461,7.253473281860352,1000.0,90696.93973088003
285,2600,7.572241306304932,366459,-0.020587529987096786,0.0021253228187561035,7.14409065246582,1000.0,94497.78543894
286,2700,7.508263111114502,380559,-0.1906934231519699,0.004929959774017334,6.9952778816223145,1000.0,98747.18066637998
286,2800,7.5788373947143555,394659,-0.19104830920696259,0.0039806365966796875,6.900693416595459,1000.0,102387.49271001999
286,2900,7.463970184326172,408759,-0.1443178355693817,-0.008995890617370605,6.745499134063721,1000.0,105905.71962243
286,3000,7.469573974609375,422859,-0.17179419100284576,-0.002607107162475586,6.578094959259033,1000.0,109322.13018512003
287,3100,7.437287330627441,436959,-0.21923613548278809,-0.0007363557815551758,6.4477763175964355,1000.0,112534.28013575001
287,3200,7.371807098388672,451059,-0.0162661075592041,0.006426811218261719,6.339707374572754,1000.0,115151.44283204999
287,3300,7.328925609588623,465159,-0.02926276996731758,0.003174304962158203,6.190432071685791,1000.0,117469.51369704999
287,3400,6.925980567932129,479259,-0.2068587988615036,0.2885282635688782,6.12174129486084,1000.0,118018.12224575001
287,3500,6.426855564117432,493359,0.11951933801174164,-0.017875313758850098,6.020889759063721,1000.0,119404.07646865
287,3600,6.622798919677734,507459,-0.502774715423584,0.013876676559448242,5.9959940910339355,1000.0,120481.36535789998
288,3700,6.493081092834473,521559,-0.06778061389923096,-0.00247800350189209,5.9805989265441895,1000.0,121214.72011088
288,3800,6.470069408416748,535659,0.07063557207584381,-0.010446310043334961,5.985982894897461,1000.0,121570.18979198998
288,3900,6.441132545471191,549759,0.10906001180410385,-0.0003266334533691406,5.901865005493164,1000.0,121830.08046497003
288,4000,6.3921685218811035,563859,-0.18551653623580933,-0.0007447004318237305,5.91547155380249,1000.0,121994.52713291
288,4100,6.348219871520996,577959,-0.14884509146213531,0.05308341979980469,5.923904895782471,1000.0,123223.5916399
288,4200,6.255175590515137,592059,-0.025642264634370804,-0.012245893478393555,5.810317516326904,1000.0,123321.96682158002
289,4300,6.2356038093566895,606159,-0.03230005130171776,0.0009213685989379883,5.74329137802124,1000.0,123465.49682385002
289,4400,6.202007293701172,620259,-0.06225321441888809,-0.0008940696716308594,5.6748199462890625,1000.0,123577.29036661
289,4500,6.110222816467285,634359,0.02705834060907364,-0.0022443532943725586,5.603583335876465,1000.0,123525.3957052
289,4600,6.092248916625977,648459,0.09684726595878601,-0.0028992891311645508,5.57275915145874,1000.0,123606.14166368
289,4700,6.028846263885498,662559,-0.15528659522533417,-0.0037577152252197266,5.4661383628845215,1000.0,123682.74711363
289,4800,6.055668830871582,676659,0.029537424445152283,0.0011339187622070312,5.477012634277344,1000.0,123874.62616657
289,4900,5.980360507965088,690759,0.09117533266544342,-0.01697564125061035,5.452698230743408,1000.0,124007.68224753001
