policy_loss,total_timesteps,fps,explained_variance,value_loss,policy_entropy,nupdates,ep_reward_mean,ep_len_mean
-0.24526545405387878,0,104,-0.3577946424484253,0.6532148122787476,9.932570457458496,1,,
0.08235614001750946,13959,230,-19861.93359375,0.6332066059112549,10.048036575317383,100,4.0257715,1000.0
-0.17544007301330566,28059,228,-52.08009719848633,0.15895576775074005,10.063872337341309,200,4.7982818571428565,1000.0
0.10420870035886765,42159,229,-0.019242405891418457,0.33418548107147217,10.093276023864746,300,6.11629038095238,1000.0
-0.44260042905807495,56259,227,-0.9055039882659912,0.6879876852035522,10.136518478393555,400,8.343525392857144,1000.0
-0.09733175486326218,70359,222,0.007242858409881592,19.42557716369629,10.148073196411133,500,16.872876771428572,1000.0
-0.3290344476699829,84459,219,-0.06219983100891113,42.416141510009766,10.167256355285645,600,29.12109392857143,1000.0
-0.3247720003128052,98559,218,-0.04630684852600098,115.39702606201172,10.161738395690918,700,52.75847383673471,1000.0
-0.38296186923980713,112659,218,0.016311824321746826,224.09620666503906,10.202824592590332,800,93.59390581999997,1000.0
-0.2486257404088974,126759,218,-0.0056798458099365234,255.65359497070312,10.228879928588867,900,142.65986513,1000.0
-0.18426844477653503,140859,219,0.07275688648223877,335.5445251464844,10.278285026550293,1000,195.79315157000005,1000.0
-0.2993556261062622,154959,219,0.13102400302886963,416.3637390136719,10.313603401184082,1100,248.48491725,1000.0
0.2457854449748993,169059,219,0.0010821223258972168,526.2193603515625,10.319986343383789,1200,308.64027508999993,1000.0
-0.1251535415649414,183159,219,0.027864813804626465,586.5892944335938,10.357759475708008,1300,374.5979518099999,1000.0
-0.00043006986379623413,197259,218,0.013073086738586426,734.8320922851562,10.388242721557617,1400,452.2702661699999,1000.0
-0.13997501134872437,211359,218,0.040024757385253906,654.0831909179688,10.433198928833008,1500,531.37396265,1000.0
-0.15715330839157104,225459,217,0.22486478090286255,521.4586181640625,10.460616111755371,1600,586.19862831,1000.0
-0.07817622274160385,239559,217,0.062022268772125244,642.1153564453125,10.47260570526123,1700,671.69903134,1000.0
-0.06445029377937317,253659,217,0.07300525903701782,783.9303588867188,10.476303100585938,1800,749.0739615,1000.0
-0.35875388979911804,267759,217,0.15134024620056152,896.5768432617188,10.488957405090332,1900,807.3560591200003,1000.0
-0.36331483721733093,281859,217,0.03331935405731201,794.4981689453125,10.495683670043945,2000,884.87593867,1000.0
-0.2247905135154724,295959,217,-1.4185905456542969e-05,840.6992797851562,10.51628589630127,2100,956.6816690899999,1000.0
-0.10206735879182816,310059,216,0.08400648832321167,1022.8240966796875,10.529454231262207,2200,1031.6707772,1000.0
-0.2880553901195526,324159,216,1.0907649993896484e-05,979.4456176757812,10.551864624023438,2300,1127.09705349,1000.0
0.11182854324579239,338259,216,3.2901763916015625e-05,1092.8599853515625,10.569046020507812,2400,1188.0511170500001,1000.0
-0.3296125531196594,352359,216,-1.430511474609375e-06,1169.7889404296875,10.595124244689941,2500,1260.10465326,1000.0
