explained_variance,nupdates,policy_loss,value_loss,total_timesteps,fps,policy_entropy,ep_len_mean,ep_reward_mean
-0.007023811340332031,1,-0.08451661467552185,5.884260177612305,0,72,9.932570457458496,,
-0.4953573942184448,100,-0.0700196623802185,9.661369323730469,8019,218,9.263872146606445,1000.0,1234.071058125
0.03340578079223633,200,0.07579877227544785,8.371400833129883,16119,233,9.283196449279785,1000.0,2134.1293204374997
-0.06267178058624268,300,0.03042164444923401,10.056716918945312,24219,238,9.27038288116455,1000.0,2557.860271125
-0.17122125625610352,400,-0.23131883144378662,8.443157196044922,32319,242,9.254748344421387,1000.0,2850.2433282499996
-0.08417725563049316,500,-0.23100019991397858,8.48435115814209,40419,245,9.225617408752441,1000.0,3175.3371985
-0.2516634464263916,600,0.06245236098766327,7.883347988128662,48519,247,9.212005615234375,1000.0,3483.864538541667
-0.0065767765045166016,700,0.2770005464553833,9.03355598449707,56619,249,9.187941551208496,1000.0,3961.272146214285
-0.03774595260620117,800,0.3422483205795288,11.410345077514648,64719,250,9.084195137023926,1000.0,4708.713780453125
-0.08858275413513184,900,-0.5500063896179199,12.185391426086426,72819,250,8.981234550476074,1000.0,5531.573968277778
-0.020181655883789062,1000,0.026206985116004944,11.788742065429688,80919,251,8.842514991760254,1000.0,6304.46573175
-0.0027278661727905273,1100,-0.23830632865428925,9.9391508102417,89019,252,8.706879615783691,1000.0,6979.152672102273
0.000559687614440918,1200,-0.2259874939918518,8.82670783996582,97119,252,8.598670959472656,1000.0,7550.705680958333
0.003359973430633545,1300,-0.1336609423160553,7.741041660308838,105219,252,8.531317710876465,1000.0,8336.554014559999
-0.023167133331298828,1400,-0.10838454216718674,7.2539825439453125,113319,253,8.459504127502441,1000.0,9294.48920763
-0.004479646682739258,1500,-0.0942874327301979,6.9095258712768555,121419,253,8.41500186920166,1000.0,10165.52790511
-0.004926085472106934,1600,0.08017941564321518,6.744704246520996,129519,253,8.297378540039062,1000.0,11045.784799549998
0.009087562561035156,1700,-0.061957307159900665,6.693848609924316,137619,254,8.218094825744629,1000.0,11880.857776419998
0.004480898380279541,1800,-0.308635950088501,6.432777404785156,145719,253,8.105027198791504,1000.0,12659.672592870002
0.0024304986000061035,1900,-0.06059536337852478,6.439425468444824,153819,254,8.046013832092285,1000.0,13384.51462979
-0.0029958486557006836,2000,0.3042689263820648,6.480502128601074,161919,254,7.960360527038574,1000.0,13900.394183720002
0.010708987712860107,2100,0.04605819284915924,6.418875217437744,170019,254,7.9028120040893555,1000.0,14198.236875250002
0.007081925868988037,2200,-0.017494697123765945,6.382474422454834,178119,254,7.842299461364746,1000.0,14364.65459536
0.007310748100280762,2300,-0.08558598160743713,6.347403049468994,186219,254,7.797823905944824,1000.0,14490.843041679998
0.00554049015045166,2400,-0.11183496564626694,6.410211086273193,194319,254,7.721680641174316,1000.0,14595.298405909996
-0.0019377470016479492,2500,0.22153252363204956,6.477400302886963,202419,254,7.642529487609863,1000.0,14706.33446758
0.005577445030212402,2600,-0.17851606011390686,6.499509334564209,210519,254,7.54543399810791,1000.0,14786.337128499998
-0.010833263397216797,2700,-0.010733410716056824,6.475804328918457,218619,255,7.460784912109375,1000.0,14877.435328280004
-0.06311428546905518,2800,-0.19608134031295776,6.617679595947266,226719,255,7.369463920593262,1000.0,14952.92893842
-0.0016347169876098633,2900,-0.10647859424352646,6.658570289611816,234819,255,7.322419166564941,1000.0,15035.93895376
0.0032758712768554688,3000,-0.1747855246067047,6.682044982910156,242919,255,7.287354469299316,1000.0,15117.62191794
-0.002562403678894043,3100,-0.060041192919015884,6.845379829406738,251019,255,7.272189140319824,1000.0,15195.5687196
-0.0038802623748779297,3200,0.06814313679933548,7.086712837219238,259119,255,7.252593040466309,1000.0,15255.252917590002
-0.007563233375549316,3300,0.30844753980636597,7.182043552398682,267219,255,7.252518653869629,1000.0,15320.464026740001
-0.0017452239990234375,3400,0.05592401325702667,7.1004228591918945,275319,256,7.217301368713379,1000.0,15373.76795838
-0.0030031204223632812,3500,-0.019791483879089355,7.176060676574707,283419,256,7.0966386795043945,1000.0,15418.375000820002
-0.003201723098754883,3600,-0.01596672832965851,7.284262657165527,291519,256,7.0995073318481445,1000.0,15455.44968916
0.014146924018859863,3700,-0.3956106901168823,7.346160888671875,299619,256,7.040118217468262,1000.0,15493.872360979998
0.002879500389099121,3800,0.18682706356048584,7.368897914886475,307719,256,7.054085731506348,1000.0,15531.908807929998
0.012215137481689453,3900,-0.17590908706188202,7.332884311676025,315819,256,7.038168907165527,1000.0,15553.019197110001
-0.001801609992980957,4000,-0.07051361352205276,7.510134220123291,323919,256,7.004118919372559,1000.0,15583.254116079997
-0.000836491584777832,4100,-0.221125990152359,7.499424934387207,332019,256,7.0166778564453125,1000.0,15613.807026519999
-0.02023184299468994,4200,-0.15463797748088837,7.6340012550354,340119,257,6.983086585998535,1000.0,15642.649065
-0.0022450685501098633,4300,0.2874118387699127,7.777932167053223,348219,257,6.997540473937988,1000.0,15656.917374329998
-0.003903508186340332,4400,0.30755987763404846,7.745343208312988,356319,257,6.986445426940918,1000.0,15664.43930555
