total_timesteps,explained_variance,nupdates,policy_entropy,policy_loss,fps,value_loss,ep_len_mean,ep_reward_mean
0,0.0032642483711242676,1,9.932570457458496,-0.4305236339569092,77,11.549299240112305,,
8019,-54718871.0,100,10.108381271362305,-0.26831966638565063,239,1.6129062175750732,1000.0,541.6952545
16119,-0.2021275758743286,200,10.165635108947754,-0.3077493906021118,235,1.5586683750152588,1000.0,533.89638125
24219,-0.015069127082824707,300,10.18971061706543,0.030415639281272888,243,8.249783515930176,1000.0,1914.754337458333
32319,0.05520975589752197,400,10.106596946716309,-0.24286064505577087,246,7.930136203765869,1000.0,3800.2744239374997
40419,0.021645665168762207,500,10.037001609802246,-0.220426544547081,249,7.142663478851318,1000.0,5352.6582761
48519,-0.018248558044433594,600,9.971802711486816,-0.2467048466205597,251,6.021065711975098,1000.0,6535.532395291666
56619,0.0039713382720947266,700,9.945725440979004,-0.24508346617221832,252,5.467127323150635,1000.0,7441.188434982142
64719,-0.005905628204345703,800,9.903639793395996,-0.03736761957406998,252,5.289430618286133,1000.0,8232.4610713125
72819,0.04216581583023071,900,9.913557052612305,-0.4031728506088257,253,5.141205310821533,1000.0,8847.996677930554
80919,0.016194701194763184,1000,9.815596580505371,-0.18126180768013,254,5.211986064910889,1000.0,9378.8610177625
89019,0.02083641290664673,1100,9.803406715393066,0.11526183038949966,254,5.098422050476074,1000.0,9765.73279003409
97119,-0.009932637214660645,1200,9.790151596069336,0.005004994571208954,255,5.095815181732178,1000.0,10117.870228083333
105219,0.021544575691223145,1300,9.77874755859375,-0.217623770236969,255,5.076840400695801,1000.0,10781.15007672
113319,0.023995041847229004,1400,9.754508018493652,-0.1283174753189087,255,5.043078422546387,1000.0,11889.63040386
121419,-0.01429760456085205,1500,9.774879455566406,0.05837511271238327,255,5.096890926361084,1000.0,12815.056473039998
129519,0.027257442474365234,1600,9.717560768127441,-0.048615533858537674,256,5.185595512390137,1000.0,13371.889138050003
137619,-0.00015032291412353516,1700,9.691618919372559,-0.06507252156734467,256,5.0851945877075195,1000.0,13612.62223387
145719,-0.010828495025634766,1800,9.634764671325684,0.09369952976703644,256,5.392154693603516,1000.0,13764.232663270002
153819,-0.021346211433410645,1900,9.626160621643066,-0.22287610173225403,256,5.575955867767334,1000.0,13852.966832349997
161919,0.02225041389465332,2000,9.686875343322754,-0.21916809678077698,256,5.605620384216309,1000.0,13926.57343747
170019,-0.016545772552490234,2100,9.71252155303955,0.33789685368537903,256,5.69658088684082,1000.0,13960.288117760003
178119,0.01195073127746582,2200,9.711228370666504,-0.36624735593795776,256,5.720597743988037,1000.0,13970.24121042
186219,0.006805062294006348,2300,9.7259521484375,-0.13089966773986816,257,5.9015350341796875,1000.0,13994.92376077
194319,0.011488139629364014,2400,9.742074012756348,-0.30669671297073364,257,6.153256893157959,1000.0,14034.282567549999
202419,0.011673569679260254,2500,9.802926063537598,-0.005401492118835449,257,6.230917930603027,1000.0,14059.54620611
210519,-0.008452177047729492,2600,9.784270286560059,-0.09503179043531418,257,6.281919002532959,1000.0,14080.006993640003
218619,-0.003526449203491211,2700,9.850647926330566,-0.2182246446609497,257,6.4299421310424805,1000.0,14110.18968698
226719,-0.005133271217346191,2800,9.84298038482666,-0.22793874144554138,257,6.561593532562256,1000.0,14116.939830570002
234819,0.01606452465057373,2900,9.831009864807129,-0.06382575631141663,257,6.591330051422119,1000.0,14117.12190699
242919,-0.013308048248291016,3000,9.774801254272461,-0.2635385990142822,258,6.685811519622803,1000.0,14170.15337148
251019,0.038627445697784424,3100,9.785857200622559,-0.05144176259636879,258,6.769991874694824,1000.0,14144.705547939995
259119,0.017975211143493652,3200,9.799276351928711,-0.16184693574905396,258,6.744300842285156,1000.0,14140.41168533
267219,0.03662341833114624,3300,9.820596694946289,-0.06660155206918716,258,6.955991268157959,1000.0,14134.205979819999
275319,-0.015918850898742676,3400,9.808975219726562,-0.024535037577152252,258,7.040493011474609,1000.0,14132.422404620003
283419,-0.006919264793395996,3500,9.794145584106445,-0.1709516942501068,258,7.1042375564575195,1000.0,14144.87360594
291519,-0.007825732231140137,3600,9.773462295532227,0.11383721977472305,258,7.222176551818848,1000.0,14151.206852769996
299619,-0.010800361633300781,3700,9.800817489624023,-0.4095321297645569,258,7.193353176116943,1000.0,14145.626494739998
307719,-0.009668707847595215,3800,9.774953842163086,-0.6375554203987122,258,7.3445143699646,1000.0,14168.262758849998
315819,0.013278186321258545,3900,9.847390174865723,-0.09864532202482224,258,7.291941165924072,1000.0,14197.544646210003
323919,0.0031200051307678223,4000,9.870436668395996,0.2796240746974945,258,7.382570743560791,1000.0,14190.36008717
332019,-0.03568875789642334,4100,9.879556655883789,0.22645768523216248,258,7.438192844390869,1000.0,14215.85973593
340119,-0.007146954536437988,4200,9.91879940032959,-0.1742350161075592,258,7.453710079193115,1000.0,14246.258276079998
348219,-0.004367947578430176,4300,9.926217079162598,0.12146341055631638,258,7.4347734451293945,1000.0,14259.070246340003
356319,-0.0038243532180786133,4400,9.957862854003906,-0.13407307863235474,258,7.432100772857666,1000.0,14292.145685859998
364419,-0.025846004486083984,4500,10.020058631896973,0.011748455464839935,258,7.528193473815918,1000.0,14319.905927020001
372519,0.032735586166381836,4600,10.060731887817383,-0.2789207696914673,259,7.548573970794678,1000.0,14315.83849895
380619,0.004504024982452393,4700,10.096463203430176,0.1268981695175171,258,7.6773481369018555,1000.0,14317.85158066
388719,-0.030850648880004883,4800,10.105673789978027,-0.16500625014305115,258,7.808850288391113,1000.0,14329.069216110001
396819,0.0075781941413879395,4900,10.124464988708496,-0.00351802259683609,259,7.703948020935059,1000.0,14336.72183653
404919,-0.0024476051330566406,5000,10.12529182434082,0.03964030742645264,259,7.8508758544921875,1000.0,14349.199279699998
413019,0.0038700103759765625,5100,10.199958801269531,-0.19680826365947723,259,7.791810512542725,1000.0,14338.56180663
421119,0.01956629753112793,5200,10.224260330200195,0.06487050652503967,259,7.729161262512207,1000.0,14320.717183090004
429219,0.009978830814361572,5300,10.208327293395996,-0.0025897249579429626,259,7.801048278808594,1000.0,14341.682061180005
437319,-0.033294677734375,5400,10.249307632446289,0.012630432844161987,259,7.893969535827637,1000.0,14338.512440309998
445419,-0.02010190486907959,5500,10.27173137664795,-0.18703418970108032,259,7.9665117263793945,1000.0,14356.699824690002
453519,0.023918092250823975,5600,10.255745887756348,0.017280973494052887,259,7.913588047027588,1000.0,14378.988835170001
