fps,policy_entropy,total_timesteps,value_loss,nupdates,explained_variance,policy_loss,ep_reward_mean,ep_len_mean
198,9.932570457458496,0,24.44329261779785,1,-0.081412672996521,-0.15256467461585999,,
279,10.069429397583008,13959,2.542206287384033,100,-7.678927421569824,-0.09828503429889679,937.0880597857142,1000.0
287,10.089303970336914,28059,1.7550548315048218,200,0.1957748532295227,-0.3204419016838074,1180.5704133571428,1000.0
290,10.089293479919434,42159,3.3980214595794678,300,-0.152715802192688,-0.014416329562664032,1964.5138996190476,1000.0
292,10.14161491394043,56259,5.009501934051514,400,0.005697906017303467,-0.09804193675518036,3225.7909470892855,1000.0
294,10.141499519348145,70359,6.252904415130615,500,-0.019459962844848633,-0.10050775110721588,4896.429954157143,1000.0
294,10.125608444213867,84459,6.004009246826172,600,-0.0030361413955688477,-0.3384740352630615,6250.668730988095,1000.0
295,10.072768211364746,98559,5.468427658081055,700,-0.036455392837524414,-0.14263173937797546,7267.191275010204,1000.0
296,10.044203758239746,112659,5.053346633911133,800,0.024893224239349365,-0.04317059740424156,9019.36008743,1000.0
296,9.993806838989258,126759,4.824944496154785,900,-0.029829025268554688,-0.17373886704444885,10896.329209900001,1000.0
296,9.988393783569336,140859,4.597787857055664,1000,0.016775131225585938,-0.19144076108932495,12522.148928749997,1000.0
297,9.953977584838867,154959,4.46203088760376,1100,-0.026558995246887207,-0.1488020420074463,13692.161053350002,1000.0
297,9.967802047729492,169059,3.785339832305908,1200,-25.135419845581055,-0.04456233233213425,14107.132887729998,1000.0
297,9.943018913269043,183159,4.15616512298584,1300,-0.9518760442733765,-0.17563804984092712,14215.37999718,1000.0
297,9.961458206176758,197259,4.27292013168335,1400,0.005181014537811279,-0.07469027489423752,14497.897861340001,1000.0
298,10.005009651184082,211359,4.231586456298828,1500,-0.014144539833068848,-0.19163057208061218,14649.869214879998,1000.0
298,10.050684928894043,225459,4.15640926361084,1600,-0.012555956840515137,-0.17620673775672913,14741.87882703,1000.0
298,10.020569801330566,239559,4.16269063949585,1700,-0.026505351066589355,0.029755868017673492,14846.103639220002,1000.0
298,10.056642532348633,253659,4.2889814376831055,1800,0.0005208253860473633,-0.1064017117023468,14919.573030639998,1000.0
