fps,policy_entropy,value_loss,total_timesteps,policy_loss,nupdates,explained_variance,ep_reward_mean,ep_len_mean
63,9.932570457458496,18.922311782836914,0,-0.1916651725769043,1,0.009842276573181152,,
223,10.501969337463379,4.45731782913208,8019,-0.2657725512981415,100,-1.4092388153076172,415.40093575000003,1000.0
228,10.502928733825684,5.568533420562744,16119,-0.23327654600143433,200,-6.815729141235352,410.4559230625,1000.0
230,10.49609088897705,4.088243007659912,24219,-0.061706241220235825,300,-0.13850998878479004,484.83827037500004,1000.0
230,10.493828773498535,10.753599166870117,32319,0.10528166592121124,400,-0.0816575288772583,1163.22234815625,1000.0
228,10.482527732849121,10.812185287475586,40419,0.09768052399158478,500,-0.1428828239440918,1937.01227975,1000.0
226,10.437210083007812,10.598505973815918,48519,-0.10657232254743576,600,-0.10710656642913818,2958.202564604167,1000.0
225,10.401007652282715,10.151883125305176,56619,-0.3090667724609375,700,-0.032370567321777344,4436.366084875,1000.0
224,10.388465881347656,9.329028129577637,64719,0.09996665269136429,800,-0.317081093788147,5917.76326434375,1000.0
222,10.410552978515625,8.860846519470215,72819,0.056125156581401825,900,-0.04679381847381592,7417.215275388889,1000.0
220,10.441239356994629,7.154073238372803,80919,-0.24142730236053467,1000,0.08426648378372192,8707.154868225,1000.0
219,10.474197387695312,7.072357177734375,89019,-0.15155881643295288,1100,-0.035848021507263184,10021.607531840908,1000.0
218,10.478708267211914,6.571333885192871,97119,0.02392202615737915,1200,-0.09253108501434326,11437.24008246875,1000.0
218,10.434854507446289,6.238670349121094,105219,0.0030746906995773315,1300,-0.0048972368240356445,13462.151168620003,1000.0
218,10.359063148498535,7.740560054779053,113319,-0.4625302255153656,1400,0.02850663661956787,16679.75447096,1000.0
218,10.259566307067871,8.547205924987793,121419,-0.6067595481872559,1500,0.018284857273101807,20470.66367437,1000.0
218,10.111169815063477,9.860593795776367,129519,0.40333181619644165,1600,-0.0036405324935913086,25085.79609135,1000.0
219,9.976058006286621,10.393089294433594,137619,0.11153100430965424,1700,0.0332866907119751,30514.45565508,1000.0
219,9.884448051452637,10.137250900268555,145719,-0.29082292318344116,1800,0.0018229484558105469,36210.85415168999,1000.0
219,9.789192199707031,10.15986442565918,153819,-0.20881426334381104,1900,-0.03246486186981201,41998.12795896,1000.0
220,9.690814018249512,8.967694282531738,161919,-0.20613646507263184,2000,0.00504225492477417,47807.33537021999,1000.0
220,9.576659202575684,8.00585651397705,170019,-0.4722989797592163,2100,-0.007969856262207031,53436.45058306,1000.0
220,9.514474868774414,7.539315700531006,178119,-0.08908071368932724,2200,-0.03048253059387207,59278.12482497,1000.0
220,9.399465560913086,6.903447151184082,186219,-0.09592324495315552,2300,-0.012726068496704102,64974.542620980006,1000.0
220,9.332489967346191,6.721541404724121,194319,-0.09400801360607147,2400,-0.015164494514465332,70908.75848536001,1000.0
221,9.237128257751465,6.584589958190918,202419,0.0057440027594566345,2500,-0.004042387008666992,76919.23108208,1000.0
221,9.140250205993652,6.7595720291137695,210519,-0.501542866230011,2600,0.01481163501739502,82748.46932629,1000.0
221,8.94317626953125,7.022576808929443,218619,-0.3883454203605652,2700,0.007291674613952637,88394.06854221997,1000.0
221,8.810218811035156,6.764718532562256,226719,-0.3603455126285553,2800,-0.01100301742553711,93006.65523029,1000.0
222,8.776138305664062,5.759685516357422,234819,-0.1238815039396286,2900,0.013808727264404297,95670.97735062001,1000.0
222,8.667693138122559,5.653496742248535,242919,0.007345482707023621,3000,0.005381643772125244,99082.98212111,1000.0
222,8.602876663208008,5.812376976013184,251019,-0.4987824261188507,3100,-0.0020934343338012695,101806.07786692998,1000.0
222,8.557235717773438,5.864315032958984,259119,-0.17496144771575928,3200,0.006623387336730957,104695.59144962,1000.0
222,8.469780921936035,6.042233943939209,267219,-0.15753328800201416,3300,0.06864619255065918,107387.87048237001,1000.0
222,8.397275924682617,5.969786167144775,275319,-0.11655959486961365,3400,0.010466277599334717,109903.74254426,1000.0
222,8.316540718078613,6.003993988037109,283419,-0.34467411041259766,3500,0.0023425817489624023,112487.32954504,1000.0
222,8.20638370513916,5.936554908752441,291519,0.28720980882644653,3600,0.036850929260253906,114495.85110207001,1000.0
222,8.178366661071777,5.830955505371094,299619,-0.4173851013183594,3700,-0.009417295455932617,116295.0683344,1000.0
223,8.149262428283691,5.683838844299316,307719,-0.034036457538604736,3800,-0.13294541835784912,117513.05643197002,1000.0
222,8.110751152038574,5.546730995178223,315819,0.07330051064491272,3900,0.005699872970581055,118300.15218004999,1000.0
223,8.068137168884277,5.571484088897705,323919,-0.09433688968420029,4000,0.016096830368041992,118911.12680235,1000.0
223,8.094293594360352,5.487750053405762,332019,-0.06937331706285477,4100,0.06954818964004517,120126.37384738997,1000.0
223,7.998866081237793,5.431398868560791,340119,-0.1360008865594864,4200,-0.024597644805908203,121700.85690662,1000.0
223,7.931790351867676,5.345739841461182,348219,-0.10720996558666229,4300,-0.034850239753723145,122216.78612603,1000.0
223,7.920071601867676,5.368800163269043,356319,-0.10652679949998856,4400,0.05350214242935181,122463.83141428,1000.0
223,7.944876670837402,5.354065895080566,364419,-0.010497137904167175,4500,-0.024614453315734863,122560.19653018001,1000.0
223,7.905492305755615,5.293557167053223,372519,0.3584161698818207,4600,0.003868699073791504,122593.70503167999,1000.0
223,7.930310249328613,5.221202850341797,380619,0.05701291561126709,4700,-0.010001420974731445,122685.98682864002,1000.0
224,7.9245758056640625,5.177023887634277,388719,-0.04688944295048714,4800,-0.005337119102478027,122775.47510082,1000.0
224,7.886202812194824,5.2375898361206055,396819,-0.2945250868797302,4900,-0.04721212387084961,122756.02848592999,1000.0
224,7.843194007873535,5.254033088684082,404919,-0.26840779185295105,5000,0.007401883602142334,122810.89957633999,1000.0
224,7.802664756774902,5.173446178436279,413019,-0.09282943606376648,5100,0.017365574836730957,122995.96988317,1000.0
224,7.776593208312988,5.127110481262207,421119,-0.02185238152742386,5200,0.004751861095428467,123056.26266350003,1000.0
224,7.781783103942871,5.174460411071777,429219,-0.08695088326931,5300,0.001871347427368164,123167.11346263002,1000.0
224,7.7238264083862305,5.142546653747559,437319,-0.25833961367607117,5400,-0.011011600494384766,123171.07745851003,1000.0
224,7.726044654846191,5.355483055114746,445419,-0.1841227114200592,5500,-0.011263489723205566,123220.94316805,1000.0
224,7.703848838806152,5.230709075927734,453519,-0.028784524649381638,5600,-0.023736119270324707,123255.07054682002,1000.0
