fps,total_timesteps,value_loss,policy_entropy,policy_loss,nupdates,explained_variance,ep_reward_mean,ep_len_mean
78,0,1.47433340549469,9.932570457458496,-0.10174825042486191,1,-0.05782651901245117,,
257,8019,0.08272574096918106,10.032685279846191,-0.37830454111099243,100,-4394569.0,133.349791375,1000.0
247,16119,0.45697981119155884,10.051215171813965,-0.029215596616268158,200,-0.06667077541351318,117.48822525,1000.0
216,24219,0.37741655111312866,10.116728782653809,0.007163636386394501,300,0.18963658809661865,128.00505504166665,1000.0
219,32319,4.804805755615234,10.144156455993652,0.11423569917678833,400,-0.011174798011779785,248.88876515625,1000.0
222,40419,5.042166709899902,10.148104667663574,-0.30092090368270874,500,-0.06925046443939209,428.227396625,1000.0
223,48519,13.335955619812012,10.15102481842041,-0.12775923311710358,600,-0.130395770072937,991.1641840416665,1000.0
226,56619,12.882333755493164,10.153221130371094,0.1625106781721115,700,0.043315589427948,1848.905414,1000.0
227,64719,11.341853141784668,10.119671821594238,-0.2234388291835785,800,-0.02434086799621582,2847.727763859375,1000.0
229,72819,9.046446800231934,10.031503677368164,0.07153108716011047,900,0.0008149147033691406,3864.513198097222,1000.0
230,80919,7.773308753967285,10.046843528747559,-0.05465191602706909,1000,-0.09215915203094482,4849.37440275,1000.0
231,89019,6.8486528396606445,10.054614067077637,-0.33515632152557373,1100,0.021487951278686523,5953.170095625,1000.0
231,97119,7.3203020095825195,10.068648338317871,-0.20410999655723572,1200,-0.13088858127593994,7248.797661218749,1000.0
232,105219,7.695367336273193,10.051421165466309,-0.31206464767456055,1300,-0.06584334373474121,9026.37311585,1000.0
232,113319,7.537649631500244,9.95443058013916,0.05914439260959625,1400,-0.008085370063781738,11265.085152470001,1000.0
232,121419,7.540566444396973,9.913941383361816,-0.137917622923851,1500,0.03381955623626709,13903.292730610001,1000.0
232,129519,7.212281703948975,9.820446968078613,-0.4584393799304962,1600,0.012467026710510254,17210.715006280003,1000.0
232,137619,8.247467041015625,9.788309097290039,-0.04721861705183983,1700,0.003482520580291748,21137.8390044,1000.0
232,145719,8.446911811828613,9.742173194885254,0.01844092458486557,1800,-0.009066343307495117,25186.925313100004,1000.0
232,153819,8.649032592773438,9.686971664428711,0.08748466521501541,1900,-0.01645839214324951,29518.22001003,1000.0
232,161919,7.093485355377197,9.675247192382812,-0.4131017029285431,2000,-0.03087460994720459,33239.78891412,1000.0
232,170019,6.690695285797119,9.634157180786133,0.0790267363190651,2100,-1.5935654640197754,36875.60311559,1000.0
232,178119,4.633103370666504,9.635948181152344,-0.2615518569946289,2200,0.07385838031768799,39033.25125003,1000.0
232,186219,4.9625725746154785,9.64759635925293,-0.04106490686535835,2300,-0.07101619243621826,42569.653255230005,1000.0
232,194319,4.896839141845703,9.638677597045898,0.19672326743602753,2400,-0.1280992031097412,45706.36947048001,1000.0
232,202419,4.735417366027832,9.6257905960083,-0.12288373708724976,2500,-0.26282835006713867,48560.07011111,1000.0
232,210519,4.078989505767822,9.61376953125,-0.18790164589881897,2600,-11.44068431854248,51459.68821745,1000.0
