value_loss,nupdates,policy_entropy,fps,total_timesteps,explained_variance,ep_reward_mean,ep_len_mean
6.279116630554199,1,9.93256950378418,101,35,-0.07730257511138916,,
1.0707441568374634,100,9.934601783752441,204,3500,-1.9118492603302002,143.4476595714286,300.0
0.4796886444091797,200,9.940308570861816,176,7000,-1.6975879669189453,135.60380547619047,300.0
0.22603467106819153,300,9.941035270690918,168,10500,-3.201791286468506,141.48461248571428,300.0
0.09591744840145111,400,9.958596229553223,175,14000,-1.8837065696716309,137.3992437142857,300.0
0.07233744114637375,500,9.983220100402832,171,17500,-0.9663711786270142,138.21683758928572,300.0
0.12737251818180084,600,10.031536102294922,169,21000,-113.047119140625,134.64250497142856,300.0
0.07432334125041962,700,10.072010040283203,172,24500,-1.137110710144043,133.72054050649348,300.0
0.09582234919071198,800,10.106574058532715,170,28000,-1.1855454444885254,133.4121672967033,300.0
0.3627047538757324,900,10.138216972351074,169,31500,-1.3675572872161865,131.12722034,300.0
0.04231858626008034,1000,10.203780174255371,172,35000,-1.9932405948638916,128.60659962,300.0
0.09193065762519836,1100,10.251227378845215,170,38500,-0.052813172340393066,129.81992677000002,300.0
0.9501368999481201,1200,10.297542572021484,169,42000,-10.350052833557129,127.45006397000002,300.0
0.033341024070978165,1300,10.371831893920898,172,45500,-0.2504338026046753,123.21449607000001,300.0
0.20213739573955536,1400,10.372304916381836,172,49000,-0.35992252826690674,146.07571891999996,300.0
27.448854446411133,1500,10.362412452697754,172,52500,-2.701458692550659,230.82601879,300.0
0.007413980085402727,1600,10.398513793945312,174,56000,0.8741388022899628,284.02354976000004,300.0
0.03722594305872917,1700,10.459989547729492,174,59500,-0.2693105936050415,394.21908536999996,300.0
11.08685302734375,1800,10.550335884094238,174,63000,-0.3700782060623169,503.92600915,300.0
0.013074603863060474,1900,10.654133796691895,176,66500,0.2687342166900635,560.47021314,300.0
0.008686287328600883,2000,10.791897773742676,176,70000,0.43871355056762695,660.0001361899999,300.0
11.517529487609863,2100,10.93072509765625,175,73500,0.17740756273269653,788.26992217,300.0
0.010682263411581516,2200,11.073482513427734,177,77000,0.3985767364501953,855.45784292,300.0
0.005033022724092007,2300,11.236604690551758,177,80500,0.6905813217163086,933.0152517399998,300.0
11.289506912231445,2400,11.391339302062988,177,84000,0.21139973402023315,986.5009500299998,300.0
0.004368877969682217,2500,11.544489860534668,178,87500,-0.12328672409057617,1001.9041931600001,300.0
0.02039741538465023,2600,11.676589012145996,178,91000,0.24039894342422485,1038.53496365,300.0
14.640732765197754,2700,11.763700485229492,178,94500,-0.38384950160980225,1111.8842048699998,300.0
0.007371401879936457,2800,11.903104782104492,179,98000,-1.4878935813903809,1143.6688538700002,300.0
0.01781025156378746,2900,12.055617332458496,179,101500,-0.001528024673461914,1220.06432565,300.0
11.411118507385254,3000,12.163495063781738,179,105000,-0.20317351818084717,1282.3380688200002,300.0
0.012390220537781715,3100,12.315434455871582,180,108500,-0.33939194679260254,1321.9660440300001,300.0
0.011606693267822266,3200,12.465618133544922,180,112000,0.03682523965835571,1395.71664429,300.0
12.083218574523926,3300,12.617121696472168,179,115500,-0.26496422290802,1475.7861732300005,300.0
0.003924763761460781,3400,12.75815486907959,180,119000,-0.14551806449890137,1525.6650336499997,300.0
0.004605368711054325,3500,12.898295402526855,180,122500,-0.3640521764755249,1604.4532533200002,300.0
15.960897445678711,3600,13.095664978027344,180,126000,-0.23382234573364258,1696.4012033899999,300.0
0.008503490127623081,3700,13.251100540161133,181,129500,-0.015163302421569824,1752.48678525,300.0
0.007747636642307043,3800,13.42712116241455,180,133000,0.11235922574996948,1838.7953501400002,300.0
16.006107330322266,3900,13.57138729095459,180,136500,-0.024264216423034668,1959.8883872900003,300.0
0.00571106094866991,4000,13.74480152130127,181,140000,-0.3266448974609375,2011.38045172,300.0
0.003817311255261302,4100,13.926776885986328,181,143500,0.04546821117401123,2120.1546229699998,300.0
14.550734519958496,4200,14.118249893188477,181,147000,-0.16948354244232178,2230.56914754,300.0
0.0039644972421228886,4300,14.305947303771973,182,150500,-0.2505453824996948,2296.11478585,300.0
0.00477813882753253,4400,14.529378890991211,181,154000,0.21363168954849243,2411.80364279,300.0
14.792476654052734,4500,14.751641273498535,181,157500,-0.12740552425384521,2494.49466896,300.0
0.0032651342917233706,4600,14.975561141967773,182,161000,-0.3532618284225464,2520.7842403000004,300.0
0.0009445192408747971,4700,15.225587844848633,182,164500,-0.31671345233917236,2597.31181043,300.0
14.261178970336914,4800,15.430109977722168,181,168000,-0.09521842002868652,2666.5555391499993,300.0
0.0021020430140197277,4900,15.673913955688477,182,171500,-0.20802605152130127,2691.8763038199995,300.0
0.002863912610337138,5000,15.933295249938965,182,175000,-0.47670280933380127,2731.6685505699993,300.0
12.248608589172363,5100,16.153881072998047,182,178500,0.07699763774871826,2791.3035488500004,300.0
0.002240200527012348,5200,16.392166137695312,183,182000,0.07977372407913208,2795.16199952,300.0
0.0022096128668636084,5300,16.679147720336914,182,185500,0.11213672161102295,2825.9088988500007,300.0
11.377242088317871,5400,16.9303035736084,182,189000,-0.3966120481491089,2867.1186111099996,300.0
0.0025076339952647686,5500,17.18376922607422,183,192500,-0.21888160705566406,2883.226942159999,300.0
0.0021664428059011698,5600,17.457000732421875,182,196000,-0.282559871673584,2900.0033694100002,300.0
10.243348121643066,5700,17.683216094970703,182,199500,-0.07248711585998535,2903.6405193500004,300.0
0.0024587688967585564,5800,17.93859100341797,183,203000,0.12172544002532959,2914.7437095099995,300.0
0.0014995814999565482,5900,18.166391372680664,183,206500,-0.15771901607513428,2910.83615519,300.0
8.683070182800293,6000,18.376953125,183,210000,-0.05116009712219238,2901.2330369600004,300.0
0.0008975620730780065,6100,18.61595916748047,183,213500,-0.0005518198013305664,2903.8610266200003,300.0
0.0025226606521755457,6200,18.854019165039062,183,217000,0.12862110137939453,2882.9481232600006,300.0
8.887081146240234,6300,19.085222244262695,182,220500,0.09480351209640503,2869.1875075499997,300.0
0.0016516251489520073,6400,19.311176300048828,183,224000,-0.058233022689819336,2876.51942131,300.0
0.0017576058162376285,6500,19.53170394897461,182,227500,0.10104191303253174,2853.27224556,300.0
8.06952953338623,6600,19.73561668395996,182,231000,-0.07443380355834961,2824.1651170199993,300.0
0.0023756318259984255,6700,19.953874588012695,182,234500,0.07788240909576416,2824.41708775,300.0
