fps,nupdates,explained_variance,policy_entropy,value_loss,total_timesteps,ep_len_mean,ep_reward_mean
111,1,-0.00034356117248535156,9.93256950378418,12.741631507873535,35,,
309,100,-0.6350144147872925,9.934477806091309,0.3204236924648285,3500,,
262,200,-802.381591796875,9.940035820007324,0.3548107445240021,7000,1000.0,17.474008571428573
281,300,-0.7720721960067749,9.948286056518555,0.22760972380638123,10500,1000.0,17.474008571428573
264,400,-10.333227157592773,9.953631401062012,0.403925359249115,14000,1000.0,22.74736157142857
279,500,-0.045510172843933105,9.94503116607666,11.588910102844238,17500,1000.0,22.74736157142857
271,600,0.06248241662979126,9.951225280761719,7.997297763824463,21000,1000.0,84.45945966666667
283,700,0.016913294792175293,9.929712295532227,27.716808319091797,24500,1000.0,84.45945966666667
276,800,0.00845348834991455,9.905088424682617,43.04376983642578,28000,1000.0,256.71929414285717
277,900,-0.1880396604537964,9.928445816040039,0.34058284759521484,31500,1000.0,256.71929414285717
264,1000,-0.03529191017150879,9.938090324401855,284.8758850097656,35000,1000.0,252.80615859999997
265,1100,0.15889549255371094,9.971041679382324,0.7126129269599915,38500,1000.0,252.80615859999997
255,1200,-0.5108329057693481,9.99779987335205,399.18902587890625,42000,1000.0,262.0883593333333
257,1300,0.21226167678833008,10.022863388061523,0.06067340075969696,45500,1000.0,262.0883593333333
253,1400,0.012766003608703613,10.045949935913086,884.10400390625,49000,1000.0,285.5829472857143
255,1500,-0.3546799421310425,10.059144020080566,0.2969670295715332,52500,1000.0,285.5829472857143
249,1600,-0.002869844436645508,10.046963691711426,1134.9691162109375,56000,1000.0,307.97417092857137
251,1700,-0.012005329132080078,10.049826622009277,3.6468214988708496,59500,1000.0,307.97417092857137
246,1800,-0.027750253677368164,10.05427360534668,1091.2100830078125,63000,1000.0,320.6423044761904
248,1900,0.003862619400024414,10.069354057312012,4.560530662536621,66500,1000.0,320.6423044761904
245,2000,-0.0031876564025878906,10.057099342346191,1572.5509033203125,70000,1000.0,376.13112282857145
246,2100,0.00380706787109375,10.04693603515625,2.944756269454956,73500,1000.0,376.13112282857145
243,2200,0.0017233490943908691,10.054577827453613,2160.713623046875,77000,1000.0,439.9337457272727
245,2300,0.0008337497711181641,10.003500938415527,10.867342948913574,80500,1000.0,439.9337457272727
243,2400,0.00014698505401611328,9.999425888061523,2961.360595703125,84000,1000.0,521.3668802857143
245,2500,0.0005047917366027832,9.983546257019043,10.812827110290527,87500,1000.0,521.3668802857143
241,2600,0.014315426349639893,9.981947898864746,4079.716064453125,91000,1000.0,581.4556825824177
242,2700,0.001862943172454834,9.95673656463623,3.497894763946533,94500,1000.0,581.4556825824177
241,2800,-0.00042057037353515625,9.949259757995605,4380.04248046875,98000,1000.0,651.6754014387756
242,2900,-6.54458999633789e-05,9.936989784240723,9082.2021484375,101500,1000.0,651.6754014387756
240,3000,0.0011767148971557617,9.898666381835938,5394.71435546875,105000,1000.0,1130.7884711699999
240,3100,-0.00041294097900390625,9.89352798461914,7176.39501953125,108500,1000.0,1130.7884711699999
238,3200,-1.1682510375976562e-05,9.845961570739746,4445.48828125,112000,1000.0,2294.7932865499997
239,3300,-0.00010347366333007812,9.836912155151367,850.08984375,115500,1000.0,2294.7932865499997
237,3400,-2.4318695068359375e-05,9.794480323791504,5837.83642578125,119000,1000.0,3848.30594424
238,3500,0.00019025802612304688,9.818540573120117,1556.595947265625,122500,1000.0,3848.30594424
236,3600,-8.320808410644531e-05,9.821762084960938,6544.4833984375,126000,1000.0,4951.16911255
237,3700,-3.540515899658203e-05,9.812849044799805,4288.3671875,129500,1000.0,4951.16911255
236,3800,-8.606910705566406e-05,9.782782554626465,8498.3076171875,133000,1000.0,5736.4662281500005
237,3900,3.874301910400391e-06,9.711140632629395,37695.015625,136500,1000.0,5736.4662281500005
235,4000,9.417533874511719e-06,9.688450813293457,23516.689453125,140000,1000.0,7927.834495
236,4100,-5.3048133850097656e-05,9.688994407653809,8018.12060546875,143500,1000.0,7927.834495
234,4200,-1.537799835205078e-05,9.65110969543457,15798.3623046875,147000,1000.0,9359.473983490001
235,4300,-2.8133392333984375e-05,9.63987922668457,30210.921875,150500,1000.0,9359.473983490001
234,4400,-4.9233436584472656e-05,9.648853302001953,9923.5029296875,154000,1000.0,10701.345871980002
236,4500,-2.2649765014648438e-05,9.623661041259766,1969.48974609375,157500,1000.0,10701.345871980002
235,4600,-9.059906005859375e-06,9.601231575012207,11581.62109375,161000,1000.0,11651.7150101
236,4700,-2.5272369384765625e-05,9.613462448120117,4372.09423828125,164500,1000.0,11651.7150101
235,4800,-3.838539123535156e-05,9.645316123962402,13461.171875,168000,1000.0,12817.37785727
236,4900,5.066394805908203e-06,9.617995262145996,1838.320556640625,171500,1000.0,12817.37785727
235,5000,0.0014545321464538574,9.601692199707031,21508.998046875,175000,1000.0,13769.97149035
235,5100,0.06601661443710327,9.563352584838867,1629.6971435546875,178500,1000.0,13769.97149035
234,5200,-0.0012799501419067383,9.570280075073242,23684.509765625,182000,1000.0,14944.30077585
235,5300,-4.410743713378906e-05,9.54772663116455,2817.417724609375,185500,1000.0,14944.30077585
234,5400,9.715557098388672e-06,9.533344268798828,14125.0478515625,189000,1000.0,16715.52780024
234,5500,-5.960464477539062e-07,9.506701469421387,32937.546875,192500,1000.0,16715.52780024
234,5600,-3.6954879760742188e-06,9.500356674194336,17603.525390625,196000,1000.0,19326.321615030003
234,5700,-2.7418136596679688e-06,9.467141151428223,105470.171875,199500,1000.0,19326.321615030003
233,5800,-8.344650268554688e-07,9.447352409362793,35787.6640625,203000,1000.0,22592.32225424
233,5900,-1.5139579772949219e-05,9.407500267028809,1350.8118896484375,206500,1000.0,22592.32225424
232,6000,1.0132789611816406e-06,9.34171199798584,20816.634765625,210000,1000.0,26440.26255922
233,6100,1.2099742889404297e-05,9.342363357543945,2174.60693359375,213500,1000.0,26440.26255922
232,6200,5.7220458984375e-06,9.297967910766602,36395.625,217000,1000.0,25856.4532689
233,6300,2.980232238769531e-07,9.258745193481445,69499.5078125,220500,1000.0,25856.4532689
232,6400,-2.0265579223632812e-06,9.237677574157715,33981.23046875,224000,1000.0,28304.929880919994
233,6500,8.344650268554688e-06,9.227684020996094,2726.537841796875,227500,1000.0,28304.929880919994
232,6600,-9.655952453613281e-06,9.235644340515137,35912.27734375,231000,1000.0,28708.61656792
233,6700,-2.6941299438476562e-05,9.221087455749512,1288.0462646484375,234500,1000.0,28708.61656792
232,6800,9.745359420776367e-05,9.205443382263184,44437.6484375,238000,1000.0,28292.30999148
233,6900,-4.7087669372558594e-05,9.21062183380127,313.5505676269531,241500,1000.0,28292.30999148
232,7000,-3.0994415283203125e-06,9.218377113342285,38800.56640625,245000,1000.0,28320.208556290003
233,7100,3.635883331298828e-06,9.196696281433105,49042.46484375,248500,1000.0,28320.208556290003
