fps,policy_loss,total_timesteps,nupdates,value_loss,explained_variance,policy_entropy,ep_len_mean,ep_reward_mean
49,-0.33924275636672974,0,1,1.383614182472229,-0.2030479907989502,9.932570457458496,,
271,-0.23854565620422363,13959,100,0.7430303692817688,nan,10.24714469909668,1000.0,2.271704142857143
278,-0.2225036323070526,28059,200,0.4198693633079529,-0.44455933570861816,10.278193473815918,1000.0,2.5651781071428568
281,-0.21803361177444458,42159,300,0.3279372751712799,-1.1276891231536865,10.301880836486816,1000.0,3.2267031904761905
282,-0.18461084365844727,56259,400,0.32631269097328186,-1082.1790771484375,10.303404808044434,1000.0,3.5024429642857138
282,-0.2163425087928772,70359,500,0.2243361622095108,-0.13896465301513672,10.316404342651367,1000.0,3.4839263714285718
282,-0.17173567414283752,84459,600,0.2505963444709778,-13.407474517822266,10.309450149536133,1000.0,4.360041130952382
282,-0.12373169511556625,98559,700,0.2581046521663666,-18.549190521240234,10.293381690979004,1000.0,4.617747887755103
282,-0.18982012569904327,112659,800,0.3045393228530884,-8284.5439453125,10.275691032409668,1000.0,5.44695561
281,0.17284926772117615,126759,900,0.2815682291984558,nan,10.248854637145996,1000.0,5.967291789999999
282,-0.32027941942214966,140859,1000,0.3604174852371216,-89015.84375,10.221144676208496,1000.0,7.608183010000001
282,-0.3897651731967926,154959,1100,9.965206146240234,0.00168532133102417,10.205927848815918,1000.0,10.18537351
282,0.06000238656997681,169059,1200,0.5149050951004028,-3.829820156097412,10.147700309753418,1000.0,12.10103494
283,-0.04887903109192848,183159,1300,0.7742770314216614,0.03663277626037598,10.107954025268555,1000.0,15.301585659999999
283,-0.13165496289730072,197259,1400,0.6306799054145813,0.005078256130218506,10.083847045898438,1000.0,19.81539783
284,-0.04102221131324768,211359,1500,0.6664536595344543,nan,10.019121170043945,1000.0,23.9247787
284,-0.23199400305747986,225459,1600,0.6221781373023987,0.025706470012664795,9.915776252746582,1000.0,29.366170159999996
285,-0.3915661871433258,239559,1700,0.6830259561538696,-0.022827625274658203,9.852614402770996,1000.0,33.84531542
285,-0.24073345959186554,253659,1800,0.6973113417625427,-0.05731189250946045,9.794923782348633,1000.0,36.73136732
286,-0.31798693537712097,267759,1900,0.7848150134086609,-0.6954575777053833,9.743209838867188,1000.0,41.19790166
286,-0.29653623700141907,281859,2000,0.9037675261497498,0.036655962467193604,9.66270637512207,1000.0,44.636883929999996
286,-0.38194602727890015,295959,2100,1.0589187145233154,-0.04758810997009277,9.59077262878418,1000.0,48.66676157
287,-0.27068576216697693,310059,2200,1.2006770372390747,-0.6339124441146851,9.529372215270996,1000.0,54.588330129999996
287,0.0832890048623085,324159,2300,1.2508009672164917,0.023922741413116455,9.424345970153809,1000.0,62.44657134999999
