policy_entropy,policy_loss,nupdates,value_loss,total_timesteps,explained_variance,fps,ep_len_mean,ep_reward_mean
9.932570457458496,-0.04442887008190155,1,6.480450630187988,0,-0.13190829753875732,72,,
9.985466957092285,-0.21581363677978516,100,1.2123148441314697,8019,-0.0493619441986084,221,1000.0,482.655652875
9.993133544921875,0.13886433839797974,200,1.3212159872055054,16119,0.0338476300239563,225,1000.0,622.1513525625
9.956231117248535,-0.2266712784767151,300,10.199771881103516,24219,0.2267439365386963,225,1000.0,2866.9989839166665
9.899124145507812,0.03276912122964859,400,7.068061828613281,32319,0.028208136558532715,222,1000.0,4720.539217875
9.90738582611084,-0.18481267988681793,500,7.833483695983887,40419,0.12074261903762817,220,1000.0,6755.8946192250005
9.877960205078125,-0.19650283455848694,600,7.088545322418213,48519,0.08296841382980347,217,1000.0,8628.2856840625
9.800430297851562,0.43294551968574524,700,6.471275329589844,56619,0.0506514310836792,216,1000.0,10312.964245357143
9.735649108886719,0.19158935546875,800,6.770277500152588,64719,0.017505407333374023,215,1000.0,12316.881728671875
9.650688171386719,0.07599619030952454,900,8.153935432434082,72819,-0.003235459327697754,214,1000.0,15121.10751773611
9.541729927062988,-0.19386166334152222,1000,7.945422172546387,80919,0.0060059428215026855,214,1000.0,18306.470341675
9.42508602142334,-0.06424640119075775,1100,9.490285873413086,89019,-0.02513134479522705,215,1000.0,22366.53807481818
9.323317527770996,-0.2165450155735016,1200,9.514241218566895,97119,0.02284485101699829,216,1000.0,26719.60336928125
9.161345481872559,-0.09674381464719772,1300,9.554811477661133,105219,-0.0019255876541137695,216,1000.0,32302.678274319995
9.050054550170898,-0.01586441695690155,1400,8.451464653015137,113319,0.0012843608856201172,217,1000.0,39164.76462028
8.966729164123535,-0.21834826469421387,1500,7.670126438140869,121419,0.012102901935577393,217,1000.0,45907.36950968001
8.877274513244629,-0.32051241397857666,1600,7.385124206542969,129519,0.0033829808235168457,217,1000.0,52893.56006980001
8.754045486450195,0.058229051530361176,1700,7.533431053161621,137619,0.004398524761199951,218,1000.0,59876.52860014001
8.632279396057129,-0.06815901398658752,1800,7.03411865234375,145719,0.04940617084503174,218,1000.0,67036.28866706
8.497479438781738,-0.006374247372150421,1900,6.460263252258301,153819,-0.013539671897888184,218,1000.0,73664.66297117
8.37200927734375,-0.17140987515449524,2000,6.327216625213623,161919,0.015458226203918457,219,1000.0,80697.61397385002
8.240407943725586,0.13426341116428375,2100,6.0040130615234375,170019,-0.024716973304748535,218,1000.0,86992.74556883
8.121048927307129,0.07376278191804886,2200,6.122956275939941,178119,-0.035714149475097656,218,1000.0,92926.30650054
7.994952201843262,-0.42293810844421387,2300,6.095282554626465,186219,-0.020635247230529785,218,1000.0,97923.52863835002
7.924689292907715,-0.11950474977493286,2400,6.207566738128662,194319,-0.0035271644592285156,218,1000.0,102129.86647565004
7.851664066314697,-0.22737246751785278,2500,6.1166510581970215,202419,0.011472046375274658,219,1000.0,105581.9389185
7.765591621398926,-0.061968494206666946,2600,6.216397285461426,210519,-0.007218718528747559,219,1000.0,108459.96561506
7.702378273010254,0.1135241910815239,2700,6.063543319702148,218619,-0.006651043891906738,219,1000.0,111619.97059322995
7.6345648765563965,-0.05370863527059555,2800,6.055104732513428,226719,0.008387088775634766,219,1000.0,114038.82941023001
7.557655334472656,-0.23999926447868347,2900,5.996799468994141,234819,-0.019221067428588867,219,1000.0,115867.09625156
7.492245674133301,0.4671459197998047,3000,5.833120346069336,242919,-0.021557927131652832,220,1000.0,117375.38336900002
7.472891807556152,-0.024675030261278152,3100,5.7664008140563965,251019,-0.012529969215393066,220,1000.0,119014.74526267
7.379281044006348,-0.05774495005607605,3200,5.666916847229004,259119,-0.011832237243652344,220,1000.0,120353.0818678
7.322237968444824,-0.10215941071510315,3300,5.557717800140381,267219,0.004866600036621094,220,1000.0,121447.21388207999
7.240786552429199,-0.2554805874824524,3400,5.549654483795166,275319,-0.000944972038269043,221,1000.0,122303.06339342
7.2190961837768555,-0.27883243560791016,3500,5.569247245788574,283419,0.023502588272094727,221,1000.0,122729.47807187997
7.237818717956543,-0.12039479613304138,3600,5.631838798522949,291519,-0.0023823976516723633,221,1000.0,123082.22570002999
7.232178688049316,-0.32505810260772705,3700,5.613145351409912,299619,0.02185690402984619,221,1000.0,123227.56967557
7.214694023132324,-0.0010251030325889587,3800,5.558762550354004,307719,0.007834076881408691,221,1000.0,123449.18648603
7.202292442321777,-0.5098186731338501,3900,5.514927387237549,315819,-0.0018869638442993164,221,1000.0,123530.42415395
7.1743669509887695,0.07823453843593597,4000,5.482374668121338,323919,-0.010998010635375977,221,1000.0,123521.06420616999
7.184584617614746,-0.05863497406244278,4100,5.448153018951416,332019,0.005350828170776367,222,1000.0,123654.42260881001
7.165173530578613,-0.19808754324913025,4200,5.396155834197998,340119,0.007575631141662598,222,1000.0,123717.67247094002
