total_timesteps,policy_entropy,value_loss,explained_variance,fps,nupdates,ep_len_mean,ep_reward_mean
35,9.93256950378418,7.8026533126831055,-0.10548913478851318,136,1,,
3500,9.935730934143066,0.1526215523481369,0.5629506409168243,330,100,,
7000,9.940295219421387,0.24476291239261627,-146.5825958251953,264,200,1000.0,22.30427957142857
10500,9.95580768585205,0.1135045662522316,-0.23235630989074707,280,300,1000.0,22.30427957142857
14000,9.963241577148438,0.5251219272613525,-94.49236297607422,259,400,1000.0,20.881987285714285
17500,9.975306510925293,0.07079540938138962,0.5602519512176514,271,500,1000.0,20.881987285714285
21000,9.978830337524414,3.159675359725952,-0.11460292339324951,259,600,1000.0,44.17364080952381
24500,9.983786582946777,1.459219217300415,0.022397279739379883,268,700,1000.0,44.17364080952381
28000,9.976982116699219,35.919586181640625,0.05963265895843506,263,800,1000.0,142.69427582142856
31500,9.97282886505127,1.3628813028335571,0.11723721027374268,271,900,1000.0,142.69427582142856
35000,9.949492454528809,159.384521484375,0.10944932699203491,266,1000,1000.0,259.7641960285714
38500,9.96107292175293,66.16039276123047,0.006739199161529541,273,1100,1000.0,259.7641960285714
42000,9.929869651794434,395.7600402832031,0.0015582442283630371,269,1200,1000.0,436.1770081428572
45500,9.938949584960938,192.9905548095703,0.00999748706817627,274,1300,1000.0,436.1770081428572
49000,9.946704864501953,843.7972412109375,0.013992071151733398,270,1400,1000.0,634.4148879183674
52500,9.9342679977417,0.808215856552124,0.9605959430336952,271,1500,1000.0,634.4148879183674
56000,9.993426322937012,194.31529235839844,-0.6763043403625488,265,1600,1000.0,577.7865501964286
59500,10.029376983642578,310.5959167480469,-0.0004761219024658203,268,1700,1000.0,577.7865501964286
63000,10.024298667907715,455.60797119140625,0.0024077296257019043,265,1800,1000.0,854.3815193015874
66500,10.089115142822266,0.6116032004356384,0.9961909248959273,267,1900,1000.0,854.3815193015874
70000,10.078991889953613,469.8089294433594,-0.019972801208496094,265,2000,1000.0,844.8428006142857
73500,10.053804397583008,112.1805191040039,0.38991600275039673,268,2100,1000.0,844.8428006142857
77000,10.047765731811523,1176.793212890625,-0.5075697898864746,265,2200,1000.0,991.5939734675325
80500,10.040323257446289,311.3947448730469,0.0170859694480896,267,2300,1000.0,991.5939734675325
